type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
label,"Acceptance Criteria - The vertical deviation of the soil reinforcement shall be within +1% (upwards) and -0.3% (downwards) of the soil reinforcement length, relative to the connection height.",,,,,,,,,,,,,,,
label,○ Avoid clash with drainage as directed in IFC Drawings.,,,,,,,,,,,,,,,
label,"Method - Measure, Survey",,,,,,,,,,,,,,,
label,Frequency - Each fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - Surveyor/SE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,7 - Fill-Pacement,,,,,,,,,,,,,,,
label,"Reference - VR204.10, VR682.16",,,,,,,,,,,,,,,
label,Acceptance Criteria - Fill layers to be spread and compacted in layers not exceeding a compacted thickness of 200mm.,,,,,,,,,,,,,,,
label,○ All RSS fill layers to be spread from the back face of panel to tail of soil reinforcing straps.,,,,,,,,,,,,,,,
label,○ Plant or vehicles shall not be allowed to traffic over or work on reinforcing elements until the reinforcement is protected by a minimum 150 mm layer of fill material.  ,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,
label,Frequency - Each fill layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE/Supervisor,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,8 - Select backfill-moisture content,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Moisture content of the backfill shall be maintained evenly at all times. Moisture content shall be within +0% to -2% of the optimum moisture content. Any backfill material exceeding the optimum moisture content, must be allowed to dry.",,,,,,,,,,,,,,,
textbox,Attach Test Reults,,,,,,,,,,,,,,,
label,Method - Document review,,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,9 - Select backfil - placement,,,,,,,,,,,,,,,
label,Reference - IFC Drawings ,,,,,,,,,,,,,,,
label,Acceptance Criteria - Select backfill shall be placed in accordance with Vicroads section 204 and compacted to 98% of standard proctor density.,,,,,,,,,,,,,,,
label,○ Compaction within 1 meter of the wall face shall be achieved by a light weight (Hand Operated) mechanical tamper roller or vibratory system. No large compaction equipment shall be allowed in this zon. Compaction beyond 1 meter of the wall face shall be in accordance with Temporary works design.,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,
label,Frequency - Each fill layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - PE/SE/Supervisor,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,10 - Test Roll / Proof Roll,,,,,,,,,,,,,,,
label,"Reference - Section 173.03, Section 204.12",,,,,,,,,,,,,,,
label,Acceptance Criteria - All layers of fill shall be test rolled in accordance with  VR 173. The contractor Shall provide for the superintendent to be present during all test rolling,,,,,,,,,,,,,,,
label,Method - Visual Inspection,,,,,,,,,,,,,,,
label,Frequency - Each fill layer,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,
label,"Verifying Documents - This Checklist Signed-off, ConQA HP Release",,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,
checkpoint-status,11 - Compaction and Moisture Content Testing Frequency & Acceptance,,,,,,,,,,,,,,,
label,Reference - IFC Drawings VR 204.14 Table 204.131 VR 682.16,,,,,,,,,,,,,,,
label,Acceptance Criteria - Testing frequency shall be in accordance with Vicroad Specification section 204.14 (Scale A),,,,,,,,,,,,,,,
label,"○ The Contractor shall submit compaction test results for each layer of fill placement to the Superintendent for review and acceptance. No further fill placement shall be allowed if the total thickness of fill placement is greater than 1 m measured from the last layer that has been accepted. If any layer is found to be not in compliance with the compaction requirement, that layer and the layers above it shall be removed.",,,,,,,,,,,,,,,
label,Compaction Requirement to be Scale A:,,,,,,,,,,,,,,,
label,○ Characteristic Density Ratio 99%. (6 tests per lot),,,,,,,,,,,,,,,
label,Lot size:,,,,,,,,,,,,,,,
label,○ Type A Material - the lesser of one day's production or 5000sqm,,,,,,,,,,,,,,,
label,Attach: Compaction & Moisture Content Test Results,,,,,,,,,,,,,,,
label,"Method - Review Document, Measure",,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,12 - Post Compaction Material Property Testing,,,,,,,,,,,,,,,
label,Reference - IFC Drawings ,,,,,,,,,,,,,,,
label,Acceptance Criteria - Material Properties Testing (Scale A),,,,,,,,,,,,,,,
label,○ CBR ≥ 8% and Swell ≤ 1.5%,,,,,,,,,,,,,,,
label,○ LL ≤ 30% ,,,,,,,,,,,,,,,
label,○ PI ≤ 12%,,,,,,,,,,,,,,,
label,Grading:,,,,,,,,,,,,,,,
label,○ 150mm 100%,,,,,,,,,,,,,,,
label,○ 37.5mm 60-100%,,,,,,,,,,,,,,,
label,○ 9.5mm 25-100%,,,,,,,,,,,,,,,
label,○ 2.36mm 15-100%,,,,,,,,,,,,,,,
label,○ 0.60mm 10-100%,,,,,,,,,,,,,,,
label,○ 0.075mm 0-15%,,,,,,,,,,,,,,,
label,Select backfill must meet the minimum requirements of VR Section 204 for Type A Filling.,,,,,,,,,,,,,,,
label,Attach: Post Compaction Material Property Test Results,,,,,,,,,,,,,,,
label,"Method - Review Document, Measure",,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,Responsibility - SE/PE/SPE,,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint-status,13 - As-built Conformance Survey ,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,
label,Acceptance Criteria - Provide record of dimensional measurements to demonstrate that all Works meet level and location requirements within the tolerances,,,,,,,,,,,,,,,
label,Attach: Survey As-built / Survey Report,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,
label,Frequency - Each Fill Layer,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,
label,"Responsibility - Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,
label,Verifying Documents - This Checklist Signed-off,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,
note,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,
textbox,Name:,,,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,
signoff,Sign ITP,,,,,,,,,,,,,,,
