"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11fc48af-6bcd-4c14-b839-e1803e20cfb9","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS"
"6a3ae26e-94ed-41e7-85da-e198495d8f88","","folder-normal","pass","","step","TRUE","FALSE","EVENTS STAFF MEETINGS","2023 STAFF MEETINGS"
"1b6f67db-b8d0-5deb-9a31-04cc9cff17c3","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","ASSET NO#"
"d83ef7f5-4ee5-554a-b0b2-a2570e8c30f6","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","Asset Description"
"ae283b73-a39f-593c-beb6-835ea86dc205","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","Asset Serial Number"
"24830cda-92da-5013-b929-3befd8af34b0","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","Damage or Missing Parts"
"d5c55f24-8bb7-59e1-86db-beb50d012747","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","Current Location"
"9ccc9d3f-f4b5-5f61-8c50-e29ae6d18274","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0003 - MILWAUKEE REDLITHIUM-ION 4.0Ah BATTERY","Staff Sign Out"
"baf24b86-7e5c-4ba5-b8b4-a420efaf23b7","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW"
"378715e2-4292-5861-a210-6adb92b91825","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","ASSET NO#"
"5b322d83-506f-59bb-b3f7-227a23da081e","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","Asset Description"
"d13f0b1a-05c0-5073-a030-7c3f8c8df354","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","Asset Serial Number"
"b27f1c39-3ef2-5619-901d-1c430a2b2107","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","Damage or Missing Parts"
"b26c6a3a-318d-5ceb-9ec8-d6474c72a57b","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","Current Location"
"4cc208d9-3d05-5961-b568-be296281aca6","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0004 - MILWAUKEE MXF COS350-0 CUT-OFF SAW","Staff Sign Out"
"f4a4fae6-7044-492d-9600-9bb5723e95c6","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER "
"72fed694-db9b-53f5-83ab-962aa823cc54","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","ASSET NO#"
"d8da58d1-891a-599e-861c-55f48b5f252d","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","Asset Description"
"939cf9ee-325b-518c-9052-db29122f3ab8","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","Asset Serial Number"
"d29f040b-3289-5949-9544-5bdeb2d0fc17","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","Damage or Missing Parts"
"3bc0a326-974d-52dd-9c2d-2ea830f6c0f8","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","Current Location"
"98307f0c-b0e3-5b4d-93b1-080eec62e9ff","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0005 - MILWAUKEE MXF C BATTERY CHARGER ","Staff Sign Out"
"4e861ab0-8454-4bdb-b55f-49ed7a51395c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK"
"8386fe6a-1b47-5430-ba41-e60c3086ab08","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","ASSET NO#"
"52664b11-6f6d-5233-9c07-e07c576c313c","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","Asset Description"
"8e4d5dfd-2ec4-54b9-b24d-dc32040da271","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","Asset Serial Number"
"dcbc26ba-1d16-5e4d-8331-9c18de7d5a73","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","Damage or Missing Parts"
"972baeae-0946-5d6e-bf27-a95cfd999569","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","Current Location"
"e6b0809c-e88a-59e0-bb23-1bb80385b306","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0006 - MILWAUKEE MXF XC406 BATTERY PACK","Staff Sign Out"
"8f9d2bae-ee4e-4007-b41d-b527aa2c4b59","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK"
"266dc021-b1f1-5562-bc37-b5fa2898438b","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","ASSET NO#"
"25e44502-d38a-5265-8d58-24d8cd73c4b2","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","Asset Description"
"83ce8afe-233e-5686-bb28-aaf30b5a8475","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","Asset Serial Number"
"52c9f86f-47a3-5706-afd7-9c380eabc224","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","Damage or Missing Parts"
"bd83e894-6ccc-5488-a4cf-e280afe53d9d","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","Current Location"
"d8ef36b0-de10-56bc-b229-3a2d3da2e6f0","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0007 - MILWAUKEE MXF406 BATTERY PACK","Staff Sign Out"
"8e3d7c3a-b0ab-48f1-b28c-2ef0e22785c1","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK "
"e74f125e-96f7-50a6-bc4d-14202d0daa26","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","ASSET NO#"
"a0bcfe92-84df-569e-bf23-ed235227ba69","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","Asset Description"
"fdcfd415-0057-5af4-8f10-05911effda9f","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","Asset Serial Number"
"ee366dea-b110-5d1b-bc4b-6b9e1844d215","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","Damage or Missing Parts"
"6fb0846a-0310-54d7-9f97-17fee128bb4a","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","Current Location"
"0c95d23f-7cbc-5965-bf0f-9e4268d0bf57","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0008 - MILWAUKEE SWITCH TANK ","Staff Sign Out"
"ec03e574-8a17-455e-80fa-528c9039be4d","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER"
"bb74ac89-3709-58b1-aabb-479b15eae5ba","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","ASSET NO#"
"4f247d5f-fbde-5213-ba6f-ea3a28d13f3a","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","Asset Description"
"577b9024-727e-538f-a4c6-3e559a295b09","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","Asset Serial Number"
"5ff65be5-7816-5431-bbb3-18381d3a20a6","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","Damage or Missing Parts"
"9d072138-31ff-570a-a602-53efd8afcaf0","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","Current Location"
"0ca59396-a67e-5d84-b369-09ca69f63049","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0009 - MILWAUKEE M18 BBL BLOWER","Staff Sign Out"
"6ae3290f-36ef-44c6-9cc6-6cc86d903f66","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER"
"23bf452a-f205-520e-a01a-aadaf512a8e4","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","ASSET NO#"
"7b8738dd-36a1-5d01-aff7-1fb9ff28e3d7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","Asset Description"
"816db5ef-51d8-5063-95b0-2a3f2c837c4a","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","Asset Serial Number"
"feca162b-d6d2-5e25-b881-86a17402e21d","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","Damage or Missing Parts"
"63458392-f3a6-5ee8-9274-368a6f529029","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","Current Location"
"4f438fb5-dd23-57b4-996e-e75deb7708c9","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0010 - MILWAUKEE FAG125XPD ANGLE GRINDER","Staff Sign Out"
"af6c3491-f106-4211-9670-2c468b1b88c7","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW"
"51306d7a-d162-51b5-9e64-bdb0d21a243d","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","ASSET NO#"
"c14a029f-21c9-575d-a1b4-c068faddea03","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","Asset Description"
"71f7a96f-6a8a-5a2a-8966-74c7ef2a8ae3","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","Asset Serial Number"
"bbd617ea-a807-550a-8bc8-00ccf13e842d","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","Damage or Missing Parts"
"56032a57-1e81-5cde-a37b-bf229993b380","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","Current Location"
"23a2bf19-28f4-5b07-9e76-450538cf13c9","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0011 - MILWAUKEE FHZ RECIPROCATING SAW","Staff Sign Out"
"4da8ab72-1ca1-46c0-acae-411bf1a4d725","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW"
"763d66f4-af7d-5aa2-bc6a-3d9c5f9a7c1b","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","ASSET NO#"
"f581454a-3f42-5ce9-90fc-285432597e5f","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","Asset Description"
"a8ecc0d3-7aeb-53ac-b3f6-d2c74c10de92","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","Asset Serial Number"
"0677045c-71f6-5e81-aec3-db2f82410802","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","Damage or Missing Parts"
"4cfccc7e-9a3b-59b7-90bb-8d3c031755a5","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","Current Location"
"4658d6b5-b642-5b4f-8d91-2de5b743bd56","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0012 - MILWAUKEE CCS55 CIRCULAR SAW","Staff Sign Out"
"016cbdb1-de86-4bed-a761-237549964c09","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL"
"2aabe894-b56d-5cf7-be33-b42dc8a9b239","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","ASSET NO#"
"89d47686-a8d1-592a-a020-40575e13d31f","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","Asset Description"
"3b21dec8-b6d6-5b8e-9d10-05f4ea94501e","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","Asset Serial Number"
"e23ca746-fb03-5d1c-bcaa-e26fcba92e79","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","Damage or Missing Parts"
"f4018c35-5ada-54a3-b1d1-07dcc640cdc0","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","Current Location"
"b09777cb-5a95-5e4c-b1af-fd9945c4411e","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0013 - MILWAUKEE FPD3 IMPACT DRILL","Staff Sign Out"
"2de6c529-663a-4a9c-98bf-0b5234492bc0","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER"
"b20056fd-53c0-5326-9269-ac1c0c2d9343","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","ASSET NO#"
"4a1d16cc-3f73-5858-82ad-f822b563efd4","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","Asset Description"
"9e9a9536-e781-549f-a7f2-94e43993f43c","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","Asset Serial Number"
"704003d6-8cf6-5780-830a-5951f26fa819","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","Damage or Missing Parts"
"df4977df-afb5-5b9a-a151-00e6c344f741","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","Current Location"
"724a7409-0123-575a-87b0-6df4ab0cfe36","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0014 - MILWAUKEE FID3 IMPACT DRIVER","Staff Sign Out"
"da9a1aba-d675-4182-b90e-4546768e2643","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER"
"6705f71f-24a8-5d31-9b67-3c8505369d9b","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","ASSET NO#"
"f53636cb-c281-5657-93c5-77656cd3c713","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","Asset Description"
"10feb893-5ccd-581e-a32b-92bc9d809cb0","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","Asset Serial Number"
"ad52e6ac-78bb-5740-aaba-9e578044c815","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","Damage or Missing Parts"
"01b23043-06a3-5322-b464-ea6d9082905c","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","Current Location"
"66f68b1b-93cf-58e0-ae9a-bcd41e4d38c9","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0015 - MILWAUKEE M12-18FC BATTERY CHARGER","Staff Sign Out"
"d03156e8-0971-4e15-8088-582cf412797c","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY"
"3a4b77ed-e40b-50fa-b647-12093b4df960","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","ASSET NO#"
"10663ab2-3718-5aa6-872d-c9d30dbe9d97","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","Asset Description"
"c1106f13-c449-5687-b033-0cb848ed8c13","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","Asset Serial Number"
"b483b8dc-5616-5d37-adf4-5a873c3ba3af","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","Damage or Missing Parts"
"22b4f32d-7565-5e61-8710-a75f887c61f6","","checkpoint-status","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","Current Location"
"1f17f0c0-a41f-5d7e-9652-ebb1615d0aa7","","holdpoint","pass","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0016 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","Staff Sign Out"
"b36bc5f4-e1fc-400c-a741-332a44dd995a","","checklist-flat","pass","Transplumb Events Asset I.D","checklist-flat","FALSE","FALSE","EVENTS COMPANY ASSET REGISTER","0017 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY"
"87811b05-dbf2-599a-80f4-fc235a88a53d","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","EVENTS COMPANY ASSET REGISTER","0017 - MILWAUKEE REDLITHIUM-ION 5.0Ah BATTERY","ASSET NO#"
