"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b5d86007-1116-4929-94ff-1e251aacf238","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"2d33d8f4-a42e-45af-a79b-37c37e5578ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Overall Site Acceptance"
"3d6ab796-3f82-403f-a217-6e789cbdac6c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2"
"41a901de-a31d-453f-832b-5f76338fbea7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2","Public Areas"
"921a10d4-8eee-45a2-9788-fb43726824b4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 2","Public Areas","Lift lobby & Lift"
"dd2d515f-91b3-4638-9287-eb6a86cdbf9b","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR"
"d4ef1918-34d0-5bdb-ab3a-bd7f596cc171","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Prep Walls "
"44334d49-cf59-5705-8618-11c3852de224","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Walls 1st coat "
"a72d52ef-0efc-50af-807a-fae45a152655","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Common Area ITR","Walls 2nd coat"
"6c50b181-1b0d-4ab0-aaa8-26b10c949954","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria"
"e46eb382-757b-5aad-8129-6c75f6672e3a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Set out"
"133c684f-66d7-5a51-adc3-fceed8b3825e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Samples / materials & components"
"c75cc263-a348-5028-a5f4-addd18990a1c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Standards"
"063c2121-e60d-5c45-af8c-c05b3491f144","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Painting"
"a2cce4e2-f30a-567e-b084-1829e86693ed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Final inspection"
"2b8fef9c-1011-5338-a2b3-86d98b71d323","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Environmental waste"
"f1ea0e6f-45d1-566c-bc0d-01b400ea9b84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 2","Public Areas","Lift lobby & Lift","Overall Acceptance Criteria","Extra paint"
"174f431b-f98b-4249-be1e-e56b0fa4e5e0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1"
"592234bf-1c93-4fd6-a1b5-466cab34765e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1","Public Areas"
"ee881409-f230-4560-ac2b-b7d8cda3782f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift"
"24442d1a-7c5d-4964-a16d-7f86fff327eb","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR"
"03cbff9b-69bf-59fe-85aa-b993bc5dcb19","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Check Substrate"
"39b45a19-d55b-5c28-addd-dcfc31389594","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Masking"
"5fb05179-d1f3-545c-8466-d875e48062de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Sealer"
"6230a168-a69a-58d5-929e-f585f9476e0a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Ceiling 1st coat "
"7d4a9b45-9df9-5dff-97ad-f522acf12de8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Ceiling 2nd Coat "
"289bd324-4172-5752-bd0c-13032efec455","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","De-mask"
"1af783e5-245f-5a76-9f78-cef0b7b1323c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Prep "
"2d5130b1-3ca4-5ea2-97fb-91b1348f655f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Gloss 1st coat "
"e280b58e-e66e-56d9-b1ad-12fc77a65920","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Gloss 2nd coat "
"2f21411c-6d4a-5942-b242-722af68c459a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Skirtings"
"d3b59ef0-3a4f-5d77-a8ec-4cecc97d1920","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Prep Walls "
"328ebeb9-029d-5c82-b79c-7b672df00f03","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Walls 1st coat "
"2ab77503-2865-5e7b-a3bd-234f7a8641c0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Common Area ITR","Walls 2nd coat"
"c717a67d-0bc5-4459-b848-ebd6d2a1bc87","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria"
"9a6fc522-bc6c-55a3-8108-6d7979d4c094","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Set out"
"98a3408f-5441-5299-adfd-d59b3d207d40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Samples / materials & components"
"ff0eb76e-67e4-5185-8467-6d5d295951b1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Standards"
"72d55920-2b56-536b-9aca-1fe782262e1d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Painting"
"03899622-3088-5f40-9fc8-af9acc81df8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Final inspection"
"fe8d1cca-4b34-5e1f-bb2f-406e9e1c251f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Environmental waste"
"8fd50120-363d-5da5-9298-ad50dc5a86ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement 1","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Extra paint"
"d477d9fa-7e0f-4a29-814d-d99822f9c4a0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"681f997e-af91-431e-b5a2-763c31aa474c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground","Public Areas"
"d01db92f-ac1b-475d-8772-b395d83d2517","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground","Public Areas","Airlock"
"836b7a9e-c7f8-447e-be8c-85fe38102a73","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Airlock","Common Area ITR"
"14d59f1b-cab6-586f-91b8-b1469954696e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Check Substrate"
"b0142856-e842-53a4-a886-d2e97c0b1e42","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Masking"
"ad365627-b09c-55b2-95d4-f752c7b162c5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Sealer"
"9ccb3e62-29e2-5192-a94f-31014663e88e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Ceiling 1st coat "
"837165be-5763-56af-948d-ae7623cfa874","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Ceiling 2nd Coat "
"7d1c0302-49ce-593b-9e4d-b174ade37f91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","De-mask"
"73163530-2ade-5d66-a75c-4754f84a1a20","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Prep "
"79556f8c-ec31-570d-89e6-2b4051b4df76","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Gloss 1st coat "
"04dab108-02b0-53eb-84f2-993ccbebd77c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Gloss 2nd coat "
"6693bcdd-b970-5d4d-b484-e5b901e0fc5b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Skirtings"
"7148a946-2c08-5150-ab73-866885752cbd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Prep Walls "
"abde7db4-204d-5c87-90dc-cc2ec5fe60fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Walls 1st coat "
"4813d16b-7feb-51a3-8806-718c7b1593cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Common Area ITR","Walls 2nd coat"
"22f51fda-e14c-44a4-bf3e-6961bd183d0d","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria"
"a8dcc9ca-f3bc-53cc-83ec-3076a05d7c70","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Set out"
"cdd12d4e-041b-54b0-b991-622cf5dd104b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Samples / materials & components"
"450704c7-df5a-5130-a3d5-eb6e264423b5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Standards"
"9829fdef-e890-59ba-a016-0a1be1a7926d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Painting"
"56173ba0-2f69-53bd-98f8-727404a0a449","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Final inspection"
"7e617107-8a7c-53cd-832b-99982ed64ea2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Environmental waste"
"9cb53ecf-5341-5aa9-a03c-efdccefd9b56","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Airlock","Overall Acceptance Criteria","Extra paint"
"030e6477-0035-460a-92fe-330108a3b880","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground","Public Areas","Lift Lobby & Lift"
"7bf08598-07c8-4f2c-be2b-416167455155","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR"
"33d9e813-71d4-5fa0-a95e-5c79ab1be57a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Check Substrate"
"03294b6d-d4e0-53eb-8947-f1c2d9120785","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Masking"
"3ac4e0b8-f0bc-5eef-8ff7-29afe58fc998","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Sealer"
"454300a1-e6dd-5187-87fe-d0ca02a12b5e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Ceiling 1st coat "
"16003555-e4f3-5218-93f4-7a37050fe83f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Ceiling 2nd Coat "
"e9833688-86f7-5f45-98fe-3dd6f32119b8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","De-mask"
"1985a477-da59-5e7b-91ad-86c42a1f9b6d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Prep "
"9431e083-77f5-56c2-965b-29547259aa2c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Gloss 1st coat "
"b127c549-44b6-5c04-b62a-5e4c6dfd1893","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Gloss 2nd coat "
"907b3e2c-ae26-52c5-99e7-9cb55127d238","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Skirtings"
"e3949370-bd96-548a-8f96-ce2916c3bb8d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Prep Walls "
"94ae7386-c7ec-5b1c-8231-33b01137020c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Walls 1st coat "
"8b106156-b542-5b20-a887-7775dadabff2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Common Area ITR","Walls 2nd coat"
"23ff936f-13d4-46fa-afc1-7a7acb8f4d23","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria"
"0536973a-902f-5956-9c3a-1a571589600c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Set out"
"c8689bf1-9fe9-5c16-963e-f164b71abb88","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Samples / materials & components"
"954cff2a-ce99-5930-95a8-63bdb725de50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Standards"
"4f46c6e4-51e7-5f6a-ad0a-2e98c394bc84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Painting"
"cf243b87-abd0-5f7e-b868-5c99279fab84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Final inspection"
"fa4d5155-c921-5eb6-882c-01eebac38a50","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Environmental waste"
"6017b67b-b08f-5b4e-a18c-a013f0837bd3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Lift Lobby & Lift","Overall Acceptance Criteria","Extra paint"
"fca3ea1e-308b-4fcc-a6de-417931da2865","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground","Public Areas","Commercial Waste"
"a6f592bd-bb1e-4867-b1e0-d78d304de623","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR"
"43099431-8575-5805-93e8-a3dcb8f7301d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Check Substrate"
"a4849442-01ad-5b5a-8105-384c5e2c87cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Masking"
"b4eadb61-4959-5c3c-a3dc-b54d8a13da5d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Sealer"
"0bdef537-dd1e-50b1-8331-4c5032619f80","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Ceiling 1st coat "
"0effff8e-0d25-5d4c-8dbf-67ddf12e24ca","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Ceiling 2nd Coat "
"7d208bc9-3ff4-5ffe-bdaf-87ed70995918","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","De-mask"
"07940a08-efc4-56a1-9cfc-770fb4430423","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Prep "
"e181393e-5068-5998-bacb-693ca93f03ed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Gloss 1st coat "
"c39835df-3a05-548e-abe0-f276f17eb44b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Gloss 2nd coat "
"26021d56-eed5-5349-ac62-160cb9f175a3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Skirtings"
"5cbf9c95-b52f-5f78-87ff-8792f83a9db8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Prep Walls "
"91331c42-03b2-5838-bf18-fe11361f68f1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Walls 1st coat "
"1a81d71c-3184-5f4c-851c-448ce4b4e38d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Common Area ITR","Walls 2nd coat"
"57c2196b-32e0-4700-a6ab-4ba2e640edc2","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria"
"109cb43d-1ff1-56d2-bed7-4d5ab70eeb17","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Set out"
"008e9c5f-89f3-5796-a545-87b3764fefcc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Samples / materials & components"
"5d8c119f-f8ca-5ed3-8ee7-d1041cd6bc76","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Standards"
"f9617f63-f7d0-5cd5-b783-6a7e5d24f970","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Painting"
"3ea1950d-accd-5b4a-973b-c69351550f21","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Final inspection"
"26972e97-7d7b-58b5-9e03-c1400d8b8003","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Environmental waste"
"4ba013c7-2f02-5bae-80fe-bacf5d3827b5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Commercial Waste","Overall Acceptance Criteria","Extra paint"
"aa805dab-2661-41cf-a856-c96f80c104f8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground","Public Areas","Comms Room"
"d3aac756-bd88-40d6-8275-cc369e113331","","checklist-flat","not-started","Common Area ITR","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR"
"a5ddbacd-4a8c-5d54-ad1a-1bc90395b86f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Check Substrate"
"535d9702-edae-5164-aab7-a4e671750c84","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Masking"
"9f611edc-5058-54f6-a878-664aa3da6091","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Sealer"
"3a25c1c4-3e90-5738-891a-c3a7046358cc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Ceiling 1st coat "
"49860100-7410-5f7e-9570-6376e1515387","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Ceiling 2nd Coat "
"79241c25-c8f6-5053-9880-feed37fa1888","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","De-mask"
"a81e1840-5831-5bd7-9188-10b8d0dc4dfa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Prep "
"61fa80f9-cccf-55f1-aa24-35f69ce6304d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Gloss 1st coat "
"d6055ce1-02f9-5b90-a707-3c50344d116f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Gloss 2nd coat "
"ad507a38-5dce-5b3e-996e-899252e6dede","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Skirtings"
"06c34668-dbf5-55bd-9899-29843d4de0b6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Prep Walls "
"c7aac77c-aeca-582e-919c-53c5d592e585","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Walls 1st coat "
"5a1457d4-9967-537f-baee-284f3af766c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Common Area ITR","Walls 2nd coat"
"34124216-c10f-4e17-a483-382226b95269","","checklist-flat","not-started","Overall Acceptance Criteria","checklist-flat","FALSE","FALSE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria"
"371e5afa-fa69-5854-a3d0-efe21e65cbbc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria","Set out"
"a386cf32-6e71-56e1-9596-93c77b931390","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria","Samples / materials & components"
"68134611-e43e-59a8-83ff-1c3ea42a50a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria","Standards"
"d42d4277-2d99-540d-ac0a-36900d29df20","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria","Painting"
"6b999556-56ee-5647-8d15-c7501e76c119","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Ground","Public Areas","Comms Room","Overall Acceptance Criteria","Final inspection"
