"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"17bcdf21-9b71-5e35-8c00-1905552f8900","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"e398c9a0-3739-4ddb-97f1-f5b1f93157f5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Pressure Test Report QCC-01.01"
"ce094cc1-229d-5766-ac98-27eb1faf1d0a","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","CENTRAL LAUNDRY FACILITY","LAU HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"c9debd08-218f-4160-a2d7-f1b70ee97539","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1"
"caac188b-41fe-4aaf-adb2-c0a0d76d40b3","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Trench Pipe Riser Installation Checklist"
"b86500a5-88e5-5643-8956-535f19e7eb44","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"34d6971d-a397-46c9-b168-f1dca02d512e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Trench Pipe Riser Installation"
"84c2dbcb-7eae-5a93-859f-9c956a132aba","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"fea236d1-6e41-4b74-8679-9a4d67528ee2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Pressure Test Report QCC-01.01"
"807f874c-373c-54d1-b80c-bed3f3bf99cb","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"72537727-9b7a-4a62-8954-86047e354835","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Pressure Test Report QCC-01.01"
"45025cf6-1857-5316-ab4f-7b7668c8ca9d","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 1","MH1 HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"538a6a81-65a9-4325-a63b-761f4e17424e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2"
"b155e823-4a0a-454b-bb29-9dadfb249a92","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 Fire Trench Pipe Riser Installation Checklist"
"9f38a39a-f76a-5405-8d6a-7251145b6815","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"73412875-149d-4493-9b85-85f5e187762c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 HHW & CHHW Trench Pipe Riser Installation"
"bdab3f7f-be3b-5c0d-a8e6-f14ef10f608d","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"2e3af467-fdd4-44ef-9f6e-0aee6a81d093","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 Fire Pressure Test Report QCC-01.01"
"6575c3f4-d4bc-5475-845c-ddbc8e3e4959","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"30f55f31-8e9b-41ec-b09e-67176d11e4db","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 HHW & CHHW Pressure Test Report QCC-01.01"
"1c8bc878-d2f1-59f9-b450-767c96f7750a","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MENTAL HEALTH 2","MH2 HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"cd744feb-d4fd-463b-9eba-81da9c65d1be","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT"
"949837cf-7c70-4b65-895a-ad649c7d92da","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU Fire Trench Pipe Riser Installation Checklist"
"708bb64d-030f-5c4e-bb42-9f2dad9af59f","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"1352bf62-2fc3-49aa-9fee-4a534f5be081","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU HHW & CHHW Trench Pipe Riser Installation"
"b0473670-9161-58bd-bc8e-b575b4b2a161","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"a06b6792-8388-419b-ada2-92bbc4ce0d68","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU Fire Pressure Test Report QCC-01.01"
"34a238a5-f30a-503f-8df3-748d7f470ce7","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"8db69f15-682b-4104-9202-b5bb95c88b38","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU HHW & CHHW Pressure Test Report QCC-01.01"
"d05fa028-4800-539f-a005-56bbcf9b0673","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","MANAGEMENT & SEPERATIONS UNIT","MSU HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"bf0e72d5-baef-4bfd-98c9-5e084f67c50a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY"
"035cf60a-d8c2-4822-aec3-7ebe79c38305","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO Fire Trench Pipe Riser Installation Checklist"
"3e4f7e72-7f57-5a44-ac99-2b8ce42446e4","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"a4399986-8d25-402f-81cd-b7f1bb461bc9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO HHW & CHHW Trench Pipe Riser Installation"
"29c09e4d-5e48-51e8-9564-433715513e42","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"d460a44b-2910-4dd3-8f01-4d516b260c86","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO Fire Pressure Test Report QCC-01.01"
"ba9f3763-eac9-5869-88e8-8939a5e2b5a5","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"4a74b7d7-dadd-4906-b219-eac8cd263229","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO HHW & CHHW Pressure Test Report QCC-01.01"
"332ea3fa-4ea4-58ef-bb81-f7e1ceed547c","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","PROGRAMS FACILITY","PRO HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"dadc3bfd-69a3-4b2d-99f8-71010475ebce","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES"
"860f58b0-361b-402e-87c2-10dcb16b372a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA Fire Trench Pipe Riser Installation Checklist"
"3eb511fa-b49e-5bd8-b350-89de0f55690e","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"ab6492b6-0a9a-4adf-a4ca-c4f658a2e13e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA HHW & CHHW Trench Pipe Riser Installation"
"0f6d537b-0dec-5322-9d73-466303ea3fe8","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"f9cda65c-34b3-46eb-99d9-6982a3608ac6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA Fire Pressure Test Report QCC-01.01"
"21ad7dff-e105-5c23-9535-8d2d74b5b156","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"54f15ea3-e835-42ad-b01c-dbf433167f8b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA HHW & CHHW Pressure Test Report QCC-01.01"
"dd3578cc-cc62-5361-826b-c9900d0eeee0","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","ADMIN, STAFF TRAINING & STAFF AMENITIES","STA HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"f8788c6c-3ce8-40cc-8f95-6e2f933956a1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","UTILITIES 1"
"09f84283-6e4e-4f02-8df8-4ff92585eb6d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","UTILITIES 1","UT1 HHW & CHHW Trench Pipe Riser Installation"
"e83258dd-d022-56b8-8e04-be9a10da7a0a","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","UTILITIES 1","UT1 HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"ba204466-8a59-42df-af13-9705d9cda41d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","UTILITIES 1","UT1 HHW & CHHW Pressure Test Report QCC-01.01"
"3c1a7e24-9b3b-52e1-b568-2ffcc37e64d9","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","UTILITIES 1","UT1 HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"784d5ecd-18c1-4cf5-b30f-4d34762d4d62","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE"
"243588a6-04e1-482d-9c4c-0374604b5c81","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Electrical and Communications Conduit Trench Riser Installation checklist."
"11c00ee1-fd52-526d-86ad-8b303ff428e2","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Electrical and Communications Conduit Trench Riser Installation checklist.","Electrical and Communications Conduit Trench Riser Installation checklist"
"ec944b5e-de6e-4445-8fe4-c4a46b4bf87f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Fire Trench Pipe Riser Installation Checklist"
"d027cde8-429b-5f59-99f2-2dd03acb9277","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"07140d68-bff9-47e1-9fa9-9b976c6046d9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC HHW & CHHW Trench Pipe Riser Installation"
"b1447ded-e3c7-5324-aed1-4b56cf7b1e2c","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"4e758fbc-73a6-44d8-b690-c48aed05b54f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Fire Pressure Test Report QCC-01.01"
"295798ae-e918-57e3-bae8-a41fe9c15d9e","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"334a85c4-1d39-49d2-a92f-f85c359eb929","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC HHW & CHHW Pressure Test Report QCC-01.01"
"7e81c484-afc5-5bf3-a523-0a314004d281","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","VISITOR RECEPTION CENTRE","VRC HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"949b6c1b-9a1f-463a-8c10-feb123259426","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WASTE MANAGEMENT & RECYCLING"
"65dbd2bc-3426-41bf-bee4-a0f032d71fcd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WASTE MANAGEMENT & RECYCLING","WAS Electrical and Communications Conduit Trench Riser Installation checklist."
"db54e2ee-fb86-50dc-aa83-253c01b5e8f5","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WASTE MANAGEMENT & RECYCLING","WAS Electrical and Communications Conduit Trench Riser Installation checklist.","Electrical and Communications Conduit Trench Riser Installation checklist"
"278389df-da8d-49c9-ab97-d8cb34b9c3ce","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE"
"ea01ebd9-39dd-47dd-9e19-e4c7d4709a2d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA Fire Trench Pipe Riser Installation Checklist"
"2ccab9bc-be21-5091-ab9f-0f0c6c4b53a1","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"076db31a-c15a-4c0c-ac0d-6dd54fe9793d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA HHW & CHHW Trench Pipe Riser Installation"
"4a2c8c7b-8fb3-5346-aff1-36cbb1892a91","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA HHW & CHHW Trench Pipe Riser Installation","Trench Pipe Riser Installation Checklist"
"eb758e6f-f0d3-4f00-a92b-014cea0c367a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA Fire Pressure Test Report QCC-01.01"
"ad2c0eeb-e0f4-559f-826f-b6a027174e62","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA Fire Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"1d87a75d-b6ad-45ca-bf5d-97dd50d0b7b0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA HHW & CHHW Pressure Test Report QCC-01.01"
"4a1f5419-0865-59ec-a676-0e2e86a5729b","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","WHARE","WHA HHW & CHHW Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"bd970a0a-0cc3-45e0-8154-6036ca00a2f6","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1"
"351bb6ea-bb03-48ce-8790-788995a64dff","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Electrical and Communications Conduit Trench Riser Installation checklist. 	"
"614739e2-6ee9-595c-91ff-711112149fbd","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Electrical and Communications Conduit Trench Riser Installation checklist. 	","Electrical and Communications Conduit Trench Riser Installation checklist"
"2052b22e-e706-4cc0-bc56-99656b48d619","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Fire Trench Pipe Riser Installation Checklist"
"8d6376b7-9801-570b-b31a-add6cf0b41fe","","checklist-flat","pass","Trench Pipe Riser Installation Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Fire Trench Pipe Riser Installation Checklist","Trench Pipe Riser Installation Checklist"
"38138939-b3d4-4637-97d3-3aa696225b50","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Fire Pressure Test Report QCC-01.01 "
"7aeafe26-21ea-5763-8d3b-c246708e0235","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 1","HR1 Fire Pressure Test Report QCC-01.01 ","Pressure Test Report QCC-01.01"
"5cc08c69-b8ac-4104-b874-3b48c238e68f","","folder-progress","pass","","checklist","TRUE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2"
"bd5687b8-7fef-4fe2-b44c-3aed27ecc9a5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Electrical and Communications Conduit Trench Riser Installation checklist"
"803eb3bc-758f-5637-8b0c-fc180875c92e","","checklist-flat","pass"," Electrical and Communications Conduit Trench Riser Installation checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","In-ground Services Building Trench Risers","HORTICULTURAL SERVICES & GROUND MAINTENANCE 2","HR2 Electrical and Communications Conduit Trench Riser Installation checklist","Electrical and Communications Conduit Trench Riser Installation checklist"
