Type,Name,Values,Prompting Name,Postfix,Resource Id
checkpoint,2.5 - Coring,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Core pavement to required depth as per subcontractor ITC for relevant Method.,,,,
label,○ Remove base and clean void.,,,,
label,○ Existing AGL secondary cables removed after coring.,,,,
label,Reference Documents - AGL Subcontractor ITC CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Subcontractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,2.6 - Blanking Plate,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - As required, core holes and luminaires to be safeguarded to allow for placement of asphalt with a Blanking plate.",,,,
label,Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This Signed ITP & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,2.7 - Light storage,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - After removal of the light, the subcontractor must ensure that the light number and position is recorded and stored accordingly for re-installation.",,,,
label,Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
section,3.0 - Installation of Light Foundation,,,,
checkpoint,3.1 - Setting out of Airfield Luminaires,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Existing lights shall be reinstated following the overlay works in their existing location and at their existing orientation utilising the survey data captured prior to their removal before the overlay works commencing.,,,,
label,"Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031, GHD-DD-SPC-002 Section 3.19.1",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - SCP,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Surveyor,,,,
date,Date Completed:,,,,
checkpoint,3.2 - Coring,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Core pavement to required depth as per subcontractor ITC for relevant Method and Section 3.19.3 of Specifications GHD-DD-SPC-002.,,,,
label,○ Remove asphalt core and remove blanking plate.,,,,
label,"Reference Documents - AGL Subcontractor ITC CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031, GHD-DD-SPC- 002",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Subcontractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,3.3 - Installation of Light Base,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Method 1:,,,,
label, 1) Re-instated Light Location is to be picked up by survey as per Section 3.19.1 of Specifications GHD-DD-SPC-002,,,,
label, 2) Secondary cable and earthing are to be places in Slot cuts,,,,
label, 3) Reinstall existing light and reconnect secondary cable and terminate earth on light base as per Sections 3.12.4 and 3.19.3 of Specifications GHD-DD-SPC-002,,,,
label,Method 2:,,,,
label, 1) Re-instated Light Location is to be picked up by survey as per Section 3.19.1 of Specifications GHD-DD-SPC-002,,,,
label, 2) Reinstall existing light and reconnect the existing secondary cable and connector as per Sections 3.12.4 and 3.19.3 of Specifications GHD-DD-SPC-002,,,,
label,Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031 Sub-Contractor ITC,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & AGL Sub-Contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
section,4.0 - Installation of AGL Luminaires,,,,
checkpoint,4.1 - Installation of Inset light,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - A jig must be used to install, locate and level the inset light unit base in position in the core hole and maintain the base in position during the curing of the epoxy grout.",,,,
label,"○ Ensure correct light is installed in correct position and rotation as per the IFC drawings, this ITP and ITC",,,,
label,"Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031, GHD-DD-SPC-002 Section 3.19.6",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & Sub- contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,4.2 - Light Fitting Functional Check,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Light illuminates correctly (aiming, orientation, existing colour) as per existing photometric specs",,,,
label,Reference Documents - CP1024-GHD- AD-L00-DR- EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031 GHD-DD-SPC-002 Section 3.19.6 MOS 139,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & Sub- contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,4.3 - Cabling and Earth Bond Verification,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Termination as per IFC and testing requirements of AS/NZ 3000,,,,
label,"Reference Documents - CP1024-GHD-AD-L00-DR-EE-0003 to CP1024-GHD-AD-L00-DR-EE-0031, GHD-DD-SPC-002 Section 3.19.6 AS/NZ 3000",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed & Sub-contractor ITC,,,,
label,IP,,,,
label,Responsibility - Site Engineer / Site Supervisor,,,,
date,Date Completed:,,,,
checkpoint,Final Inspection,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,
textbox,Print Name:,,,,
textbox,Position:,,,,
date,Work Completed On:,,,,
date,Date:,,,,
