"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"81cfefd2-5a9a-4dae-95a4-c0ce4325ac42","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"cf5d8b46-9a19-4fde-a605-d82c77a74403","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Ground"
"dee1680d-c325-4799-a2d5-f056c524302f","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D1"
"4e189879-ebe5-59b8-8384-80cc8c2e882d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D1","Door Jamb Inspection"
"6759fd83-0a47-5e7c-a259-b875e7b80a5d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"d1af9efb-1298-5dcf-972d-80415fb4323d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D2","Internal Door - Door Install"
"c55097e4-dc0b-523d-b14b-2460e2ca5438","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door - Door Install","Hang Door"
"c7acb6d7-b471-5a7b-addc-1c5bfa433afd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door - Door Install","Door prep"
"ba451ce3-ed92-57aa-b0ea-804a64faaf34","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"1a00a127-f1f8-5ab9-a9ad-d0cac66e3136","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door - Door Install","Signed off - Contractor"
"6629e0cf-d1a6-562b-868b-bc8a2c02a9a5","","holdpoint","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door - Door Install","Signed off - Builder"
"4493d0c0-ac0a-50be-9b08-760dc55cec7c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D2","Internal Door Handover"
"62fcb239-5f82-5f0a-9265-35c66d64066a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"a0e52d5b-d350-5db4-bf25-8d84bc2d9725","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D2","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"111398fc-7012-4184-a00b-92a2e526efb3","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D3"
"f99a2941-5cb8-58c3-a62b-61dc0e6dbd62","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D3","Door Jamb Inspection"
"f6a5c63b-88ff-56f6-8957-b353843cf107","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Door Jamb Inspection","Door frame as per door schedule"
"4a855f39-5642-53a0-9fa7-d1a06c90ac30","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"c1496edb-8d32-5640-ac47-16bfa9d2373d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D3","Internal Door - Door Install"
"9ed53100-e726-5c48-9063-7c4713a9a590","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door - Door Install","Hang Door"
"28834b7d-e058-50b4-a402-51d67795a7ec","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door - Door Install","Door prep"
"1727527b-00de-526e-93c6-49689a289972","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"829f0e42-c7f8-5c6f-a9e1-a417527470bd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door - Door Install","Signed off - Contractor"
"efc8b0d9-6a79-5bd3-8475-049af2e01668","","holdpoint","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door - Door Install","Signed off - Builder"
"cf9ae1e7-b16f-5085-a5d8-4a97a6d956a9","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D3","Internal Door Handover"
"52a5f96f-947f-5f6b-a5af-0337084548a6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"2b50cdb6-3d11-50ba-8c8e-3822ceb82ec4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D3","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"92922e2f-ccf2-4c0f-a843-2e26bb8571bd","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D4"
"7ffec396-8695-51f8-8888-ce4367468c90","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D4","Door Jamb Inspection"
"303b873c-e5fa-51f5-a6b6-721e9de95522","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Door Jamb Inspection","Door frame as per door schedule"
"fcecaddc-d732-5f3d-a0ff-fd805463c48f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"497d8060-05d2-5aad-a220-f22a0b918ba8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D4","Internal Door - Door Install"
"7f011894-70a6-51d7-9976-9b00d404b81e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door - Door Install","Hang Door"
"86540c3d-7314-5c9f-b5ad-1004382f177b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door - Door Install","Door prep"
"f3c4823d-1ab1-58eb-ab01-ccd54f8de9eb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"5458d746-902b-5b62-b06e-fb0e70c6702e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door - Door Install","Signed off - Contractor"
"9440bbde-b548-5927-95a6-ac6e9b304ed0","","holdpoint","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door - Door Install","Signed off - Builder"
"7924d858-77ba-5f34-9531-23ee51100b0b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D4","Internal Door Handover"
"e784be3e-bc3c-5073-b28f-da1f85f217eb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"05ea7f89-d615-51b2-b429-c67120c78afa","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D4","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"d330f4a2-7e65-446e-b9b5-bd44a6eecc87","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Ground","D5"
"2b666f94-c320-56aa-8b38-8e6e1d9c579f","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D5","Door Jamb Inspection"
"b030e82a-3dcb-57eb-8a77-b422fa8a414c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Door Jamb Inspection","Door frame as per door schedule"
"cabb58d8-5c5b-56a3-9c19-5d46a6b47b5e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"c3f521e7-c56b-53f6-b64b-8e4c2915bad0","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D5","Internal Door - Door Install"
"2ad7b344-811d-50bc-b08b-61abdb109db8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door - Door Install","Hang Door"
"7ffd9d56-b09d-509e-8106-394f7a9117e2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door - Door Install","Door prep"
"09da103a-03a4-5c02-96c0-164808eadc72","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"df33d671-fd1c-5d5f-af33-a5889df3c224","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door - Door Install","Signed off - Contractor"
"28ff1446-a2d5-5c63-aa22-5aa03a55a9eb","","holdpoint","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door - Door Install","Signed off - Builder"
"2a6f4c0d-79df-5a6d-87dd-e348e5ba6e79","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Ground","D5","Internal Door Handover"
"54aa2558-00ea-5d5a-844b-c4267ff2ea62","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"1700c3ad-7977-5d0d-8d00-9345f9937841","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Ground","D5","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"01d9c2f1-df3a-4f7e-86af-24d906b262e8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1"
"fefcc6a2-c0e4-4910-a5f4-d7e5ac474c48","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 1","D6"
"4b80deee-e90c-5eed-8eee-9dfe1232db1a","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D6","Door Jamb Inspection"
"e9c90f85-03c2-5b27-8af4-8377315e6968","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Door Jamb Inspection","Door frame as per door schedule"
"464e6958-e81e-5a14-973e-7bf6cf33635d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"3e39dc16-89e0-5381-a971-0718c469d0e4","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D6","Internal Door - Door Install"
"69934d93-1e5d-51bf-b6bd-eef9496deb6d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door - Door Install","Hang Door"
"e0ac8ceb-507d-54a7-9e1f-6874c2a4b29c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door - Door Install","Door prep"
"8d4711d4-c08a-5ff8-b65d-fb1f149375f6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"6cef8bc2-897b-5669-956c-492725f0b2c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door - Door Install","Signed off - Contractor"
"f74b6962-0e6d-5f5d-8eb3-d07cd8ee875f","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door - Door Install","Signed off - Builder"
"8e2e778b-983a-52d6-bee2-a20b023b0b5d","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D6","Internal Door Handover"
"1af0f75a-51af-5c0f-be58-ac878c0768aa","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"4165b63e-b804-5e71-863b-c33c9e08f82d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D6","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"316474af-ffa9-4dd1-ac45-d9c46220d798","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 1","D7"
"b147f587-3b28-5799-9bbf-fcc6ee29d285","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D7","Door Jamb Inspection"
"06614272-6b2a-595c-876a-a0d665f1dfc8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Door Jamb Inspection","Door frame as per door schedule"
"d975d189-21a2-500c-b1c4-884360dde0d0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"cbc7f227-68c9-5f2a-96a7-84156245286b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D7","Internal Door - Door Install"
"4f3d77e0-11f0-5a36-99eb-dda71378b00d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door - Door Install","Hang Door"
"7b07f923-247c-520d-9e4f-c0913ee14771","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door - Door Install","Door prep"
"645bbb42-9bc0-53c5-a64d-4f1a6a956c86","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"905d0f48-cf78-5768-a4fb-b1c524014417","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door - Door Install","Signed off - Contractor"
"8a30ae03-5af5-5eb6-a4ad-1aad48ba1cc1","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door - Door Install","Signed off - Builder"
"3cce3933-6679-55b1-a453-bfc93b47b743","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D7","Internal Door Handover"
"b7a6fc0a-a816-51e0-ac88-e62f7fc60af4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"ae212bd2-3be9-5ba2-b89a-53228d72902d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D7","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"70a88d0a-57e3-4538-9abc-9d5a4702f40a","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 1","D8"
"0fefae21-a23f-5085-8fe1-e550d07e90e0","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D8","Door Jamb Inspection"
"3d6968ca-0b48-55d1-a8d0-21f086a69397","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Door Jamb Inspection","Door frame as per door schedule"
"53546788-fec3-5e7d-becb-b81c2f3a2183","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"5c5bf908-975b-5c2d-97a9-e92a07049c8e","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D8","Internal Door - Door Install"
"513baa67-e240-5add-83ec-5e30e59bd5f3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door - Door Install","Hang Door"
"072d9d4d-1b45-5bba-bb18-cc7adf4f594a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door - Door Install","Door prep"
"8c9d4b95-cef5-517a-90ec-4b74b9798d67","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"e9f241e2-5a41-5097-825d-bbdf98cd079c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door - Door Install","Signed off - Contractor"
"068cbfbf-c301-5302-8f44-9bf5b5cd3db3","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door - Door Install","Signed off - Builder"
"754ec6ef-e128-501d-be66-460bb70bac5c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D8","Internal Door Handover"
"6e6bbcd5-a832-5f27-bc5a-768dbfb26b98","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"21eb8efe-35f6-5076-bb1a-a523e96a3f8f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D8","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"bb5eb132-3bfa-4fee-b095-af8a5f8629fc","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 1","D9"
"68ae39a0-b2a5-5ba9-9a8f-c36f369d6b55","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D9","Door Jamb Inspection"
"f034202a-e8a8-554f-b4a7-1a401e3fc3a5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Door Jamb Inspection","Door frame as per door schedule"
"c6aeb2f5-7f4e-5a66-ac50-bfe4c52b1f43","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"ab631763-c4d5-55aa-a4c6-a4543c38425c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D9","Internal Door - Door Install"
"f32be710-0cad-56fb-a003-3db710e5533c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door - Door Install","Hang Door"
"6b86e51e-0141-5ecd-902e-2d4eb17087d7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door - Door Install","Door prep"
"ee201553-cfab-5041-925f-9c2323699377","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"a85293c2-6d82-5403-a2a0-025ef5141198","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door - Door Install","Signed off - Contractor"
"f9796103-9f22-5671-a3f2-7c1a605f122f","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door - Door Install","Signed off - Builder"
"6b059685-b6f9-512c-bc07-440d20f2c02b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D9","Internal Door Handover"
"78c0df56-7880-52e6-9e4e-13f3c161ae5a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"4701d15f-400e-563d-b676-387102029716","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D9","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"bebf2c20-8d68-4004-96c6-37546452a126","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 1","D10"
"c774a010-193b-5c64-9e1c-cfda3bf9b1d8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D10","Door Jamb Inspection"
"785f155b-af6e-5d67-a46b-9e2129b2eab7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Door Jamb Inspection","Door frame as per door schedule"
"ec89a392-42a6-5fb2-9d48-a0f1ab040f32","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"af11969e-829b-5ec2-a38f-6ee6d1108f7a","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D10","Internal Door - Door Install"
"71c4a457-1ed3-5bbb-b69c-504eee4d932a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door - Door Install","Hang Door"
"dc7fc3e7-6e1c-5b1c-83ec-5f72b4110cdb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door - Door Install","Door prep"
"74a06e97-ca84-5b68-bbc0-e1dda22c8273","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"6b0a5ccd-4d23-552b-88e7-46e34c0be482","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door - Door Install","Signed off - Contractor"
"194e5808-08fe-594f-bd7c-de989d9dd227","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door - Door Install","Signed off - Builder"
"facb6ea1-9291-5462-aa58-b8fc1960b227","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 1","D10","Internal Door Handover"
"33ddcfe7-aea9-578b-9ed9-825c529da098","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"42224204-18a9-532e-885d-8781f6080d8f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","D10","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"951bb47f-cc92-4399-84d2-e5736d568b7a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 2"
"8ca30c0f-edf7-4886-bba5-54547b91a994","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 2","D11"
"7c22c265-d62d-5024-a203-f78ca96ee3a8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 2","D11","Door Jamb Inspection"
"32fad5dd-7a88-5dca-84a0-7644ac4d87b0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Door Jamb Inspection","Door frame as per door schedule"
"acf2332c-db93-5482-a3b9-c28447740624","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"5c66e022-9653-535d-bfdf-aca7a5782202","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 2","D11","Internal Door - Door Install"
"178da4c8-7201-5655-b459-0d3d9ea1d199","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door - Door Install","Hang Door"
"715d7f2d-ae9f-5599-8bfd-8d9198712c21","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door - Door Install","Door prep"
"40ac32f0-3477-55c1-9619-23de3cdd63a7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door - Door Install","Door hardware in line with Door Hardware Schedule"
"1e4fb2eb-7eda-5238-8b37-fd9da5821cce","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door - Door Install","Signed off - Contractor"
"7e30d3ac-094b-5b11-aa73-01025c24b4d2","","holdpoint","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door - Door Install","Signed off - Builder"
"b10fec24-4313-5b8e-aa35-f643cda94d0b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 2","D11","Internal Door Handover"
"fd26bdc9-7983-5acc-9552-fb3ff8217f76","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door Handover","Work(s) completed to specification/drawings & Area left clean/tidy"
"482acdba-1da5-5475-b367-aa46f384ae5d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D11","Internal Door Handover","FINAL - Pass when happy to proceed with work(s) (Any issues please comment below)"
"4d236073-c8be-46ea-afd4-1d9c2e165ce1","","checklist-sectioned","pass","2afb069763fb68591b98629737660fe8d9bf30dc3246beb36244255c92bc3d59","checklist","FALSE","FALSE","Site QA","Level 2","D12"
"4072597a-5ed7-5f57-85ab-677b25ae32a0","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 2","D12","Door Jamb Inspection"
"2e7f4f8b-6c38-595f-90f7-82c5bdfc39b2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D12","Door Jamb Inspection","Door frame as per door schedule"
"39fb0cfb-136e-5520-9bcd-a585e8e745b5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 2","D12","Door Jamb Inspection","Inspect door frame install to confirm as per door schedule, leaf installed plumb and true"
"4615c89b-f904-5260-a6a1-abac1959519b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Level 2","D12","Internal Door - Door Install"
