"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"ee893557-596c-4034-aa7f-ed32dd9b774a","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation"
"04e0270a-cdaa-5058-bdfa-8adc3b4e6cb2","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:"
"62eada03-6606-58de-bd42-644719be95d8","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check pipe labelling"
"e7b7f568-fa95-5301-9fa7-57be0e586115","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check floor/wall penetration fire proofing"
"dcf28c27-ec3a-56c9-80c1-4b02610686d3","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:","Check vents are run to atmosphere and weather proofing is complete"
"3e217d35-1738-47b4-a28f-48daecdde0e4","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"ceace35b-fe83-53e0-9073-9c81026dd1b4","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:"
"4af225aa-8fc1-59f2-9a24-fd67c12700d9","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"55890741-2582-59af-b6d1-adb52358e6ef","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Installation photos to be taken only within this Checkpoint)"
"8a5a51d9-7fe6-56e5-8fad-a955e795d251","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"586696b6-32bb-59d7-b514-d29de6f374e5","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"61aa52b4-c602-5172-94d0-acc089b3b8cf","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"120c0a00-32a2-5a2a-ad42-027d61c5663e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"be40d853-5cd9-5a2a-b6f3-74e20e0f1b9b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check crimp fittings"
"8058f6e7-11c0-5cba-a7bf-220bfb3bf5ef","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check for cross connections"
"71ec5df0-a19f-5823-a22f-86e51957dfa3","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check alignment & levels"
"4487f69f-521d-5b8d-819b-e02c8f8ad6dd","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"d8efa1d0-041a-5217-a761-8db1dcb6c0f6","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"94cd7b29-b52f-5327-a34e-c51cb1e1bd46","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check TMV/TV"
"c5805d39-36bf-5190-b0ce-680f410a7ab1","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check in-wall mixer bodies & lugged elbows"
"c184f74d-fd0a-592c-9c28-816191a5641a","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check in-wall fixture mounting brackets & concealed cisterns (if specified)"
"24d7b7d7-0075-5645-89e4-c7f905a2513c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check noggins for future fixture"
"419d41ee-3748-5f4a-9464-3aca73a9dfc7","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"d98f6dbe-ed5f-531f-b334-ab123c432b1d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check heat trace (if specified)"
"520e8227-9eee-5680-a111-82f803f34b56","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check hot water pipe clips & thermal insulation (if specified)"
"db8fd24b-9633-5c46-bddc-1c6b6abb55de","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"9f7831cd-43eb-5dde-835f-3bd5ffa0da86","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"1f466a04-9c3e-4352-8506-13a7f92bca6d","","pass","aaaccb222565c4ec4e2391f65c7e7ae5a86006de637ff4ac2752bedff5d53228","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"ea3bed24-668f-5ac9-a213-989347dd174b","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:"
"45a889b6-34df-56fb-9ad7-5830cc2c8f94","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"962b10fe-f466-5ae2-a427-be48efee1a8e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-5601 (Note: Installation photos to be taken only within this Checkpoint)"
"6adb5d39-5e39-5c41-9b74-511b32a15ea5","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"1bd23677-55ff-579e-bfc4-d0826a10b960","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"2a328968-5f74-5d62-8f41-6509cfac40ad","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"ef4c3ccb-0f20-54a2-beab-a4aa103bf491","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"8683f117-53eb-5262-aea8-ede6bb033c54","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check crimp fittings"
"e85c3aaa-516f-5ce8-aa61-5e6a37fef5ef","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check for cross connections"
"650f2dce-e96f-5b87-b6c8-8fe3b13f73bd","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check alignment & levels"
"e2e07cb8-3810-5c01-983d-d861e99372c1","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"ffc6de8e-6522-5579-b1b3-e634ca657832","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"3f990c2a-5a49-50e1-b947-5f0c4ad7b076","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check lugged elbows"
"e4724823-e9e2-5089-b994-1d23dafc72db","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check noggings for future fixture"
"138ae481-cf9b-5bb7-af0c-b623f28ef689","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"6812a5b4-79b2-59ff-8db1-953ac8c4b9b5","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"c04698c9-28bb-5d02-b108-e6237d653331","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"f0cbcb15-9e5f-4fbb-ad22-c0e00ffc9a17","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off"
"97b8f5c5-24c4-496c-8b79-06f05d05e913","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation"
"63b6e305-e036-5285-8654-136d0260f733","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:"
"f77c2a3e-a110-500e-9a60-86851dfa5758","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"0012bb2c-9157-5d48-9f53-28df8d4f54dd","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"1d2dfd5a-d7e0-57c2-8072-359cbc4eec9c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Installation complies with current drawings & specifications"
"fd023f55-9d28-5faa-8b9b-80917faf03e2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"c48b9e1e-a5f3-583f-8666-f5216ec2f65a","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check for damage or leaks"
"e87f4062-8196-5950-b0bd-2957ca1aaae9","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check fixing points are secure"
"5cc7e9cd-69c0-5e95-92e1-78ff37425bd1","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check level & alignment"
"a58c9d67-b445-5645-bad1-de31993ab799","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check mini stops"
"79ca4d89-bf84-5716-9c10-9087d0f55e58","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check flexible connections are not twisted or kinked"
"be2f21dc-cf27-5c70-8481-1bc8fc51d120","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check special DDA accessories (if applicable)"
"420c37cd-cd6e-582a-9075-9e0fa5625b3b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"57f203df-cbee-52c9-804f-4e294065870d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check trap is clear of debris"
"0945231e-4a40-52ff-b314-0c71ea023d58","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check caulking"
"d35cc0e6-a620-4e17-a79d-ba18f2d86b71","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"2e38a25e-f0f3-5e75-aee2-478e012d508d","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:"
"bd916c80-9f9f-5017-a595-c8444926763d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"6e00c727-194d-589e-835b-e0cdf3a7a113","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"818224b4-b9fa-51d1-aef4-1d5ee29b001b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"a853fa50-b86a-59b5-bab4-c98467ad440c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"ad286a53-05dc-5499-9136-bd733a385ea1","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check for damage or leaks"
"d2df257d-ba36-5206-813c-a0b930862ad8","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check fixing points are secure"
"50cd8923-5d3f-517d-8f25-54376ccae17b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check level & alignment"
"0aeae495-d9b2-5544-84a7-322e3d88682c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check mini stops"
"4b9e6e85-3f56-58ba-9946-f2cbd607ca1d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check flexible connections are not twisted or kinked"
"384c1d27-dcf9-5084-aeab-bc793f5e1ccd","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"663f29f7-ee82-5f1b-9e16-09654ec02c8e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check waste & trap connections"
"0a0b3b70-7d57-56ab-9e92-b3a037c664bf","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"b94cbf14-b49e-5ba4-b2d5-473f436b5735","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check trap is clear of debris"
"866c7144-cf13-5d46-8bd6-046ffab32034","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check caulking"
"22f9bd39-be7c-49ca-b06f-967ff4a1bbca","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation"
"9de36d6c-464e-5e9a-abff-91ca221c9956","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:"
"bbb1b987-0610-55a9-9385-ce1e363add81","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"3e2baaf0-c299-5cee-8610-c2d7006b604d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"d263f60d-19b4-5541-848f-54d02026b16e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"4202a7ef-8b7e-558a-b40f-d2c34e40de44","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"686e6256-2086-5103-9a80-7a67fa48fe4f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check for damage or leaks"
"189d00c3-3695-5cfa-bcec-2a97fc1e9490","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check fixing points are secure"
"8f5d716c-5cd7-55a2-a305-dd2ef48a052f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check level & alignment"
"28a929f3-3c6b-53f8-ba74-9f89031ee771","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check wall plates, mixers & diversion valves"
"6210a92c-4b40-50d4-ba98-af86d512f819","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check outlets, wall rails & hand showers"
"cdf1ee08-757c-5e88-8c24-77b89f326694","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"2d56c4aa-350c-57bd-b9ef-971e439ed6b4","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check waste & trap connections"
"4103f3b8-c6ab-53c5-b225-87823c6cf643","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check all functions & controls for correct operation"
"b154247c-f5a0-5582-b4e3-dfa9e6707e51","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check floor grate level & alignment"
"7cd6e23f-ce0c-5f63-ab71-284c16fbc2ab","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check trap is clear of debris"
"0ed27013-7793-5144-8ffd-b036956f73f7","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check caulking"
"f8a717e4-44f6-42db-82f5-354bc869001b","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Bath & Tapware Installation"
"f259c024-a3b0-5366-ab4e-1afbbe2fdb24","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Bath & Tapware Installation","Details:"
