"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"63ba6914-076b-4274-a05d-f86815564ce9","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Hose Tap Installation"
"988a404a-81ec-4989-8263-0c83dd089e75","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Gas Appliance Installation"
"3e342ef4-f944-4417-8b6a-f95ec831b4c7","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Fit-off","Hot Water Unit Installation"
"9cb0e98c-26fb-42c8-8a76-f4a1d4d79c1e","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Testing"
"ff988e9f-e580-4708-9120-ae1f040140dd","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Testing","Testing Potable Water Pipework"
"c4d03c4f-657a-4fc9-a8ef-00dab0363103","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Testing","Testing Gas Service"
"bdaf323b-78c6-4eb6-8465-542828581a8a","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Commissioning"
"34a63278-2fc3-4dfb-b5ee-8629357bb121","","pass","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Commissioning","Commission Fixture Group"
"8d85f173-c894-410c-8957-85ad0a7dd554","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1102"
"e6d06fe4-df99-4f92-bc7f-6075b03c9825","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Rough-in"
"111d4891-e7dc-4060-b981-44cb22595369","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Rough-in","Waste & Vent Installation"
"3f528453-8e0c-4c26-99dd-60e450dcf846","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"c17485e5-ab0d-4e89-b14f-707adcf985c3","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"40e2ae69-c8b9-4245-b514-9f647b8a9e99","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off"
"23cd32f2-2f42-4294-a9b4-c60a5cd6a10e","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Toilet & Cistern Installation"
"beeba45f-77ba-4c8c-bd54-efa9160fb13b","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"281fe0f8-c23c-4f10-b83b-391aba8456b6","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Shower & Tapware Installation"
"669a3f53-d055-4fb7-8984-bc8325090477","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Bath & Tapware Installation"
"26f9e6ff-57f0-4579-9114-ef84757da8b5","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"5faee4d5-4854-43c5-be67-54e3ebafee5f","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Dishwasher Installation"
"bfe620db-f9b8-43b0-a78a-496b8204922d","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"34b66032-bfc6-4bc5-9b02-57750032156f","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Washing Machine Stops Installation"
"6aa223d0-0bb1-433d-ae31-ba93196ef93e","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Tundish Installation"
"e3f3d3a2-e813-45f7-8bdd-9b729ec444ca","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Hose Tap Installation"
"1dec316e-1240-4b65-bfd9-21fbc66fe3fb","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Gas Appliance Installation"
"1791506c-7443-47c5-bc18-cedd0491de45","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Fit-off","Hot Water Unit Installation"
"f56f00ff-bc84-4187-85f6-594cc536a997","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Testing"
"e99b2125-87a9-4eee-9a4b-cb03feba793d","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Testing","Testing Potable Water Pipework"
"5e607437-a572-4b38-a192-377be8051f14","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Testing","Testing Gas Service"
"2fcaa571-cdd3-4221-ab05-40a874b39526","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Commissioning"
"06c09bc2-e0f3-4e8b-aa41-15dc4a49112d","","pass","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1102","Plumbing Services Commissioning","Commission Fixture Group"
"817e5cb8-90af-45f2-8168-22309317d8d2","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1103"
"692085ef-cb00-435c-a806-3f9ea4a87d4d","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Rough-in"
"044de704-66a5-4ddc-b4ac-971298a044cf","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Rough-in","Waste & Vent Installation"
"e5c4c5c7-6a68-4388-b1ee-758a2f464d0e","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"4178ac50-089f-40ac-9423-315a30b8df82","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"7ae21acd-7e51-4381-90c1-7fe315d60b93","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off"
"e5ab752f-22bd-471c-8d1b-b1b309c97715","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Toilet & Cistern Installation"
"c4c02084-cef3-44a9-b2cc-08e03dcf5773","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"cc0528c6-c8ee-401a-8496-b3a2d3e40380","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Shower & Tapware Installation"
"ec4edb74-f322-44c4-94a0-37e3da277261","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Bath & Tapware Installation"
"45de2fb5-b2c0-484d-bb68-7b5e4cc1902e","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"fa8ceae2-bc86-429a-a99b-5dcf076c200c","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Dishwasher Installation"
"fe013e10-9b25-4a62-9fcc-bed6be751155","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"0368610b-7cd5-4d9e-84be-ec64221ae844","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Washing Machine Stops Installation"
"a2a8ca24-d498-4ef2-820f-05c101f6b178","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Tundish Installation"
"86318345-c924-4ee6-9be2-08af7707c32e","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Hose Tap Installation"
"ff877a38-b3a2-4846-bb57-294dc6b9c173","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Gas Appliance Installation"
"6c622ac3-098a-448e-a336-fe46ac5c5bc5","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Fit-off","Hot Water Unit Installation"
"23aaef37-a1c6-4ea2-bfb1-b541ee8b7179","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Testing"
"cacb99b7-9158-414c-9312-4a492cc6fc3e","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Testing","Testing Potable Water Pipework"
"4bba1b5d-9d10-46e3-9012-d30771a3c70d","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Testing","Testing Gas Service"
"55ee43f8-5621-4ce8-9c63-89f301c21c80","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Commissioning"
"c1ca64aa-9a5e-403a-841d-5e19eb16bc4b","","pass","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1103","Plumbing Services Commissioning","Commission Fixture Group"
"a9a02d81-10bc-4ecf-b8f6-c099bf3e7477","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1104"
"cd2172a4-c8ec-4422-a070-186d4b607672","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Rough-in"
"13fde939-050a-420f-84bb-459a2a3a2e5e","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Rough-in","Waste & Vent Installation"
"e90e433e-4083-4e19-b124-b4ce4ff7a294","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"84003392-f36a-4e15-9e24-cc04c908a675","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"ef193426-7cfc-4de3-9fd0-98e454222b19","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off"
"d6cfe307-3db9-4015-82a8-deb577150ec4","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Toilet & Cistern Installation"
"097b2cd3-2a59-4d47-a70a-da17f3d19c53","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"de4f1f9f-ab31-42b8-8bfa-724b98333bff","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Shower & Tapware Installation"
"c8198cc1-3f2c-4339-b714-5368a2b215f1","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Bath & Tapware Installation"
"8e541928-5ae9-439e-982c-c5995f4f5d22","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"5c232b6d-0fe0-4e09-84c5-5ae926650da3","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Dishwasher Installation"
"ee17cd96-8bbd-4376-b141-59dc3dee1997","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"493b244c-5c2e-4793-a3bf-879eba5f9979","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Washing Machine Stops Installation"
"ad53069e-6533-4994-8319-374fa35f0d12","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Tundish Installation"
"8d205a91-3b76-4111-b614-62c68611c328","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Hose Tap Installation"
"20bec6b5-5e83-4619-8900-95e27d84f1cc","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Gas Appliance Installation"
"dbe76d60-f2bb-438c-8ee3-dbc886e255fa","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Fit-off","Hot Water Unit Installation"
"915c794a-154e-4ab6-8446-c73469b1a16e","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Testing"
"3848b3bd-29f7-417d-9851-05df164890fa","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Testing","Testing Potable Water Pipework"
"bb6d9fe8-87b2-4f1c-80ac-b4decba13ecb","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Testing","Testing Gas Service"
"a5007713-919b-439d-ae00-74a4bd987dd3","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Commissioning"
"abe95eef-5e60-4717-bc06-af59092c8886","","pass","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1104","Plumbing Services Commissioning","Commission Fixture Group"
"46a86e1f-4368-415a-87e3-1e771e4ccd7e","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1105"
"f26be098-97d7-475d-9a5f-d9c609a843c7","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Rough-in"
"6de67c1e-ffdc-4778-9fb0-ebf06a37277b","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Rough-in","Waste & Vent Installation"
"3f87bce9-705c-48b4-a840-512bfdd6e1c1","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"75ae815a-57be-4812-b9ef-38f5fc92c473","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"9932e824-5c01-430c-ae5c-f42e9f084e00","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off"
"b96dbc8e-07aa-4767-afed-73bf397db808","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Toilet & Cistern Installation"
"46ef75c5-fefb-4fe8-9a62-a2af9f02680d","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"253f5dd5-5082-4561-8971-70b7ad713a25","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Shower & Tapware Installation"
"92e7d72c-3bca-400b-922c-4e5d012b4f33","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Bath & Tapware Installation"
"55430ee2-b5e8-48be-b91f-4459d543097b","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"53a3aceb-5d5d-4810-b447-222bc6da5dcc","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Dishwasher Installation"
"e9f92efc-0768-4830-99ee-699e6270a575","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"f6d0b3d0-d405-4fcd-adad-0bd2e44517a7","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Washing Machine Stops Installation"
"a5c10b6c-13a1-4c41-a0e3-b9fab19b7a0d","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Tundish Installation"
"282f6e5f-f106-42ba-b26d-fbd7b34634be","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Hose Tap Installation"
"a5cd3c36-bb1d-45b1-9e95-2b0bddbb3496","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Gas Appliance Installation"
"a4e66d0b-d7e4-428b-97db-b0505b3c47eb","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Fit-off","Hot Water Unit Installation"
"deadaf8b-f702-4318-adfa-fa7821efa078","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Testing"
"9fd2955e-29dd-4870-9f46-c6f195d7283e","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Testing","Testing Potable Water Pipework"
"691fd181-acf0-46f3-bf81-3b0ad780379f","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Testing","Testing Gas Service"
"1e1320ed-964d-481c-b167-6496cfdfde3f","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Commissioning"
"3cd06d7f-7ec4-40f0-b065-f63c5912052a","","pass","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1105","Plumbing Services Commissioning","Commission Fixture Group"
"141a6f0a-5596-47e6-a25c-2a9bd2e584df","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1106"
"6d0c06e0-1802-405d-80d1-d2d3f0398978","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Rough-in"
"9d192b79-6a22-4296-a364-6d9980c6aab7","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Rough-in","Waste & Vent Installation"
"6f49ae61-a048-4abb-bb3f-204dbc26195b","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"b6bf0bd0-853d-4de7-b010-6df218603803","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"f315f897-4c3e-42df-8f5a-f180d74c840c","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off"
"3912a404-1350-4add-a929-ab010abc7555","","pass","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Toilet & Cistern Installation"
"74e190af-902a-41d1-a0d6-09076bf6c991","","pass","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"b81ff37a-10eb-4dc7-8824-689a1a3c0e82","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Shower & Tapware Installation"
"98c280f4-812c-4e51-9f0c-fea3bf8557e7","","pass","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Bath & Tapware Installation"
"fe20187c-2193-4ec7-9c08-7b2168865a59","","pass","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"efd861bf-4d9b-4a5f-956c-361a81f44da7","","pass","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Dishwasher Installation"
"79ca3a90-6d6a-4c0d-a34a-5b51ba0e1a2d","","pass","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"5c9d1c27-3a68-418a-8969-3e10fff0c54b","","pass","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Washing Machine Stops Installation"
"318ca0a3-591c-4cf3-bba5-a7281f7f3696","","pass","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Tundish Installation"
"e0220f88-4bad-4ac6-afee-79aced60bff5","","pass","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Hose Tap Installation"
"f813913a-54d2-43f1-98a9-843f626a2d9e","","pass","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Gas Appliance Installation"
"d0a81c99-f27b-4a11-b625-a640e5860015","","pass","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Fit-off","Hot Water Unit Installation"
"37e01d6c-21a7-46ac-b440-a6eaacbe25ce","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Testing"
"2c0d7118-a2ca-452b-b939-d7048aa6779b","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Testing","Testing Potable Water Pipework"
"ba0d89aa-fc7e-4571-bcc6-199b167fc096","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Testing","Testing Gas Service"
"14547d75-8ede-4429-93b5-fe9e21a4314b","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1106","Plumbing Services Commissioning"
