"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b796c003-d1b8-40c2-94ff-ccf08f8112df","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project  Seafarers"
"dc687b2b-1e13-58f0-93fd-f7659e04e4a9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant"
"77519f28-1cf1-58ae-bdf7-7787b4dee6d4","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Install 10mm radius Polyurethane coves been installed to all intersections"
"a4daecea-3977-5cee-9696-1445e3f9d7ec","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements"
"71af73b6-f88a-5adf-bf96-2b9df77b7dd8","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky"
"d63fa0e1-4598-5790-a0c3-5fdbb662fa43","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours"
"4aedcc8c-7382-5776-a323-f123f3b1f4a6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours"
"3a2ef8da-8cb9-5af7-9aa6-159640bdb247","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Installation","Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable"
"484cd121-72dc-52c2-9dcb-f0b2b192fe9b","","checkpoint-group","not-applicable","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Testing"
"9e87ef8e-87df-5f37-965d-80c601eb2904","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Membrane Testing","Flood test areas for a minimum of 24hrs"
"8cd43583-65fb-5dd0-aada-83501d1734e8","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection"
"24d2a724-7a5c-5bf1-9966-4c7ee37acf25","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use)"
"54eab6a5-2838-5ce2-946b-617cb6e20bcf","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Application as per manufacturer’s instructions"
"8502419b-7f60-5668-af7f-55deca4a030f","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Waterproofing works completed - Area left clean & tidy"
"ccfeb0fa-62c0-512a-9e54-ba73b8ee558d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Release to next Trade"
"df7f171d-d004-5007-832d-f74ff76361ac","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Bicon Representative Sign-Off (attach signature)"
"177e7b8c-db01-5011-b4dc-4a0cf3d8b31c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Builders Representative Sign-Off (attach signature)"
"d5e4affa-be2f-56cf-8b1a-71b312fcd528","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Hobs","Final Inspection","Manufacturers Representative Sign-Off (attach signature)"
"fedcc19f-92d5-447b-b7c5-c0bb6342cc2a","","checklist-sectioned","pass","ITP Liquids V2","checklist","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof"
"82ba6bbd-e48a-54ea-8f4e-bf5b226db5b5","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof","Details"
"91060bb9-baca-54f9-a9c5-9c1e5d31e9f3","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Details","Details - Pass once entered"
"cea3f43d-a91b-505e-812b-0e1a4b6411d2","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection"
"16328d45-2eb3-5303-97a4-89455b9dd12b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","Is the substrate suitable for application"
"3f82062c-500e-53af-9753-feb6727e280d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","All concrete grout or mortar spills have been removed"
"ea5f6102-97ba-59f7-b198-4d30167f1e78","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","All protruding tie wire, nails and or bolt removed from surface"
"96b2ec3e-b6f1-5f73-9905-40e1eda705f7","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","All bony and defective concrete finishes have been repaired with approved repair materials"
"8296c329-79b9-51c4-a349-3d13e0e52cf2","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter"
"2dfc8388-84fc-5d78-ab62-dfee58faa046","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","HOLD POINT MANUFACTURER INSPECTION"
"f8060fe8-8c8d-53d3-8106-eb8ea849c9dc","","holdpoint","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Substrate inspection","Manufacturers Representative Sign-Off (attach signature)"
"7880b572-110d-5f83-9169-45f47783a202","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation"
"5916bcdb-6421-5da1-8631-34351f75fe11","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Is the area barricaded and signed to prevent workers transiting across our prepared surfaces"
"e4589010-9472-5b6e-93fe-dc55a88a462d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application"
"1a0605ff-da93-5f63-aef6-51a73b113fe2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant"
"d541ad51-e936-5573-ae04-dda4c7708d8b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Install 10mm radius Polyurethane coves been installed to all intersections"
"c2d28a5d-45a1-576d-96f9-e6754b50f2ad","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements"
"0a5ec968-992e-5433-90fc-b5a91310b05c","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky"
"4b2ecf0e-405d-50fa-9af5-1daacc8f4996","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours"
"44e6746f-7848-5a57-9428-7de01e6b6096","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours"
"99f12505-84a3-597a-a957-66f99f6a5178","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Installation","Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable"
"6f92d9b9-2fdd-522e-b6d6-1a1af19c5989","","checkpoint-group","not-applicable","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Testing"
"588cb071-6313-575a-b946-9e2d35e8c1c4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Membrane Testing","Flood test areas for a minimum of 24hrs"
"eae56689-9734-5f2d-be7c-3d364f71024d","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection"
"ecadb782-808f-59ec-8a9c-0fcb247465f5","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use)"
"609f536b-e1cd-5b8b-b114-10d86148f452","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Application as per manufacturer’s instructions"
"f3bfd470-080e-579b-8726-1fcc60a262a4","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Waterproofing works completed - Area left clean & tidy"
"2261750e-9faa-5dcd-b7c8-47b0757ad10f","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Release to next Trade"
"a9985ee2-9d9e-592a-9416-30f404f09c9d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Bicon Representative Sign-Off (attach signature)"
"a1d6ab80-085e-5f59-abd2-580709cd219e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Builders Representative Sign-Off (attach signature)"
"8e084f0c-40d3-56ff-9326-32e6296b731e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 4 WM1 Roof","Final Inspection","Manufacturers Representative Sign-Off (attach signature)"
"324d9708-c8e2-41c2-94ad-a1c9f8e35edb","","checklist-sectioned","pass","ITP Liquids V2","checklist","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob"
"6e7b578a-a67e-5cd2-b35d-fe2b1b71f5c9","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob","Details"
"eb1fe60d-be17-579a-bf38-2df8a982a1ae","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Details","Details - Pass once entered"
"8ec85d34-2bde-52fd-853e-6e1a96df56f7","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection"
"a41aab49-3d96-54d6-b97d-07c05f689dda","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","Is the substrate suitable for application"
"e908d803-f15b-55c1-b41d-cf080715099d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","All concrete grout or mortar spills have been removed"
"bd9559d6-da81-5d14-a91c-c28ff47108a5","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","All protruding tie wire, nails and or bolt removed from surface"
"008f6883-d01d-58a1-b948-88d53a6faa22","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","All bony and defective concrete finishes have been repaired with approved repair materials"
"e4d1d572-bbc0-5de1-83e8-52d4944fb83b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter"
"1397c477-9ab0-5dcc-a53e-9136e40f0d1d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","HOLD POINT MANUFACTURER INSPECTION"
"c201cd23-6e8c-5caa-941f-0fa4266a8d4d","","holdpoint","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Substrate inspection","Manufacturers Representative Sign-Off (attach signature)"
"e7ac9c32-0696-5b5f-9bae-05967c88664a","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation"
"feb9a38c-6e46-5b3d-8906-c2ba691e0513","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Is the area barricaded and signed to prevent workers transiting across our prepared surfaces"
"a3f940a4-d53d-5e2f-b8f3-4b0b63011b9d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application"
"ddad9677-96b8-5a4c-ac03-110b6f413119","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant"
"20cbdf66-dc8e-5367-8f37-8e5cad960fd2","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Install 10mm radius Polyurethane coves been installed to all intersections"
"9d57c00f-d817-5657-bdbb-981f4f6e3b58","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements"
"97d652e3-47e0-526b-8cf7-5802474a3f2c","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky"
"5eda932c-21e2-5c52-89f5-a5d30cb4b705","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours"
"d7da682c-019f-588b-8b69-bacc7defb894","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours"
"db4fe9d1-a543-53b4-a7ea-6c01e40e0b2c","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Installation","Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable"
"ebdc261f-00f6-55c9-852b-3fa4e3316315","","checkpoint-group","not-applicable","","","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Testing"
"29aad931-3f85-5756-a0c3-402ae05d7f72","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Membrane Testing","Flood test areas for a minimum of 24hrs"
"ae214721-1ff5-55ee-b426-189efeed07c9","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection"
"c9c2bd4d-6319-5f2d-be02-2d32b66e5b7c","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use)"
"4cdf1246-a1ce-5cbc-a0f0-f6f86b3809b3","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Application as per manufacturer’s instructions"
"dac5c5e6-2c1c-54f5-87b0-2d08209bfb17","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Waterproofing works completed - Area left clean & tidy"
"f2a0f260-4e2d-53e7-8d38-15f24f3e895e","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Release to next Trade"
"329f69d2-fcce-506f-899b-26e63998e5bd","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Bicon Representative Sign-Off (attach signature)"
"6c48ae9a-cc5d-5996-b4e0-3f047506889a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Builders Representative Sign-Off (attach signature)"
"bf728291-62eb-5bef-83f1-c74e2ffabcea","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","QA","Level 5 WM1 hob","Final Inspection","Manufacturers Representative Sign-Off (attach signature)"
"78463101-a16d-47f1-b975-759eaba6f17f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project  Seafarers","QA","Level 4 hobs North West side of building "
"df4200d8-0da1-5fff-b35a-67bde5251089","","folder-normal","no-status-not-started","","step","FALSE","TRUE","Project  Seafarers","OH&S"
"856a570d-df7c-50e5-9598-cf0eed77efe4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project  Seafarers","Variations"
"ccdd7b25-9942-5f7b-85be-b365ef935ef9","","folder-normal","not-applicable","","step","TRUE","FALSE","Project  Seafarers","Site Issues/Delays"
"8074df13-e62a-49fe-ad55-cffe108c158a","","folder-normal","not-applicable","","step","TRUE","FALSE","Project  Seafarers","Site Issues/Delays","Lift lid level 12 delays "
"e06237ce-da89-4d74-b312-22ba6cd16dbb","","checklist-flat","not-applicable","Add Site Issue (V.180821)","checklist-flat","FALSE","FALSE","Project  Seafarers","Site Issues/Delays","Lift lid level 12 delays ","Add Site Issue (V.180821)"
"8e112697-dcfc-53a6-922c-e33ebf617060","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project  Seafarers","Site Issues/Delays","Lift lid level 12 delays ","Add Site Issue (V.180821)","Site Issue Logged - Pass once detailed entered"
"03b9471a-f0e9-42a7-abee-44465ec3267d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project  Seafarers","ITPs for approval"
"3665bcb4-73d0-4f0a-a710-630cc1025eb4","","checklist-sectioned","not-started","ITP Liquids V2","checklist","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)"
"5625e8e1-8e03-53e3-bd67-f1ffc232c58f","","checkpoint-group","not-started","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Details"
"375f8840-7b76-5fa4-9288-ad47511aa0eb","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Details","Details - Pass once entered"
"6c7f2dec-c456-594c-8bd8-df99d76ba523","","checkpoint-group","not-started","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection"
"adacd79c-d33f-54a6-8ee8-f41b867243f4","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Is the substrate suitable for application"
"9e769c5a-a478-5b9e-8aa5-3b6e6658c1cc","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All concrete grout or mortar spills have been removed"
"8740b035-ebb3-5b21-95c9-95ff96ad1d48","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All protruding tie wire, nails and or bolt removed from surface"
"80b3a303-d076-58b8-9617-07c05966b9cb","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All bony and defective concrete finishes have been repaired with approved repair materials"
"2efc9f3e-f2ef-5a89-84f5-ac4c48d2f3ad","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter"
"075bb0ce-455c-5356-ad83-e4f3d8baf312","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","HOLD POINT MANUFACTURER INSPECTION"
"11e79396-b25d-5fcc-bfd2-89ef24382361","","holdpoint","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Manufacturers Representative Sign-Off (attach signature)"
