"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2405e81c-0227-472b-ac90-ff3067edce4e","","","","folder","TRUE","FALSE","QA - Carpentry"
"1634b667-75ba-4304-a2d7-12bc32946dda","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry"
"1990f67e-e33d-48ef-bf2b-fc67d7567aca","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1"
"dde2c196-951c-43b4-8531-b03355edf43d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement"
"5022e87c-0bae-4569-9dd1-6dfa70244632","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door"
"bf0de2b7-46e3-4811-85f0-71adcebb5c5a","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Storage DP-BS01.1"
"2159f5d3-19d2-409b-925b-e182661df38c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Binroom DP-BS02.1"
"c13001fb-6300-42a4-ab88-b91442d0d13c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","EXH DP-BS00.1"
"9e130c6e-5f13-4ed2-9661-0b049069f1bf","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Cleaner DP-BS03.1"
"cd5d7125-ecf7-4c27-b52a-62bf2ee17057","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Door","Stair DP-BS04.1"
"31a573be-ee33-48e1-8ea0-540786a252a0","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Basement","Common Skirting"
"4e2a62d2-2dfc-4459-9bcc-ff9727dc0839","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground"
"6ae61e01-018f-4212-9d92-59a7c7c94e9d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door"
"5b05c157-aec8-4207-b6e8-d1c6bc0898ed","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","FOOD & BEVERAGE D1-G101.2"
"02eb4ff3-3da6-4113-a36d-556f4ca29b26","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","RETAIL D1-G102.2"
"1e7e3387-5a19-4a26-bb8c-3a05f139fd8f","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","HYD D1-G00.4"
"698c4707-a6d1-4faa-bc43-89972e3f2085","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","COM D1-G00.3"
"36f2cdbe-f83f-4918-9abd-4914f17dcfba","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","D1-G00.2"
"1d863c4d-8a64-43e8-89e3-804bb1c6417e","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","Stair 01 D1-G00.1"
"bc4469a3-3b62-49d6-9ee2-dc8d4a5e084c","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Door","Binroom D1-G00.5"
"906eb607-7235-4cb5-ac39-35c91430deb2","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","Common Skirting"
"d0949d93-fb93-459f-a3c1-f82f4c92febb","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01"
"db633d41-5b50-4ee1-a391-fb8317ed0b43","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G01","Door"
"2381d51b-73d8-4e2e-96bd-598060b8f7ca","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Door","Bathroom 1"
"d7dd8fb7-6154-4cb6-bafb-0035e207b2c1","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Skirting"
"558527bd-2263-4134-97c1-0389f210ea58","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Skirting","Living Room"
"de547f26-9b6d-47bf-bc84-73380b3d38cd","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Skirting","Bedroom 1"
"3dac1207-1024-4ac2-a2e0-45fbee4aed69","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Sanitary"
"f18f2195-a21e-41a7-b612-f48408e7c525","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G03","Sanitary","Bathroom 1"
"3da77d28-8d66-43e9-9a81-a59e51e63e0c","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04"
"acfe383e-1c1e-4c56-9068-70d9ee129361","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door"
"990eba90-ec25-4457-81b8-99c8f7880e92","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Entry door"
"8370de8d-55f7-4422-b9ba-fd81bce15795","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Bedroom 1"
"3c1a4b4d-49ca-448e-abdb-18b82d4dd562","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Bedroom 2"
"3f68dc00-6a3d-4128-84b0-d748aad6f242","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Bedroom 3"
"58a944f4-5762-4bb6-9f34-039271e6a247","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Bathroom 1"
"1ce3637c-ace2-4864-b020-2a963355122f","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Door","Bathroom 2"
"bfa2a612-d131-40c0-9623-5cdf8c86061a","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Skirting"
"6118231a-8b2f-4284-bcf3-7ea6a0ff176e","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Skirting","Living Room"
"2c7cdb13-3155-48da-840d-d5a73c0c1c4d","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Skirting","Bedroom 1"
"2ad4b8e9-365f-416a-bcd3-48071a248474","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Skirting","Bedroom 2"
"e308b875-9820-4c40-89e9-09947b1c2e60","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Skirting","Bedroom 3"
"a295feea-10ca-4c29-a2e1-aa7841be3bd1","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Sanitary"
"2bd8c4e6-d3a2-4f8f-b535-804c015e1e57","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Sanitary","Bathroom 1"
"fc9199af-8b13-49dc-b105-803b50abc525","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Ground","1-G04","Sanitary","Bathroom 2"
"184c329a-4276-49e5-a933-ce41ca9c7b40","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1"
"8cd03957-3928-46ea-92f5-94cea9f7f9f9","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door"
"a8aae625-9365-4560-9261-6c932bb7f5d6","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door","Stair 01 D1-100.1"
"8f1a87bb-eafb-4932-85da-e5bd3811716b","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door","ELEC D1-100.2"
"9adb3ed9-13d7-43aa-92b7-5b3d47da2a0d","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door","COM D1-100.3"
"9d2c660a-2732-454e-85bc-d3059f8f22f8","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door","HYD D1-100.4"
"f4fe3aca-a0d2-40d1-ac68-1b32b73b21e8","","","Service Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Door","Binroom D1-100.5"
"69e7f482-b3d7-41b1-b4c5-c8ef6d0c531d","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","Common Skirting"
"b33b47a5-432b-473f-b0b3-6f0d979d3c68","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101"
"a23f89b4-645c-4578-9a7d-68697da897dd","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Door"
"e56fc5f4-83e7-4d30-8252-b646eba67810","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Door","Entry door"
"daa08d1b-a5ff-4fd9-8d81-50802000678b","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Door","Bedroom 1"
"4c6aa9a6-20a6-47df-ab92-4afdc70d4802","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Door","Bathroom 1"
"1af6d35f-5c8d-4359-8286-1b3f55e5689d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Skirting"
"ce16fc07-453c-4c4c-8914-19010ca6a1f9","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Skirting","Living Room"
"30247156-ca6c-46fc-9a0a-c6e7f7e8102a","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Skirting","Bedroom 1"
"641ce1e1-16b0-4af6-a34f-bcccdd5f0d74","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Sanitary"
"bfd35e76-4b4f-4739-bf92-ffd86d7e7fce","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-101","Sanitary","Bathroom 1"
"1aba1c2c-0c98-42c5-a757-b61461d970be","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102"
"3cc35e44-498c-4e9a-be31-51b24c71dded","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Door"
"d0400f7a-b8be-4e19-bb69-eede6ba1b8dd","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Door","Entry door"
"9f58e907-bd05-4de4-9fe2-259ab741c410","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Door","Bedroom 1"
"80f76246-1a11-4e7e-9b7a-09917dd4102b","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Door","Bathroom 1"
"16235cff-a7e5-4acb-a912-c351752c913e","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Skirting"
"8b5683de-9263-43d9-9b4c-f0da34211711","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Skirting","Living Room"
"e74d5948-be14-4b9a-8102-03ce891b364f","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Skirting","Bedroom 1"
"1d69a8c8-0f27-428b-97db-c1b0034900e3","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Sanitary"
"f0dda553-62a7-4d18-af96-cb9909baa31a","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-102","Sanitary","Bathroom 1"
"a663ede4-122e-42a1-aef1-734da89d775d","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103"
"f87ae152-375d-4069-930a-d924bb9ee0dd","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door"
"f87f3c2c-5924-4eb5-947e-6dcb833f24fb","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Entry door"
"ea206226-83ba-45e2-96e6-c3192706fbdb","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Bedroom 1"
"f47b11b5-cb0f-48c0-a067-826ab80f9ced","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Bedroom 2"
"30c13f84-188a-4c53-b41a-88090d2fd4d3","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Bedroom 3"
"5afc47bb-3e02-4a7b-a197-838888d9dfff","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Bathroom 1"
"8648a124-f3f9-40e6-ae11-569c5a2f36b6","","","Cavity & Slider Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Door","Ensuite"
"90c205b5-8881-4f73-b2cd-ac9fb4877e9c","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Skirting"
"2351a9cc-0af6-4070-aa3a-6607621d12e4","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Skirting","Living Room"
"77162894-659e-4892-9d1c-31d813a975bb","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Skirting","Bedroom 1"
"833c45e7-80e1-4b51-9933-f7d3c06eed9a","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Skirting","Bedroom 2"
"0b623778-6187-46d6-a37f-c6f11d3a01bc","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Skirting","Bedroom 3"
"f3cebf5f-152d-4141-8fc0-f35f46e7caae","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Sanitary"
"8aaf97cd-9a2a-42ff-a09c-345ee68fab60","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Sanitary","Bathroom 1"
"a27eede6-cc74-4b40-babe-a6fd0c3c10d3","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-103","Sanitary","Ensuite"
"3ee96ece-dc19-48c1-99dd-460933b9ea38","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104"
"384018ed-3a7e-43dc-92fd-f63e7f3f9511","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Door"
"9b5762cb-f0cc-4eb8-8346-488d3ad408f3","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Door","Entry door"
"cdc6e7c6-9e14-4685-abc1-beacfbe1d30a","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Door","Bedroom 1"
"2666a369-7867-4d9f-9c2d-7f3d352be980","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Door","Bedroom 2"
"b4c49214-edc5-47d2-98c6-8b768cb4243b","","","Cavity & Slider Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Door","Bathroom 1"
"f284f67f-948c-49d9-98db-b575af1d0db4","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Skirting"
"f2804f97-a043-41a2-b48e-36e5ef467a17","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Skirting","Living Room"
"00449a79-2a48-4aa6-b5ce-63b737d67b1c","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Skirting","Bedroom 1"
"a8861ec4-953f-46c4-9afb-9100efd8b22b","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Skirting","Bedroom 2"
"f5723d2d-c4ab-4f71-84bd-b98f5b16cf25","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Sanitary"
"166c5d2a-8ff8-4acf-8fe2-3d2856da9ab2","","","Sanitary Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-104","Sanitary","Bathroom 1"
"7d3b4e9d-61cb-47fc-af30-40a9f04cf5de","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105"
"3d97f116-e8eb-48af-8d37-ed3d5161a34c","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door"
"9dbd0de0-0779-4e37-8270-e3c5209dc6f1","","","Entry Door","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door","Entry door"
"795d0ae4-b77a-4b5e-a65c-4769d78802af","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door","Bedroom 1"
"a4497990-106e-40fc-8ad9-bce64f5c9a17","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door","Bedroom 2"
"724fd4bf-467b-40f0-a355-e66fbd63d56b","","","Cavity & Slider Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door","Bathroom 1"
"6b0eff9c-f4b8-46d9-a351-5161f35a4f03","","","Split-jamb Door Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Door","Bathroom 2"
"7ebac103-1280-4020-a847-df3da5518cee","","","","folder","TRUE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Skirting"
"8e5e64ab-b63c-4259-a7c4-75dc78b37a10","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Skirting","Living Room"
"e5f24527-218d-4205-9457-30d155eb1f30","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Skirting","Bedroom 1"
"065e9dc3-676f-4650-bb40-e81abc6d1c8a","","","Skirting Checklist","checklist","FALSE","FALSE","QA - Carpentry","Carpentry","Building 1","Level 1","1-105","Skirting","Bedroom 2"
