"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14f313a2-5dd8-4dfb-925f-0804a9dcde68","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 03"
"ae4a2b0d-34eb-5976-bb67-4cef3268c194","","checkpoint-group","pass","","","FALSE","FALSE","LID 03","Drawing"
"bbc72daf-d679-55bb-957a-e6dae6bdbf6f","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Panel Properties","Properties - Pass once entered"
"aec2bb8a-ce01-53c3-a4a2-0aacb455ab0f","","checkpoint-group","pass","","","FALSE","FALSE","LID 04","Formwork"
"f1cb7435-4adf-57af-9533-9490d1e672db","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Formwork","Correct Dimensions & Square"
"70ce121d-875a-530d-a56d-434006db3869","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Formwork","Grout tube set out"
"fe86b4bc-0875-55c6-a316-9a24189bb348","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Formwork","Magnets Locked Down"
"91a560de-b9e9-521a-927b-d69a2be70384","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Formwork","Fillet Installed"
"b29d8ac0-3885-5c89-8e24-01e78164f909","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Formwork","ID TAG Installed (photo required)"
"72919456-a294-5e43-ba47-34777fee21b1","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 04","Formwork","Starter bars & couplers (photo required)"
"191f0f73-0057-57b4-b63b-0b4b67765095","","checkpoint-group","pass","","","FALSE","FALSE","LID 04","Reinforcement"
"465ec417-f453-52d3-8073-975b3a8e3cbb","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Reinforcement","Correct Mesh/Cage (photo required)"
"ef63d69b-aab3-5684-8b0c-d14a11f349cc","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Reinforcement","Correct Lig Spacing/Mesh Centers"
"241d05fc-dda7-5bf9-ab0f-83fed1f9786a","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Reinforcement","Correct Cover"
"0597357f-41b7-5243-befa-939497f6e427","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Reinforcement","Lifter location & Type Correct (photo required)"
"b84e23f1-e995-59d8-9d45-b994e970d703","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 04","Reinforcement","Starter bars & couplers (photo required)"
"19e70b00-c1d6-5ec6-9ae2-c01f303768af","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 04","Reinforcement","Strongbacks installed - If required"
"7b968ae6-98b8-59c6-9f69-5a88189cc1af","","checkpoint-status","pass","","","TRUE","TRUE","LID 04","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"88507a76-d077-5902-bbd7-a1c8adf67f2b","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 04","Reinforcement","Ferrues Installed - (photo required)"
"5ff3d089-225e-5d63-8741-a9e9185671ea","","checkpoint-group","not-started","","","FALSE","FALSE","LID 04","Concrete"
"20714cc1-2bce-561f-abfd-6f5e01be73b8","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"3b12fc71-e3af-50e7-afac-2a6812a3083a","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Concrete","Concrete Test"
"1051b7c1-ad8f-572d-b94f-1ee110abbfd1","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Concrete","Concrete Test Report - (photo required)"
"424908f4-22ad-5b2d-bf1f-8f27c6da94d1","","checkpoint-group","not-started","","","FALSE","FALSE","LID 04","Post Pour"
"8dee9ce6-8b45-55f9-bfe8-446439e26c16","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Ferrules exposed"
"29ecfab8-08be-5130-9d29-01a0b7df3ded","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Grout Tubes Open"
"500b0cc9-d0c4-55b5-a214-76e11c6297a3","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Lifters installed central to panel"
"45f706af-e2ae-5d37-a6a9-7b610b22c157","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Lifters Cleaned"
"8063520e-4f8a-5a93-a6c4-3e36045d1f33","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Patching required - Pass=No / Fail=Yes"
"34d41f36-0a76-5649-ae4c-4bf800c189bd","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","ID TAG filled out and correct"
"77b12dc3-d6af-5a06-a78e-7a34866fa027","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Strongbacks installed - (photo required)"
"5e8f86e4-de53-50a5-8359-f81d4c1863f3","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Chamfers Installed"
"5d80b988-6eb9-5abc-8878-401d5ab88bef","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Panels QA sticker completed"
"4327f1e5-82ed-5c5f-aa18-4ff9f5e81b08","","checkpoint-status","not-started","","","TRUE","TRUE","LID 04","Post Pour","Panel ready for delivery, damage free"
"ba8c7769-1d39-4ccf-9367-01590af5a029","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 01"
"8cc81a0d-3c23-5920-9719-6b908e127669","","checkpoint-group","pass","","","FALSE","FALSE","LID 01","Drawing"
"c9e0e4c8-8172-5bae-b8be-08fe02f12793","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"a2df3fe6-9e1f-5b3f-b713-664ec146c64a","","checkpoint-group","not-started","","","FALSE","FALSE","LID 01","Panel Properties"
"1e2c14ed-f7d7-585b-8ea1-41bdd1fd426b","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Panel Properties","Properties - Pass once entered"
"7c003da1-c83c-5a0e-ac7f-a7d766a6e4a1","","checkpoint-group","pass","","","FALSE","FALSE","LID 01","Formwork"
"61af8bc5-dd9b-5889-b5f6-9d58b88a7bb1","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Formwork","Correct Dimensions & Square"
"f072fa7b-2c67-5760-ba8c-90650577bcd2","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Formwork","Grout tube set out"
"78d91c31-0bb3-5787-95b0-1fb737d6d3c2","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Formwork","Magnets Locked Down"
"910e43ed-649f-596f-b612-d620c2fa17f8","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Formwork","Fillet Installed"
"eed4b3c6-df6f-5df5-b69c-039de948204d","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Formwork","ID TAG Installed (photo required)"
"bc1436c1-ee53-5291-8845-4dd86f512b9c","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 01","Formwork","Starter bars & couplers (photo required)"
"201105e5-1962-50f9-ab46-e2aad69f1f0b","","checkpoint-group","pass","","","FALSE","FALSE","LID 01","Reinforcement"
"607bb7a7-a899-5c08-a65d-62be8e683465","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Reinforcement","Correct Mesh/Cage (photo required)"
"e9c8720a-91c7-53e1-a90b-8252c7c934da","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Reinforcement","Correct Lig Spacing/Mesh Centers"
"0335a671-dc4b-5dd3-946e-4d2a536b5e6d","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Reinforcement","Correct Cover"
"6626222e-c544-5297-8966-f135cff76b97","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Reinforcement","Lifter location & Type Correct (photo required)"
"c5c1b1cb-f261-58c9-886a-f7b3cb54175e","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 01","Reinforcement","Starter bars & couplers (photo required)"
"456f20d2-bd07-53ba-a050-3ddf3081a9fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 01","Reinforcement","Strongbacks installed - If required"
"114bc150-7299-5256-9e88-0205b86ea85d","","checkpoint-status","pass","","","TRUE","TRUE","LID 01","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"e3bf9574-a837-5121-8f92-96f196eab9ea","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 01","Reinforcement","Ferrues Installed - (photo required)"
"8ad2cc3d-961e-5d94-b494-6d05c0a1b452","","checkpoint-group","not-started","","","FALSE","FALSE","LID 01","Concrete"
"6ce8d992-4a88-5459-b31f-d27749c8fcd6","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"1c46db77-990c-539c-88d6-ec3949c201d8","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Concrete","Concrete Test"
"f909e783-87df-562b-a053-38d3cd3d3435","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Concrete","Concrete Test Report - (photo required)"
"665ab923-be4f-517d-86eb-78d00f94802a","","checkpoint-group","not-started","","","FALSE","FALSE","LID 01","Post Pour"
"111eb2b8-baf5-567b-8169-e050fa611ff1","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Ferrules exposed"
"8b79c897-8c4d-5ea4-9ae3-5be56126ec6c","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Grout Tubes Open"
"5be1cbab-0764-50df-8040-f3dc0bc608bc","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Lifters installed central to panel"
"402b779e-8654-5e02-beb9-efc3320e240f","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Lifters Cleaned"
"93c06734-78cb-5c25-a661-41873d4c40c4","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Patching required - Pass=No / Fail=Yes"
"b5634cbb-9a29-5b56-9eb3-908f342084cc","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","ID TAG filled out and correct"
"e435fa4f-0e7f-57b0-9ae6-01c3c9c85ec7","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Strongbacks installed - (photo required)"
"3db524c0-41f7-5ea6-ad15-c69e069f5025","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Chamfers Installed"
"af21291d-c6aa-5e4a-ab3b-0703c901e839","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Panels QA sticker completed"
"cdcba7c8-aa5a-5823-9351-90f2bceb6710","","checkpoint-status","not-started","","","TRUE","TRUE","LID 01","Post Pour","Panel ready for delivery, damage free"
"da256cb2-c1bd-41fd-aef0-d27bf7632ded","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 05"
"9c1e861c-115a-5085-ab96-975a2eebd13e","","checkpoint-group","pass","","","FALSE","FALSE","LID 05","Drawing"
"c802083a-308f-5dc5-b757-d37adf8d5329","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"d9d12838-57f4-5fb0-b7a4-ff823e87316b","","checkpoint-group","not-started","","","FALSE","FALSE","LID 05","Panel Properties"
"d5148960-77a1-5347-87d8-d2e5511ce78a","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Panel Properties","Properties - Pass once entered"
"005016ba-a565-5a6e-ab7f-280c45384c24","","checkpoint-group","pass","","","FALSE","FALSE","LID 05","Formwork"
"3133823a-6f59-5e14-8d00-cc35ec1eb849","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Formwork","Correct Dimensions & Square"
"26ecc16f-504b-5e2b-a1f7-c5d5d8fa8359","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Formwork","Grout tube set out"
"88759152-556a-56ac-b643-c07eb3ea0a3e","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Formwork","Magnets Locked Down"
"04382cd6-af22-5abe-807a-c98c893e7878","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Formwork","Fillet Installed"
"5cdeb26c-98a5-5315-b28e-826d47d0e092","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Formwork","ID TAG Installed (photo required)"
"19f15678-4a40-5ed4-8c00-143c931ffb88","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 05","Formwork","Starter bars & couplers (photo required)"
"3ec0e467-ae52-5ab3-b4e4-1a94f3a5b1b2","","checkpoint-group","pass","","","FALSE","FALSE","LID 05","Reinforcement"
"d22118b2-6304-51a5-8877-8752805dde5a","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Reinforcement","Correct Mesh/Cage (photo required)"
"20dbdcaa-e513-5691-8172-838bc6f19ba1","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Reinforcement","Correct Lig Spacing/Mesh Centers"
"2e2f8a87-9b9d-5f07-9ce1-d1613515ed0b","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Reinforcement","Correct Cover"
"f471605e-3c1a-52c8-89f3-40ea5345c449","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Reinforcement","Lifter location & Type Correct (photo required)"
"73705faa-3526-5d29-b66c-25df32a02cda","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 05","Reinforcement","Starter bars & couplers (photo required)"
"72436c45-4636-596a-acf8-d78f3b5a8ef8","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 05","Reinforcement","Strongbacks installed - If required"
"98c5d529-bb2e-5f2d-9f58-f3a213fc90fe","","checkpoint-status","pass","","","TRUE","TRUE","LID 05","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"0a541065-27c6-55c9-b2c4-cb1f660a9941","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 05","Reinforcement","Ferrues Installed - (photo required)"
"0c05c709-980b-5974-a328-aa1c62eb9d6f","","checkpoint-group","not-started","","","FALSE","FALSE","LID 05","Concrete"
"120c7c8d-9cdd-55a0-8b67-2d74607ddf25","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"8f9f8cd1-c32e-56f3-af72-206569a383ba","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Concrete","Concrete Test"
"d4dd4599-9e83-5341-bafb-4fbcf5b73188","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Concrete","Concrete Test Report - (photo required)"
"e87cba2f-47c2-5704-bd48-ddf6f43c453d","","checkpoint-group","not-started","","","FALSE","FALSE","LID 05","Post Pour"
"67e601df-dd26-5302-8e08-ae2f11de7df1","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Ferrules exposed"
"e80fc858-f801-56fe-9790-a6c50c5e0179","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Grout Tubes Open"
"f569eebd-34ff-5c60-82a3-37ef82742b55","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Lifters installed central to panel"
"edf92f42-55e1-5b82-984d-097297eead98","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Lifters Cleaned"
"41b63bdd-ded0-57ec-85f5-740346e523c7","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Patching required - Pass=No / Fail=Yes"
"88fba91f-0cdc-5a37-9261-21d2f1f0dbd6","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","ID TAG filled out and correct"
"85313f98-af48-518b-a5e5-a17a666ccf57","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Strongbacks installed - (photo required)"
"2afd35f8-4b53-5c21-80d8-868bce57d37d","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Chamfers Installed"
"02b44789-9206-50cf-bfde-fe9ab779ecde","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Panels QA sticker completed"
"c7a031a4-63ca-5a38-8d96-a73228ff0585","","checkpoint-status","not-started","","","TRUE","TRUE","LID 05","Post Pour","Panel ready for delivery, damage free"
"f455ae3c-bc11-47ed-b4f0-7f0abaf75001","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 06"
"a4ed00f0-e1f8-5d44-9dcf-8d4fbdf98a91","","checkpoint-group","pass","","","FALSE","FALSE","LID 06","Drawing"
"c1b61f62-c01d-5c24-b163-7530842505ec","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"9dad3f8d-9d36-53ba-a2ce-c753f24d93c6","","checkpoint-group","not-started","","","FALSE","FALSE","LID 06","Panel Properties"
"f6610a3e-572b-58cc-85f3-eed005c30286","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Panel Properties","Properties - Pass once entered"
"e5a0b3f1-b9ce-514c-9489-a0a7399af2a1","","checkpoint-group","pass","","","FALSE","FALSE","LID 06","Formwork"
"4f07967d-2387-5ded-926c-d93435d23e81","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Formwork","Correct Dimensions & Square"
"9943eacd-b373-5cea-aebc-0aa81c2addca","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Formwork","Grout tube set out"
"0205d833-5a2a-5374-acd8-ddb87f5a86ff","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Formwork","Magnets Locked Down"
"3d41b3e6-bd65-50f9-a6fd-f6df16697234","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Formwork","Fillet Installed"
"6e607f51-725f-5006-8ad7-3e179a3ba25a","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Formwork","ID TAG Installed (photo required)"
"9e595e2a-c06a-5574-94d9-28ba8ce21c5d","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 06","Formwork","Starter bars & couplers (photo required)"
"699d8a24-98e1-5146-87e8-39ee48381a59","","checkpoint-group","pass","","","FALSE","FALSE","LID 06","Reinforcement"
"729749d5-bb7e-5c70-b9e8-fc51b68f1b28","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Reinforcement","Correct Mesh/Cage (photo required)"
"f05b085c-a0ec-539a-bd48-fd8417d8fc0d","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Reinforcement","Correct Lig Spacing/Mesh Centers"
"4f3e6497-929e-5db4-b310-4bde02d360ba","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Reinforcement","Correct Cover"
"0f099723-737f-54a1-b5b6-08b8550e3e51","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Reinforcement","Lifter location & Type Correct (photo required)"
"75d5de9c-92a7-5049-962b-a257e6bcad99","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 06","Reinforcement","Starter bars & couplers (photo required)"
"dd617377-b927-53b7-8e7d-25d8df043dff","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 06","Reinforcement","Strongbacks installed - If required"
"69e46be8-b788-56b1-bca5-142c39bc062e","","checkpoint-status","pass","","","TRUE","TRUE","LID 06","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"3445bf67-ccb7-5abc-a2ba-61110e173896","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 06","Reinforcement","Ferrues Installed - (photo required)"
"f38b41db-497a-59e6-b057-aacc2267f428","","checkpoint-group","not-started","","","FALSE","FALSE","LID 06","Concrete"
"9db11a54-d58e-5ade-bbee-cf87b9fedfab","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"3a5154ea-871d-5d0f-a076-b53ea23fa793","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Concrete","Concrete Test"
"9d0ebe09-df77-58f9-9cff-53c5d62f2124","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Concrete","Concrete Test Report - (photo required)"
"a7ee7179-3ff8-5fb1-8517-2c79ef148015","","checkpoint-group","not-started","","","FALSE","FALSE","LID 06","Post Pour"
"bcae6c6b-fc9d-5070-816c-f02f19db3721","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Ferrules exposed"
"1a7033ee-6bbf-5ca0-9347-41730644ad7d","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Grout Tubes Open"
"bbddb052-2a8a-525f-9bf9-8dc2beb3a36f","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Lifters installed central to panel"
"ca2bf966-f2cb-5870-bd2f-5f2e68178ada","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Lifters Cleaned"
"79392d6d-e01e-5b4d-be77-8b4f3e1809fe","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Patching required - Pass=No / Fail=Yes"
"a8d9089e-697d-518a-8026-4f27f5f392b8","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","ID TAG filled out and correct"
"860c11af-3a5a-5c91-92eb-1f760d737273","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Strongbacks installed - (photo required)"
"4d7974fc-31af-5acf-9946-e18cf1c36354","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Chamfers Installed"
"45c3e4c4-8a9c-56f2-a5ba-7b25b7f20cf2","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Panels QA sticker completed"
