"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"69564041-8681-4f05-90e7-8fc3d04f1fa1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"ef40a9e1-47da-4d12-8e61-b2212c6e926f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement"
"ff9d39ad-9acc-43c4-abe9-7437276d9be6","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 1"
"aaac0d63-84af-5a3b-8eeb-67befd42d998","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 1","Details"
"dcf15e9c-434c-583e-af90-f0beb027d0e1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Frame Walls"
"4d5be7a5-58a1-545b-97ca-1890bd2c83f8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Install Noggins"
"d89906c9-54b2-5b17-a9ef-b123b041c8d2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Plaster wall sheeting"
"b54fc620-bd17-54d0-ab32-a1944d078d67","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Frame ceilings"
"94a860db-6ae3-5ad3-9cb6-8e9a9758c0a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Sheet ceiling"
"a395a2a6-1aa8-593b-9509-8190444b7238","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Stop & Sand"
"c0d0f020-5020-580b-9091-ca450ee236d1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 3","Details","Ceiling tile install"
"6dac883b-60ef-4999-9437-7f4ed2f1de76","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 4"
"a38a7adb-e60f-5eaa-8158-80cd6e34d22f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 4","Details"
"44c10707-de0e-5c20-8e27-6a2ea6f936bd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Setout"
"c8112553-c041-5396-820d-4619be0c358c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Soffit Insulation"
"0e9beb12-74f3-52f6-9187-a0e8e3926b62","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Speedpanel"
"d38652d2-2633-5c7b-8a47-889b76068151","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Frame Walls"
"c482e89d-8acd-5c14-9a4a-a456e7be0414","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Install Noggins"
"58e9929a-1c21-5985-a28b-e541cbc86044","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Plaster wall sheeting"
"7f7b3f2c-9417-5c52-a118-1b5a38bb4f3b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Frame ceilings"
"b35c792c-34e5-5586-8b23-8a4e82690d7e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Sheet ceiling"
"6d96d1c5-a736-5984-85b4-aeeec7d9d328","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Stop & Sand"
"37e2910a-6f2f-5745-b806-fce223292277","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 4","Details","Ceiling tile install"
"9e0a0386-a7d4-4f02-bb1f-07eb452fde2c","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Basement","Zone 5"
"c567f3a6-1a8d-5206-92d4-3dcfdcee2b6b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Basement","Zone 5","Details"
"fdc86388-2e4f-57f8-86cf-c3c1a426463e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Setout"
"76c61e28-621d-5cb9-a092-e4c1c8e60cf3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Soffit Insulation"
"4c078be6-8a21-5c78-abb6-0a2ac56202fe","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Speedpanel"
"9946d3e0-8fd8-516e-af82-550f20fa2e16","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Frame Walls"
"f05290fd-c430-52f4-8e17-24af5965254a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Install Noggins"
"e51e7e03-86ff-56ec-a427-4f52f77a86ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Plaster wall sheeting"
"29fd450a-a83b-5a9d-9b23-b1db94e77a78","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Frame ceilings"
"fddd1ed6-df6c-5a12-adb1-e898527da867","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Sheet ceiling"
"72dc167f-f2d3-55b2-92ca-4ffcad5cfe97","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Stop & Sand"
"a4714a10-06cc-5e5b-a608-025874404f64","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Basement","Zone 5","Details","Ceiling tile install"
"995f0575-903d-4f7f-93ef-635c1b14fd52","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"4644500d-6f96-4bcf-85b8-b1c0efaf2dd5","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1"
"ba08f700-288c-54aa-979a-bcaf60e34067","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Zone 1","Details"
"331d3873-1e7e-5c36-a4a8-a1bef2131448","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Setout"
"592b0da5-69db-56d5-ba6e-ba01bb5ee56f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Soffit Insulation"
"80529982-a2d6-5aaa-bc0b-e30a7de47bb8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Speedpanel"
"f96124a0-d20f-5a1a-9877-37da319215ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Frame Walls"
"1bc854f7-1ffe-59e1-93fb-103699f7e3ee","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Install Noggins"
"d9c19041-bfa7-5ac7-adc3-736b90c632e1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Plaster wall sheeting"
"2b6eaa13-1ae4-54f3-ae78-bb74ddb53732","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Frame ceilings"
"528a4382-edeb-52a0-a8e3-c036591a3ce0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Sheet ceiling"
"240ef71e-fcd0-5e93-a1e6-894f3e8902e1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Stop & Sand"
"c782b188-b35a-59ae-8eb7-4cb177410d4c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 1","Details","Ceiling tile install"
"7e832501-1d04-4a9b-a54e-0bb2c956917d","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2"
"fe26a333-9a9b-5668-93de-a95c7278906a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Zone 2","Details"
"2272406a-6e25-5275-8e2e-61709ae971e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Setout"
"1503c8a8-c294-570e-93c9-683f76cfc90b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Soffit Insulation"
"af76adbc-0fa4-5baf-b871-9b6f466a5c5a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Speedpanel"
"8cfd51bf-951f-5519-99d4-f8f3f8227074","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Frame Walls"
"5e4c48d8-6c39-511a-ae23-367d13686c59","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Install Noggins"
"dc55b7b7-f183-543f-9e8d-cff9ee860430","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Plaster wall sheeting"
"b14c38c3-26ca-51a3-aed3-d3bf43078833","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Frame ceilings"
"3abb1819-89d6-5a10-a43d-fd1cf1113402","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Sheet ceiling"
"af8c231f-4620-5f8f-bb28-0821a3af4d41","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Stop & Sand"
"9bac88dd-1281-509a-8574-cf83ebbe1faa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 2","Details","Ceiling tile install"
"021b3038-e12b-4b2d-ae02-64b987daf28a","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3"
"4b3d1774-8a9a-5b8d-82d1-8dee004f9050","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Zone 3","Details"
"f5124d20-27c6-51af-bb96-b24937d661a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Setout"
"13d5c33c-bbfd-5f47-8509-f99a5adcb2b3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Soffit Insulation"
"0e69092f-1ee7-5bc1-b68a-9efb8bb53800","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Speedpanel"
"45d5e104-f9f1-5e0a-b840-9aa41bd82527","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Frame Walls"
"946254c3-ceb9-522f-a995-d6b0db17808c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Install Noggins"
"c4a2089c-ce23-5f47-8d12-7c40d4e3c232","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Plaster wall sheeting"
"a2f965ea-60a4-5259-8377-9c36fd633109","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Frame ceilings"
"0e40253f-3d4f-5c8f-a483-09f9a963c2de","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Sheet ceiling"
"6e4e7959-ca0f-56e0-842e-5e246b0f0005","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Stop & Sand"
"9b5597ae-24b3-5d06-a169-d8cf3a6933c5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 3","Details","Ceiling tile install"
"82856faa-e3c0-4587-8e9e-da89ed168b57","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.061.004"
"a96a052e-398d-5443-9435-7784b0f78329","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.061.004","Details"
"4e304f90-5e6a-59e3-9987-8b7938cd96c1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","CT SCAN MID.061.004","Details","Lead Lined Plaster Installed"
"df1619c6-7813-49d3-84fc-2c75be81e5b2","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","X-RAY MID.062.002"
"ae3c9ec7-6234-5f48-9311-33859b84b78b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","X-RAY MID.062.002","Details"
"78084704-2a2a-5df3-be16-a85c75569f4a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","X-RAY MID.062.002","Details","Lead Lined Plaster Installed"
"9fb8070b-a65b-42b3-b414-799f7e45e445","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","X-RAY MID.062.003"
"8b295ab9-b7b0-583f-aefe-19466988f307","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","X-RAY MID.062.003","Details"
"6b15a460-6bd7-5791-8b3f-56463ab7f8ca","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","X-RAY MID.062.003","Details","Lead Lined Plaster Installed"
"32f7df06-4647-4f32-a4a6-966069591773","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Zone 4"
"f9f15c3e-2ad6-58cb-97f6-22ac23f54abc","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Zone 4","Details"
"7d8ca637-6886-54fa-bd83-6292dbe5b201","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Setout"
"956a008e-3723-5317-bf75-18699bd49c33","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Soffit Insulation"
"c89b554f-5935-5ec6-9417-f42f241dc1e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Speedpanel"
"c2a34bbb-c610-5987-b65b-cc7083dd4d91","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Frame Walls"
"8aa80961-c93c-5cec-8333-9ebee3870827","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Install Noggins"
"717b18c7-03be-503a-b680-f2ff4d1c4774","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Plaster wall sheeting"
"18e937dc-e49a-568c-aeca-01fca7b9af29","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Frame ceilings"
"935d266d-321c-5e11-9d96-240ae05539ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Sheet ceiling"
"c8c04d7f-6622-5f57-baca-51db05b9487d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Stop & Sand"
"9eef5d42-459d-5428-ae70-49434eec9703","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 4","Details","Ceiling tile install"
"9888c376-ab76-493e-9abe-54b24e562de6","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","FLUOR MID.080006"
"9b37e161-7586-5a88-ba1e-2b5d28cffea0","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","FLUOR MID.080006","Details"
"cb3936a8-451a-5ad3-a21d-6858d1d4f892","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","FLUOR MID.080006","Details","Lead Lined Plaster Installed"
"22acaf4e-ac32-4a44-a51e-daef313335e1","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","ANGIO DSA MID.078.006"
"2f33f2ee-703e-58f6-9377-3991405eeba1","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","ANGIO DSA MID.078.006","Details"
"0db6e5b1-71b9-5646-8786-d1ab7753a37e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","ANGIO DSA MID.078.006","Details","Lead Lined Plaster Installed"
"cc4e9474-0611-4006-a7e9-288d80fb4255","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.077.009"
"854d983a-948a-5eef-ba8c-7854a806d8bb","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.077.009","Details"
"449c56fd-86e6-55b9-a6dc-8fa69f26ee30","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","CT SCAN MID.077.009","Details","Lead Lined Plaster Installed"
"2d28233e-e172-4305-b050-ee1e9e8151d5","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","ANGIO MID.077.007"
"7ac00e28-223a-5f42-9db2-c13f1298ac0d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","ANGIO MID.077.007","Details"
"d80938cf-bc70-59e9-ab59-057711d5a923","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","ANGIO MID.077.007","Details","Lead Lined Plaster Installed"
"8e8947e0-9c01-4d6f-ae36-6e1fbe7e172e","","checklist-sectioned","not-started","Lead Lined Plaster Checklist","checklist","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.079.004"
"e4a68eff-fcd5-5558-94fb-6525d6af0160","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","CT SCAN MID.079.004","Details"
"cee93547-072a-52a8-85d5-389195d4953c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","CT SCAN MID.079.004","Details","Lead Lined Plaster Installed"
"7121cd2d-5c1e-45bb-8e80-470b8697cb7d","","checklist-sectioned","not-started","Pressure Room Treatment Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Pressure rooms - STR STER STK MID.125.005"
"9f0f10a1-aec8-59bc-949c-706522ab9a61","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Pressure rooms - STR STER STK MID.125.005","Details"
"5995a0dc-291b-5995-a635-18fb16694f00","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Pressure rooms - STR STER STK MID.125.005","Details","Pressure room treatment"
"ff43e277-6255-4b28-8e18-aaa198ca20f0","","checklist-sectioned","not-started","Pressure Room Treatment Checklist","checklist","FALSE","FALSE","Site QA","Level 1","STER SETU FLR MID.080.008"
"842b5ad6-1f01-56eb-85fb-a7bb0e9793f2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","STER SETU FLR MID.080.008","Details"
"c6f4d66c-11d1-507e-a960-2767a729420c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","STER SETU FLR MID.080.008","Details","Pressure room treatment"
"bfbd13bd-bc9c-4bf4-be7d-2f8481c14bac","","checklist-sectioned","not-started","Pressure Room Treatment Checklist","checklist","FALSE","FALSE","Site QA","Level 1","FLUOR. MID.080.006"
"06c315c6-2c17-55cb-8e86-6f43d3e0ea45","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","FLUOR. MID.080.006","Details"
"b9e6db6e-df60-5291-928b-2e857e6855e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","FLUOR. MID.080.006","Details","Pressure room treatment"
"bc8d046e-d409-4369-9f49-50291901dd9e","","checklist-sectioned","not-started","Pressure Room Treatment Checklist","checklist","FALSE","FALSE","Site QA","Level 1","STER SETU DSA MID.078.001"
"a8060b87-2b3d-5839-9958-9b37f3dc4416","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","STER SETU DSA MID.078.001","Details"
"9959ed6d-7770-5b53-a2f0-5edc3ac26258","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","STER SETU DSA MID.078.001","Details","Pressure room treatment"
"d597bbdc-2d33-42fc-944a-214319059b3f","","checklist-sectioned","not-started","Pressure Room Treatment Checklist","checklist","FALSE","FALSE","Site QA","Level 1","STER SETU ANG MID.077.001"
"e7805e45-e5ad-599a-afe1-e5ad0ca37063","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","STER SETU ANG MID.077.001","Details"
"741f92ff-2b19-528b-aba4-cf4402f708be","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","STER SETU ANG MID.077.001","Details","Pressure room treatment"
"b2fe6cea-86de-4f0c-b998-25d0c058d959","","checklist-sectioned","not-started","Zone Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Zone 5"
"3cf434ce-9eec-5221-93aa-cf07196240b4","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Level 1","Zone 5","Details"
"637b588b-90c9-5ae1-b64b-795c497ede0f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Setout"
"3d2fd253-c14a-59f0-b19d-cb11d4d5cdfa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Soffit Insulation"
"294bf8c0-1dac-5f2c-b722-7169f5edf51c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Speedpanel"
"a34398cc-3eec-5ebc-995a-806ab716d7b8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Frame Walls"
"879c9f6d-4183-5dfb-8620-bf814d30a088","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Install Noggins"
"12483fb1-a049-5349-8a81-a114ebea5ee6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Plaster wall sheeting"
"76119db6-c06b-57e2-a524-aadcd5ccec46","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Frame ceilings"
"cd46acf6-95e5-5923-aa39-652b74ba95d9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Sheet ceiling"
"1c34da84-1059-55ae-a5e1-920d92ac3f1c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Stop & Sand"
"fd6fa8f9-dd1d-54c1-99be-9255328096c3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Level 1","Zone 5","Details","Ceiling tile install"
