"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d6b4be16-3cc1-464f-8a0b-2d58d49f0d55","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"d646787a-da75-5ec3-a365-ef6f32f1005c","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"58d55353-e0af-4656-95e8-995547f30da7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"ab93e1d5-55cd-4db9-b37d-1a5f33c158ef","","checklist-sectioned","pass","b4d1633d23659b113421612c76dd31fcbb3d55235db2b92c835b5f74c883a446","checklist","FALSE","FALSE","Precast Manufacture","Weld plate details"
"b05b53f4-47ea-5b3d-9cbb-34eff74cf91b","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail"
"d7a74365-dc60-5cb7-9c5d-bc99de4974e7","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Edge Detail"
"a3697f4d-887c-58f2-830f-23898e980322","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Bar Projections"
"38ba44de-5d49-58bb-8c31-8fef9356b220","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Weld plate details","Weld plate detail","Cast in items"
"4d85f23e-5fe9-4c9a-a238-a430f40a8e90","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 1 - 50"
"9730e462-84bc-455e-b76b-16210fdc03ec","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -1"
"9c68dc5f-a750-5aea-a2ad-aa2411d78073","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Pre-Pour Check"
"8f7c08d1-5fd9-5333-b186-14c75524caad","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Wilco Sample Taken"
"33c5fdb7-5988-58e0-a99a-c708a6cd6c05","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Bridgeman Sample Taken"
"c6ad42ad-4a4e-5b5f-a45e-db00a9155d0d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Concrete Works","Supervisor Approval"
"dd82fa9d-19e9-51b4-951e-21fcafee52d8","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check"
"7e3812e8-76aa-5e36-b3a6-8ea17bcfac0b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Edge Detail"
"1e467047-7a49-526a-a0fc-b2a8747c3c71","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Bar Projections"
"82ad5d82-0f80-5e25-95ea-1e60f6ef3caa","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Post Pour Check","Cast in items"
"2ab58ba8-18fd-5ac2-9f1e-a3502a0b78f0","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Stripping and Stacking"
"48829aa6-89e9-564f-9c18-dc560ce91b77","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -1","Stripping and Stacking","Stripping & Stacking"
"6c2742fa-0163-4c7f-b103-b38f729826c9","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -2"
"6fcccc00-1eb5-5d3c-b369-fb281188f384","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check"
"5379861b-4e64-536f-b12d-6ad831543ef8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Dimensions"
"e479406d-8822-5ff9-8090-dd4c83f495f2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould Clean"
"13ad78a8-cc98-55e0-8c41-9a0eea45b7d2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould Oiled"
"22ffad39-5806-5236-8a67-779b9baaa677","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Mould - Workmanship"
"10976a02-dc3f-538a-b4c0-e0ab2da10947","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Reinforcing"
"f13e4eeb-cb4e-5f9e-aef0-33d487f73ced","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Cast In Items"
"348d1da7-10aa-5b68-b2d3-1b28f93c4983","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Marker Position and No."
"4b9542c0-6d2c-5332-a126-910d8bae3ad2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Pre-Pour Check","Make mould to Green Status"
"f7b83a8f-280e-5b9d-aa95-a3333c809c8c","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works"
"868e8aa4-d9c0-5b6d-b413-d3dd33e2a8ac","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Concrete Works Details"
"33499702-09c4-5680-8d65-e3260c6fd9a6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Wilco Sample Taken"
"6756bdda-9582-5e7b-a227-1d1f8c271b20","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Bridgeman Sample Taken"
"85832a25-a15f-59ef-9468-68bd8211c900","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Concrete Works","Supervisor Approval"
"b80553ca-0056-5e7a-aac9-a99d2dbf5133","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check"
"9887fad0-05e1-58f2-8bae-91ff4ab0dccc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Edge Detail"
"8a10d8ef-cda0-5156-8d0a-c70594ffd7ac","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Bar Projections"
"5165f4c6-8cf9-5be7-a3f8-aa017551fd57","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Post Pour Check","Cast in items"
"32dc4f74-871f-5043-9aa3-dcc199cfff94","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Stripping and Stacking"
"47ee584d-84eb-502c-a234-06cf002a4bee","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -2","Stripping and Stacking","Stripping & Stacking"
"358c18d7-8c3f-4780-913c-cdf67d28b052","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -3"
"92995593-9c37-5514-a45e-8fee1c749eef","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check"
"2b3c4290-1d8e-5e63-bbf2-3132756a22cd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Dimensions"
"044c353f-5564-5394-a36b-6e6b7bcf0c5b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould Clean"
"7270226b-170a-5cb8-8ee0-486871414d7d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould Oiled"
"9a16ea21-19bc-5b6e-a2d8-93d71dd5f476","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Mould - Workmanship"
"db737a19-7d99-56a1-8deb-21a0b8630dfd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Reinforcing"
"744d9bc0-d2f2-5ac1-bb42-7dd4e54ac7cf","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Cast In Items"
"dea9c321-afb3-51c3-8d9a-58bd646b4ffd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Marker Position and No."
"f5e73deb-2bae-57a5-ae13-c6aa6602a197","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Pre-Pour Check","Make mould to Green Status"
"9b727890-6b5b-5306-93f3-d7bc6965c879","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works"
"dd15f94b-8595-5d16-82c1-a90b94a8d65b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Concrete Works Details"
"dc48dcd8-c953-5989-be21-a69c2657af13","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Wilco Sample Taken"
"76d001c8-c974-555d-83d7-13559e648a30","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Bridgeman Sample Taken"
"943f7d76-0815-58ff-aedb-d8978de09b08","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Concrete Works","Supervisor Approval"
"57db4b78-0ab2-5560-a5ed-117185d8ef96","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check"
"ec6260c2-8271-5aff-9e98-41cd7bc64928","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Edge Detail"
"c2c78a49-751c-55cd-9095-49583caeddd1","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Bar Projections"
"57ea2bcd-6d79-5541-ad2f-5fc7a37b6253","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Post Pour Check","Cast in items"
"24c76b07-6931-5a24-bd80-be3c931dbd99","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Stripping and Stacking"
"18d128e0-be42-5f74-8a77-85b976026b6b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -3","Stripping and Stacking","Stripping & Stacking"
"20bafd4f-c03c-4b0f-ac10-e383833030bb","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -4"
"3cf46618-8662-5ae3-8a78-930961eb20a9","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check"
"704ac88a-0068-5a8b-95d5-233e56f1d55f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Dimensions"
"a9adf4aa-6a46-52c4-addc-c8afa0dc1314","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould Clean"
"cced932a-7bd8-51c0-8d65-e8ef9a43acc4","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould Oiled"
"afece2a4-3c23-51d3-bf3c-fe5c56cb07ff","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Mould - Workmanship"
"b85e8f8d-8857-57e4-b23a-fdb5843d7077","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Reinforcing"
"ae6b02cb-dc2e-536c-97dc-851e30927060","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Cast In Items"
"39738491-5855-5ddd-aed9-d2bd84932c56","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Marker Position and No."
"0153494a-666c-5b3f-bf35-dae678c32b16","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Pre-Pour Check","Make mould to Green Status"
"fa3ed8d9-ff94-5eca-b423-4aae315b71b4","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works"
"f30671c5-6d72-530d-be4f-bfa771d4e40c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Concrete Works Details"
"8336fb09-35bd-5a5a-9d96-1c858fc5d312","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Wilco Sample Taken"
"e787f2a7-7fbd-5f0d-bb47-a366b85ac902","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Bridgeman Sample Taken"
"471f161c-5c5e-59b3-9870-b58765fbd71a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Concrete Works","Supervisor Approval"
"3e37ff74-eb4f-5d46-9d61-969f2347299f","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check"
"d7c3982f-ce96-592a-86f2-c7e5e5bf197f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Edge Detail"
"fc4754a2-be8c-5672-9687-4922c28a7a18","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Bar Projections"
"8b6c5b23-2415-5f8f-8b9e-1f75fd986102","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Post Pour Check","Cast in items"
"e664716b-6501-5753-993c-80a2eb22b7f6","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Stripping and Stacking"
"657eef55-b1e1-5df0-b4a4-d74fcfdcbd88","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -4","Stripping and Stacking","Stripping & Stacking"
"caf5df08-debf-482f-b38e-ff15407727eb","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -5"
"ac53a9b2-5e2f-59e4-a7d0-90913b640738","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check"
"598223e3-55b7-5c3f-908a-6595ddae77bc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Dimensions"
"ae6eb838-cca7-588f-9917-7d565e5f7c5b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould Clean"
"1b6b2850-2fb3-5bfc-b975-31be0539446d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould Oiled"
"7e46829f-a9bf-5ddc-8592-cbdf0606a5bc","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Mould - Workmanship"
"dbe5f001-d6b2-5e1b-a0e2-822dc77ef186","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Reinforcing"
"515ddc88-ba62-5aaf-87ab-852e4dbdc882","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Cast In Items"
"8d09802a-673c-5aa8-b392-4103058d8891","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Marker Position and No."
"eddcbbb1-1adf-5ee5-b268-7c86b54a745e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Pre-Pour Check","Make mould to Green Status"
"ae611e3e-c4ce-5b2a-90e7-f6bd64e5e6e0","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works"
"a90b57fc-3436-5736-864b-3229f66cc400","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Concrete Works Details"
"6410b77d-4069-554b-95f4-09046d4c1edd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Wilco Sample Taken"
"cf7b7171-f223-5e1c-ad07-55028ea3e8d3","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Bridgeman Sample Taken"
"1aed474a-47e5-5ace-aadf-84dee2718628","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Concrete Works","Supervisor Approval"
"ffbf87ca-fa01-5c32-8f15-4831e9ab2d52","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check"
"ebe6633a-4b58-5bb1-bb04-113d1f8e7f24","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Edge Detail"
"8d6c4d23-967f-5eb8-a96f-1a383fd90953","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Bar Projections"
"cbf5d81a-d1c0-559f-9c3d-8ba246cd7d30","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Post Pour Check","Cast in items"
"f0201ce0-3fbc-5333-8a4f-453e6486a2b6","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Stripping and Stacking"
"aed5bce2-e01e-55f3-8aef-6d9a1b4f21c8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -5","Stripping and Stacking","Stripping & Stacking"
"ad41a710-0136-430a-ae75-00067bdf5931","","checklist-sectioned","not-started","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 1 - 50","Panel -6"
"d0f2154a-a950-5b00-96cc-a3649783a834","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check"
"1d8c348b-df1d-5f75-bb53-00bb4a71e588","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Dimensions"
"c8122e2b-234e-5c9b-9e1d-869f038e5335","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould Clean"
"b89928db-fe95-51e8-baa1-485f7d56e6a9","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould Oiled"
"a679326b-8e12-5818-a5fb-504a11c68236","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Mould - Workmanship"
"aff872f4-24d3-5878-af88-60a516e89cfb","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Reinforcing"
"242b6a10-fac5-5ab7-a39d-4591639b67b5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Cast In Items"
"9eda280b-ba68-53fe-a646-5e7ef23c35f2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Marker Position and No."
"00d682f2-b690-5d53-8ae9-2abe2fcf228c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Pre-Pour Check","Make mould to Green Status"
"7a0b6a76-8694-5c42-99e3-aa6e3af22c04","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works"
"f8b43279-f391-5561-b643-f2663b0b0190","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Concrete Works Details"
"092449db-3267-5c7c-9d86-8c045ec0f372","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Wilco Sample Taken"
"852daed1-4d05-561e-ad91-3362e577f19c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Bridgeman Sample Taken"
"0e8a1a20-ad36-5466-8454-4bc8fb02b3a5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Concrete Works","Supervisor Approval"
"5c4d2239-bd55-520e-b6b5-422cc8fbd760","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check"
"2a6d84e9-b0fc-54c9-aaae-1e93f8d5a53f","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Edge Detail"
"b48ad98d-105a-5cf6-a351-c18d7f82ba56","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Bar Projections"
"55c411ad-b271-576f-aa69-a1a9261fb04c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Post Pour Check","Cast in items"
"7690194b-4930-55a5-af4e-657d574f7f78","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Stripping and Stacking"
"28ac4437-ba91-54ae-ab24-2d4cfb9ad3e8","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 1 - 50","Panel -6","Stripping and Stacking","Stripping & Stacking"
