"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"23721259-6a25-50c6-b120-3ef6d0ba4306","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00829 Silo D 2023"
"1760dbfa-2c17-5e0b-b8ef-2ff60ff56ea9","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","OHS"
"ab8d76e4-62fc-5551-a18a-ba72c8354d71","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights"
"4149454d-6af5-54f1-bb5c-97b8963c8422","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Has a swms doc been uploaded"
"41bf1e26-de54-54db-8e36-df9b8c7fb63c","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Do you agree to follow all procedures outlined within the attached swms"
"b7ce339a-c866-5793-a637-80b4c8f67a21","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Are there any site specific additions or omissions to add to this swms"
"8f6b2449-4681-511c-9cdc-7e1319c46321","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Working at Heights","Have you signed into the attached swms"
"9b3824a8-ddba-5737-9255-afeeb153fd83","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General"
"ec7bd970-aed7-5713-a855-1175c16b0984","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Has a swms doc been uploaded"
"79de7f42-12fa-5235-9c0b-05c0edc2be1d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Do you agree to follow all procedures outlined within the attached swms"
"43ca7b28-87b8-50db-905a-02644ddcfa7e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Are there any site specific additions or omissions to add to this swms"
"7ddece89-f3c6-5c06-b867-836bf727624e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Plumbing Works General","Have you signed into the attached swms"
"350a660f-0a96-5a24-8133-0ab0342dc3ec","","checklist-flat","pass","SWMS Checklist","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling"
"8b18a8d6-6fca-5e8b-8508-91067bca53c0","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Has a swms doc been uploaded"
"c98b6245-3d75-5c01-a4ea-d31900849d3d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Do you agree to follow all procedures outlined within the attached swms"
"a5063f07-018f-5472-8afc-4bcf052c4d45","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Are there any site specific additions or omissions to add to this swms"
"8e3c9e50-3575-5a25-a6a6-e0fdab135d41","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","OHS","SWMS Checklist - Manual Handling","Have you signed into the attached swms"
"b8bf4590-2984-5365-946f-285b370e0471","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5"
"8d164543-781e-50c4-8a8a-441cbdc8c461","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan"
"6dd4e577-d04a-55e7-bbe1-edc796b073e7","","checklist-flat","pass","f67718ffc28742497595be01323080b19dc6b0ad862c0f01b5624a8a238559f9","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22"
"cf9679bb-6226-5160-ad6b-9fd28d7f89f8","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Have you got a safe way of getting in and out of your work area?"
"ba082c73-f0c3-56e5-8426-afa7e64a55e5","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Have any manual handling risks been identified and assessed?"
"3099545c-2aa1-5737-b70c-1cd26e641a77","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Any additional site specific hazards or requirements commented below"
"5b93213b-68e9-5c93-b9b9-f0d596498b0f","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22","Sign off attached below"
"670b4a2a-cbc9-54ea-acfb-842494757964","","checklist-flat","pass","acf7f1a1c5ec1f5518e052023ee32607ac1ee92f98f0882a50c9e8327b0c69de","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23"
"408e1588-c6c5-52a8-8a59-0df745b091a8","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Task details entered below"
"3f523ae7-da54-5c59-a2be-1bc529057fe7","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","If any of the below are 'Fail' (no) - make yourself acquainted with site requirements before starting work"
"d3fe032d-5b4c-5153-8940-c93525a9c537","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Have you completed a site induction?"
"b0c1aa00-0db7-50e1-9db6-dc3de98c15d9","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Do you know the site’s health and safety rules?"
"560b61ba-a9aa-5b92-ab68-911d56acef53","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Are you familiar with security arrangements and the system for reporting incidents, near misses and hazards?"
"27a79331-9d60-5f9c-8ef5-a77abcdcf894","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Are you familiar with the emergency facilities and evacuation procedure/route for the site?"
"e6d8117c-62a5-5402-9c14-79664c663683","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Do you have access to appropriate emergency and first aid equipment?"
"359c249b-4888-56cd-8389-f176f634bbfc","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Have you asked the person in charge about all relevant hazards?"
"5f71b943-9d6b-555c-aa92-45e69cc7a537","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","If any of the below are 'Fail' (no) - follow up with person in charge to ensure your safety"
"198dc739-efdf-560a-ae91-f199ca904917","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Has a safe work method statement or job safety analysis been completed?"
"3dcff68f-4fae-5124-bfa2-08576c6c33e9","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Do you have the correct procedures, equipment and PPE to do the work safely?"
"8272a8ce-cc37-55e8-9b4a-8ed8f25652f0","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Has equipment that requires a lock/tag-out and/or power that requires isolation/containment been completed?"
"23784b2c-a335-57e9-844f-82ff153591b6","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Is there appropriate separation of vehicles and people during the proposed work?"
"2020ae23-0f2a-53b3-937a-cc193c365c83","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Is all required electrical/mechanical equipment in a safe condition?"
"e11976b1-b8f9-542c-ad42-fac0161385a3","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Are all hazardous and/or dangerous goods/substances used and stored according to their material safety data sheets?"
"93a42b73-53d4-57ef-bbcb-d828de280e5e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Have you consulted with all fellow workers about the task to be completed and the safe way to do it?"
"a6172b0e-d03d-5e81-9c30-13f4670e00a9","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Have you got a safe way of getting in and out of your work area?"
"595f3049-5f73-5d7e-af0b-5481826bfad1","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Have any manual handling risks been identified and assessed?"
"6b44982e-d342-5631-ba7b-f7f7abfde378","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Any additional site specific hazards or requirements commented below"
"a2aa1697-a523-517f-9531-203408d77387","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist -13.02.23","Sign off attached below"
"d3e5f6bc-3955-54bc-bba5-ed329f7da8cb","","checklist-flat","pass","acf7f1a1c5ec1f5518e052023ee32607ac1ee92f98f0882a50c9e8327b0c69de","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23"
"112115df-baca-5e22-b921-12f21d07483b","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Task details entered below"
"19709227-d936-531a-93c2-2b702787147b","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","If any of the below are 'Fail' (no) - make yourself acquainted with site requirements before starting work"
"87350d78-26c5-5232-adf7-fd9866eb9a4e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Have you completed a site induction?"
"e261a8b3-e458-56a4-9062-60eba02ed577","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Do you know the site’s health and safety rules?"
"0ea37575-fd7d-56b3-9f66-8f9d2c404173","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Are you familiar with security arrangements and the system for reporting incidents, near misses and hazards?"
"5eaeebd1-d69b-5c33-bcd6-7e85665c1d4b","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Are you familiar with the emergency facilities and evacuation procedure/route for the site?"
"79e476dd-650b-5b53-8157-08f86d8aeaf2","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Do you have access to appropriate emergency and first aid equipment?"
"47202fca-18b3-54f1-aca0-7511a9d3fe68","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Have you asked the person in charge about all relevant hazards?"
"1f4940c4-9059-5f0f-a629-aaed294a9d48","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","If any of the below are 'Fail' (no) - follow up with person in charge to ensure your safety"
"56d3f331-e81f-56f1-a315-9987e2d96119","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Has a safe work method statement or job safety analysis been completed?"
"4a670ed5-7ada-51dd-891c-b4d559c0a9e7","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Do you have the correct procedures, equipment and PPE to do the work safely?"
"b3b3a436-d299-5fe8-813e-1192ee9e33be","","checkpoint-status","not-applicable","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Has equipment that requires a lock/tag-out and/or power that requires isolation/containment been completed?"
"0a78faae-f7ad-54ac-bcf3-540a02d74ee1","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Is there appropriate separation of vehicles and people during the proposed work?"
"b211a004-e4a3-5205-82f5-5ed5402a0e2d","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Is all required electrical/mechanical equipment in a safe condition?"
"b0c0d133-e179-55a0-8a3c-2c8db715f555","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Are all hazardous and/or dangerous goods/substances used and stored according to their material safety data sheets?"
"4df36993-7a71-5323-bad5-8fb2fcfbefe7","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Have you consulted with all fellow workers about the task to be completed and the safe way to do it?"
"e3cde219-1c52-5e62-89dd-79207ee253aa","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Have you got a safe way of getting in and out of your work area?"
"70418d9c-2491-5e32-a5c9-dff0a37edcc7","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Have any manual handling risks been identified and assessed?"
"50a27345-d7ca-5242-befb-6096cf30ad2f","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Any additional site specific hazards or requirements commented below"
"fb7b18a7-33c9-574c-856a-0be3611abe0e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 22.06.23","Sign off attached below"
"31f6f61b-0216-5837-9c44-d70147257a11","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Andrew Brew"
"402f7290-83ce-5db5-8f11-f84562b0ddf6","","checklist-flat","pass","f67718ffc28742497595be01323080b19dc6b0ad862c0f01b5624a8a238559f9","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22"
"1060027f-ee9e-527b-b963-f07af426085b","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Task details entered below"
"fbb3c42b-01cd-520c-a0ae-54cdb3fe8fdd","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","If any of the below are 'Fail' (no) - make yourself acquainted with site requirements before starting work"
"f1454b34-e136-5286-984c-cb76ba57182f","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Have you completed a site induction?"
"207b614b-3331-5487-b0a0-5b099eea9ffe","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Do you know the site’s health and safety rules?"
"4451dd14-f0a8-5508-b20b-8de83b041d1e","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Are you familiar with security arrangements and the system for reporting incidents, near misses and hazards?"
"e36ffef1-4bf1-5400-ac4f-d2852fce972c","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Are you familiar with the emergency facilities and evacuation procedure/route for the site?"
"192e0e2f-8812-5e2a-899e-0959b59f8570","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Do you have access to appropriate emergency and first aid equipment?"
"136d5c32-c53f-573a-a368-31b16af59a71","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Have you asked the person in charge about all relevant hazards?"
"ca9c2455-bca3-5dab-8869-60c6ac057a71","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","If any of the below are 'Fail' (no) - follow up with person in charge to ensure your safety"
"17ca0d02-8384-5cee-ac7a-acc60619fe32","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Has a safe work method statement or job safety analysis been completed?"
"d481fe21-399b-551f-a272-a29acbe58436","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Do you have the correct procedures, equipment and PPE to do the work safely?"
"77f802bb-260b-58da-b3df-26e5f781b28b","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Has equipment that requires a lock/tag-out and/or power that requires isolation/containment been completed?"
"32d0e19f-965a-5867-a15c-d7e43217f27a","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Is there appropriate separation of vehicles and people during the proposed work?"
"b2d15318-cca0-5a10-a2d4-b43ba91f1056","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Is all required electrical/mechanical equipment in a safe condition?"
"079b3483-507a-5fc7-87ed-665b496b8291","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Are all hazardous and/or dangerous goods/substances used and stored according to their material safety data sheets?"
"b6ce5bc6-15cd-5979-8909-8fc6e78ed8f8","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Have you consulted with all fellow workers about the task to be completed and the safe way to do it?"
"b0beb723-d9a8-5a04-b3fd-2a2c848e94a1","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Have you got a safe way of getting in and out of your work area?"
"39c1626b-d93b-5fbd-abe3-70e762b9756f","","checkpoint-status","pass","","","TRUE","TRUE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22","Have any manual handling risks been identified and assessed?"
