"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"224b70eb-1944-4b92-af98-bcdbb9dfa520","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"737964f0-cfb1-41a4-8702-4054d85fb71d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In"
"733ff6ab-5f26-44b6-b616-af94fb1c3c3c","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 2"
"296da1af-0951-4248-b4b1-118a4867aa66","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 1"
"ca3534e0-dc1c-4bf0-9afc-31ac5e5328f8","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Lower Ground"
"91554f26-cd76-46fb-99ff-7c310dd31471","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Upper Ground"
"d6f107f7-055f-4e92-86b8-53b7047a70f9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","School"
"cc6ab264-13ea-41ce-bf9d-18f61b4a972f","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lower Ground"
"a705ea41-48d9-4168-8931-3be29c8ce2df","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 1"
"25f8b3df-214d-4cbd-b907-a4019604904c","","checklist-sectioned","work-in-progress","ee267d485f3bf1d64932eee529104e06c9826dfd5c9be1d6c280433688669e08","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Media Hub S0318"
"af4a8ab8-4846-4ce3-a571-11f224395996","","checklist-sectioned","work-in-progress","b811186456d9f829cd80eb3e1e5ab41b06715e3001db84085bf10d00621edbae","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Nook S0304"
"f8f6670d-855b-4603-98d6-bb9688aef2ce","","checklist-sectioned","work-in-progress","b811186456d9f829cd80eb3e1e5ab41b06715e3001db84085bf10d00621edbae","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Nook S0311"
"3ce79bcd-0fb5-46ea-ba55-8cdff63543a0","","checklist-sectioned","work-in-progress","1a964b9ddc282abf54d55c1698b24836e5dde1e9d285d0cbc8445835565249ca","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Nook S0319"
"0a0c3fe5-2cc3-40f4-9793-cb78d83d3b41","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Outdoor Learning S0309"
"850b7bfe-9819-4837-9c20-280f8b582c0a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Outdoor Learning S0315"
"f35e6ff3-026c-4f7a-b250-d8ca65ad75a3","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Services S0380"
"ca21f55b-f9cd-476e-b098-9e2be48f2861","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Studio Lab & Learning Commons S0308"
"a19f7889-8010-456e-92f6-a33ef4edd4eb","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 3","Studio Lab & Learning Commons S0314"
"d25431e4-7f3e-4171-a0a2-093a2178aad5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 4"
"263a4fa3-4d4f-4186-9e0b-23451763d013","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 4","ACC S0403"
"b0319a3f-5d02-4916-89b3-f5269423a3d4","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 4","ACC S0404"
"61b94f6f-2395-47d1-a663-16ff848b3ee0","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 4","Covered Area S0402"
"04677e22-d14b-41cd-82de-207f2cda8cee","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 4","Outdoor Learning S0401"
"76f1f2ff-1087-46a8-b312-3516eaf101dd","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Level 4","Plant S0405"
"42fdd465-3e0e-4597-9c58-c72e27c55f9d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Lifts"
"7ecf42d1-982f-422e-bb37-7c6b5401f309","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lifts","Lift S-L1 C0871"
"1bfdc9b8-535a-42e4-a3aa-6bd67370e914","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lifts","Lift S-L1 S0170"
"4cfdbf52-167a-440c-8189-732eb2565822","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lifts","Lift S-L1 S0270"
"fea1f66f-6a0f-449b-a628-ee2d9e2ed379","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lifts","Lift S-L1 S0370"
"04321b96-eddb-45ba-9429-9abf722e33eb","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lifts","Lift S-L1 S0470"
"6ffeb681-931a-4388-b90d-cc01f72ccc1b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Stairs"
"198b99bd-0927-4dc1-a006-ceafcd78d323","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Stairs","Stair 8 S0360"
"d6c7b672-f8d8-4bc3-a0d2-8e7b929e4c36","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Stairs","Stair 9 S0261"
"12e4f5b1-76f7-4d74-b6b4-2040b8724515","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Stairs","Stair 9 S0361"
"85dfca55-3d35-476c-82c2-4c8e9ed9243d","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Stairs","Stair C0850"
"c79dae43-fc98-42a6-87ac-783c94d007b7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Upper Ground"
"5e24842c-0b8e-483e-87a3-676b001a0f72","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Upper Ground","School Comms Room C0783"
"8d69eb19-e16e-4e09-9e23-fd14e9308f66","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Upper Ground","School Lobby UG C0741"
"063cbc0b-7e84-4037-9035-f18e216cfc44","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Upper Ground","School Lobby UG Mezz C0640"
"b467756b-bc0e-4fd6-b40f-066dcd883cc8","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Upper Ground","School Storage C0791"
"23644ba2-0ccf-4827-9df6-f79db3019c9c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall"
"1a9baff7-b3bd-4860-8255-e50cbcac85ce","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Lower Ground"
"e4cbb8fc-73b4-483d-af89-cc3d9370ed73","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Upper Ground"
"ad1225a8-5b1a-45c1-a820-92b8f6cb78fb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall","Level 1"
"940c5bb7-10b2-4108-907d-44a2fcb65951","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","ACC P0102"
"971aa45b-15b0-4357-b6c3-dfeb8908a62d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","Airlock P0141"
"5b6388d3-fd6f-4b50-80b9-bde2fc98d760","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","CLNR P0108"
"3d8f8b8c-7c40-481b-89d1-4cc29300618c","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","FEM P0103"
"ac0425f9-98f8-4ecd-9699-6a7c865477ba","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","Lettable Space P0101"
"9632819b-9599-4f1b-bbda-bc2b0fd055bb","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","Lobby P0140"
"292ccce7-8753-470d-9b9e-a357ada98ced","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","Male P0104"
"3143ff54-e4c6-434a-93ae-37372ad37dd6","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 1","Meter Room RB146"
"cef778d1-cfd0-45f5-a01c-ae03f99d0a61","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall","Level 2"
"1bfafa85-5de0-44f8-b094-e9cd728909b4","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","ACC P0203"
"edb032dc-0977-4f4d-857b-6c361247fdd3","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","AV Store P0292"
"2512143e-8f29-44d1-ab03-46f3e4547e78","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Elec P0293"
"eba4984f-ee58-4573-8e3a-c5cdb5deeeb4","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Family Room P0205"
"2ea3e86d-b895-4516-b95b-69809cc5f787","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Foyer P0209"
"edf4c5b0-6c2b-40d2-b21f-5b32de10316d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Foyer P0240"
"fe5a907e-08fd-4daf-907a-737795aa0746","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Hall P206"
"11427c93-71b5-4f4d-97c5-629df7a29440","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Kitchen & Servery P0208"
"328e59fb-596a-41d7-a291-f28192d4ac82","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Lobby P0241"
"69d41e25-2346-475e-9328-b81ea21b03b6","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Meeting P0202"
"c73a3dd3-76cc-48bc-89f7-ef3838dbdbd3","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Reception P0201"
"879ba2ba-47c2-4432-95a7-b0c2bcb7ca62","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","Stage P0207"
"ed696d46-8e83-413e-8c44-2bcbbef4279f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","ST P0290"
"bc225767-5307-4554-92f8-8e5a91c248b8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 2","ST P0291"
"682e8688-1f16-45ff-a297-16437c9c185c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall","Level 3"
"5fffcc86-cf55-4e63-a292-6172951efdc0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 3","ACC P0302"
"bfaee358-c0a5-46e6-b110-52803193fa03","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall","Level 3","Kitchenette"
"effa5275-83fa-44b0-bcce-6927b15a7a3a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 3","Kitchenette","Rough In"
"dd8ad74e-3dfd-43af-8d8e-33239fcf6883","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Parish Hall","Level 4"
"1e0570b6-f362-430f-859d-ee7b72bdb47b","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Parish Hall","Level 4","Plant P0484"
"95082838-8fd2-45d6-9d2f-b6f6dae616e1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)"
"908f7d3d-f31e-45b7-b88a-94c1c44eb615","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1"
"7420c427-91bb-4f55-80e7-2df417a5802e","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Base Building"
"206ea35c-5c4c-4d83-9946-e61ac631a7bb","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0101"
"3f2aeba7-054b-46d9-8736-fc41fd406174","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0102"
"47c8f577-bf06-429b-95d1-12fd9df897e7","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0103"
"a99eef6d-bf39-40a0-b27f-3a5c98ba1506","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0104"
"77fa3c2e-e097-440f-95cd-8c21f87c10b4","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0105"
"2dfe16e8-9102-4f44-8bca-f413a5092bc4","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0106"
"98a88c63-a517-4d0f-bbfe-b7e7ad4b84d4","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0107"
