"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7b9d3c2-ab87-4365-bc0c-fadb97ba2331","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)"
"ba30accb-239e-4a63-a28c-f7c24907ff2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Offsite QA (Factory)","N17"
"54ba204c-584a-47a2-b9a1-5089c33b7781","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments"
"6e02539a-59b0-4392-9206-620c10913a44","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","Ground Floor"
"513de015-cee1-4955-9654-6e74da97583f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","1st Floor","L1-01-A-TB-R & L1-15-A-TB-L (N17-L1-01&15-R-M2B)"
"6df333f1-e6b0-4efa-9ce9-00db6dc9582d","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor"
"537841b8-d901-426c-87e7-888ff0b56267","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-01-A-TB-R(N17-L2-01-R-M1B)"
"65165210-8b84-42ca-b737-e903cdf8fc26","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-02-A-TC-L(N17-L2-02-L-M1C, M2C, M3C)"
"eed4edcb-ebe2-4683-a8ae-5cd7a95f224f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-03-A-TC-L(N17-L2-03-L-M1C, M2C, M3C)"
"60fcbf0d-22cd-454a-97a4-3c90d6c14cdb","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-04-M-TE2-L(N17-L2-04-L-M1E2, M2E2, M3E2)"
"60afb0df-2313-426a-9bb9-63926e50cda6","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-05-M-TE1-R(N17-L2-05-R-M1E1, M2E1, M3E1)"
"78c45893-99c1-45fa-b372-f6fb454d25f6","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-06-M-TE1-R(N17-L2-06-R-M1E1, M2E1, M3E1)"
"79bd9ebd-862c-4e85-9948-f495b176e999","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-07-M-TF-R(N17-L2-07-R-M1F, M2F, M3F)"
"89126a9b-7b2a-49f2-a362-dbb2bc517f12","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-08-M-TG-R(N17-L2-08-R-M1G, M2G, M3G)"
"f6d27ff7-cd50-479c-bb1d-5dd9ee0e7b9b","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-09-M-TE1-L(N17-L2-09-L-M1E1, M2E1, M3E1)"
"7935c53d-66b1-49d0-91da-d157b537417d","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-10-M-TG-L(N17-L2-10-L-M1G, M2G, M3G)"
"2a640829-0da4-4419-aa3d-a907fe833beb","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-11-A-TC-L(N17-L2-11-L-M1C, M2C, M3C)"
"dc8b9eca-a4a7-490d-8775-94773b10b8be","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-12-A-TC-L(N17-L2-12-L-M1C, M2C, M3C)"
"12296405-c929-42f4-b1cc-4e76f2428d23","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-13-A-TC-L(N17-L2-13-L-M1C, M2C, M3C)"
"1e36ee78-dc8c-4b35-8cd6-15819535ba40","Child Windows Checklist(4691b33c-987e-5c43-8d19-05f467475c72): Signoffs not allowed on checkpoint-group: Signoffs(fa137c2e-6153-4b2d-93d9-9e816590bd1e)","checklist-sectioned","pass","8e1b6bef6668c3860226b87b0fd134b35f00be8b5af186030f8c4dc6099ba065","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-14-A-TK-R(N17-L2-14-R-M1K, M2K)"
"84176bc7-00f3-4128-90e7-1f8f2d2ce2cd","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-15-A-TB-L(N17-L2-15-L-M1B)"
"992668df-add6-4923-b880-9f4aa9371a1a","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","2nd Floor","L2-01-A-TB-R & L2-15-A-TB-L (N17-L2-01&15-R-M2B)"
"fdf9dbb6-b83b-4ab7-82cd-089a3084d85c","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor"
"ecb2a623-b879-4e68-9de7-f19b22e181f3","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-01-A-TB-R(N17-L3-01-R-M1B) - (217)"
"bea7b9e7-8889-4a1d-aa98-438b0126683d","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-02-A-TC-L(N17-L3-02-L-M1C, M2C, M3C) - (144, 115,  131)"
"e41770fa-03e9-4241-b091-d684383267b8","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-03-A-TC-L(N17-L3-03-L-M1C, M2C, M3C) - (145,116,132)"
"41bdb61b-5365-4ff4-bd65-68ad2560d9ca","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-04-M-TE2-R(N17-L3-04-L-M1E2, M2E2, M3E2) - (196,117,181)"
"f0929e80-d038-4d46-9fe6-7fe47334ff10","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-05-M-TE1-R(N17-L3-05-R-M1E1, M2E1, M3E1) - (175,166,157)"
"33f7d0ed-0127-4fc9-861f-e71dcea56b4f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-06-M-TE1-R(N17-L3-06-R-M1E1, M2E1, M3E1) - (176,167,158)"
"c722c0f0-682a-4685-badc-bed436a67f5f","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-07-M-TF-R(N17-L3-07-R-M1F, M2F, M3F) - (202,168,159)"
"2cc84509-c546-4836-ae38-ceed139d1405","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-08-M-TG-R(N17-L3-08-R-M1G, M2G, M3G) - (187,193,205)"
"f695c095-9dfe-4259-a604-649b56705cb9","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-09-M-TE1-L(N17-L3-09-L-M1E1, M2E1, M3E1) - (199,190,184)"
"e940101c-157f-4934-9e0c-c84d01c5b1fc","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-10-M-TG-L(N17-L3-10-L-M1G, M2G, M3G) - (216,219,220)"
"2507d44e-bd4e-4a39-b8e9-54cc823010c2","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-11-A-TC-L(N17-L3-11-L-M1C, M2C, M3C) - (146,118,133)"
"cd2b326b-d8ae-44ae-a5c7-e679caf7f073","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-12-A-TC-L(N17-L3-12-L-M1C, M2C, M3C) - (147,119,134)"
"3a7775b0-e6b8-4a93-912d-e67a6ae171d3","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-13-A-TC-L(N17-L3-13-L-M1C, M2C, M3C) - (148,120,135)"
"25f821a2-acf7-4dd7-8507-770db2737445","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-14-A-TK-R(N17-L3-14-R-M1K, M2K) - (213,211)"
"24edc7da-1949-46da-8728-96ca37f9a6b6","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-15-A-TB-L(N17-L3-15-L-M1B) - 218"
"09a881c1-10f5-40d2-a93d-3ebbe31d2bf4","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","3rd Floor","L3-15-A-TB-L & L3-01-A-TB-R (N17-L3-01&15-R-M2B) (215)"
"0886a152-f214-4a16-8c3c-1a78d28e4b8a","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor"
"6a0614ff-825b-4236-bb29-54b2475f1307","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-01-A-TC-L(N17-L4-01-L-M1C, M2C, M3C) - (210,208,209)"
"a97e7df1-04bc-4bbc-a50c-408d72ba5dbf","","checklist-sectioned","pass","068b68725a354285e7effed5eaa31f9d4b9fe75372e216303268cf652725c858","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-02-A-TC-L(N17-L4-02-L-M1C, M2C, M3C) - (149,121,136)"
"cbfd31fa-ca22-43f9-a180-9daab32ce3aa","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-03-M-TE2-L(N17-L4-03-L-M1E2, M2E2, M3E2) - (197,122,182)"
"b68a6603-3705-4bb2-8bea-af3f4697feab","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-04-M-TE1-R(N17-L4-04-R-M1E1, M2E1, M3E1) - (177,169,160)"
"283b714c-57ea-487f-a101-c605a6f6f334","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-05-M-TE1-R(N17-L4-05-R-M1E1, M2E1, M3E1) - (178,170,161)"
"9b079a62-e421-44b7-8c51-4199e2a738c5","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-06-M-TF-R(N17-L4-06-R-M1F, M2F, M3F) - (203,171,162)"
"a8b7c56f-07f9-43a1-a002-894a6f87b35a","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-07-M-TG-R(N17-L4-07-R-M1G, M2G, M3G) - (188,194,206)"
"dbbc576e-9dde-494f-832f-6d2a597d0721","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-08-M-TE1-L(N17-L4-08-L-M1E1, M2E1, M3E1) - (200,191,185)"
"9ae4c91e-7ec1-4cf3-8089-e7d317c10e8a","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-09-A-TC-L(N17-L4-09-L-M1C, M2C, M3C) - (150,123,137)"
"4bfd46e3-ca0c-420c-9b5f-8cd02769673a","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-10-A-TC-L(N17-L4-10-L-M1C, M2C, M3C) - (151,124,138)"
"0b588f18-a133-49b1-bf8b-66ef1d919c1b","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-11-A-TC-L(N17-L4-11-L-M1C, M2C, M3C) - (152,125,139)"
"582e6379-a534-4e1f-bfb9-4d03c15a06f1","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","4th Floor","L4-12-A-TK-R(N17-L4-12-R-M1K, M2K) - (214,212)"
"acf7c198-61c9-46d4-84b3-c484a7d8f176","","folder-normal","pass","","step","TRUE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor"
"6eaff28b-c547-4633-9a4a-569ad3f991b3","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor","L5-01-A-TC-L(N17-L5-01-L-M1C, M2C, M3C) - (153,126,140)"
"f532bbdc-0ec8-4a4a-acae-1727445eb6b5","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor","L5-02-M-TE2-L(N17-L5-02-L-M1E2, M2E2, M3E2) - (198,127,183)"
"b88537a8-0d1d-465c-9b5b-0cfd22f1af1d","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor","L5-03-M-TE1-R(N17-L5-03-R-M1E1, M2E1, M3E1) - (179,172,163)"
"b2256176-484b-4e29-abd9-c8db7137dacd","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor","L5-04-M-TE1-R(N17-L5-04-R-M1E1, M2E1, M3E1) - (180,173,164)"
"6cfbe23f-2430-488e-8c9b-32c67a6dcc66","","checklist-sectioned","pass","07fc6763993c798e22df9cbdb861ab23405f6a6e8e70985d3da3d62fece3477e","checklist","FALSE","FALSE","Offsite QA (Factory)","N17","Apartments","5th Floor","L5-05-M-TF-R(N17-L5-05-R-M1F, M2F, M3F) - (204,174,165)"
