type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checkpoint,"Ensure there is no visible damage to the equipment and all meters, LED indicators, manual switches, PB, MCB, selector switches and fittings are in good order. Hold down mounting arrangement correct.",,,,,,,,,,,
checkpoint,"Confirm equipment panel has adequate air ventilation, as appropriate to its internal heat generation.",,,,,,,,,,,
checkpoint,Confirm any slide-in cards / modules are firmly fitted to the equipment panel and properly identified.,,,,,,,,,,,
checkpoint,Check panel air vents are clean and free of dust and dirt.,,,,,,,,,,,
checkpoint,Check equipment panel external earthing connections are securely fitted to and properly terminated on the cabinet protective earth bar.,,,,,,,,,,,
checkpoint,"Where fitted, check instrument earth connections are securely fitted and properly terminated on the cabinet instrument earth bar.",,,,,,,,,,,
checkpoint,Ensure any AC power connection(s) is securely fitted / identified different power sources and potentials and cabled to the appropriate Power Distribution Panel circuit breaker(s).,,,,,,,,,,,
checkpoint,Check sealing of all cable penetration (where applicable).,,,,,,,,,,,
checkpoint,"Ensure all signal cables, including any RF coaxial cables, are correctly identified, and securely fitted to the equipment panel.",,,,,,,,,,,
checkpoint,Where fitted ensure panel sliding rails are operating smoothly and without risk of damage to external cables and connectors. Check alignment of false floor after panel installation (where applicable).,,,,,,,,,,,
checkpoint,Confirm panel is readily accessible for inspection and maintenance.,,,,,,,,,,,
checkpoint,"Equipment IP, Ex ratings, check tightness for all circuit connections",,,,,,,,,,,
checkpoint,"All internal cables and wiring is correctly numbered, colour coded and terminated",,,,,,,,,,,
checkpoint,Check internals for cleanliness,,,,,,,,,,,
checkpoint,"Incoming cable compartment with gland plates provision,",,,,,,,,,,,
checkpoint,Relays Metering and Protection ratings are correct as per design,,,,,,,,,,,
checkpoint,As-builts complete,,,,,,,,,,,
,,,,,,,,,,,,
checklist,ITR-E-12A Entec - Distribution Board Installation,,,,,,,,,,,
section,Installation,,,,,,,,,,,
checkpoint,Inspect for mechanical damage from freight and handling,,,,,,,,,,,
checkpoint,"Check tag number is in accordance with Electrical Equipment List, Document No. and nameplate details correct.",,,,,,,,,,,
checkpoint,"Ensure there is no visible damage to the equipment and all meters, LED indicators, switches and fittings are in good order.",,,,,,,,,,,
checkpoint,Confirm main isolator operates with associated switches and auxiliaries,,,,,,,,,,,
checkpoint,Confirm main isolator and sub circuit MCB’s fitted with padlock system.,,,,,,,,,,,
checkpoint,Check number of sub circuits as per design and specifications.,,,,,,,,,,,
checkpoint,Check equipment panel external and internal earthing connections are securely fitted and properly terminated on the cabinet protective earth bar.,,,,,,,,,,,
checkpoint,Check internal cables properly terminated and labelled,,,,,,,,,,,
checkpoint,"DB properly labelled, sub circuit MCB correct rating and application",,,,,,,,,,,
checkpoint,Check sealing of all cable penetration (where applicable).,,,,,,,,,,,
checkpoint,"Active, Neutral and Earth bar properly identified and labelled, confirm load balance / phase to phase and phase to neutral",,,,,,,,,,,
checkpoint,"DB legend card correct and updated, As-built drawings complete",,,,,,,,,,,
checkpoint,Confirm panel is readily accessible for inspection and maintenance.,,,,,,,,,,,
section,Insulation resistance,,,,,,,,,,,
checkpoint,Equipment details,,,,,,,,,,,
textbox,Test equipment make:,,,,,,,,,,,
textbox,Calibration date:,,,,,,,,,,,
textbox,Serial no.,,,,,,,,,,,
checkpoint,RWB / Earth,,,,,,,,,,,
textbox,Voltage,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Resistance,,,Megaohm,,,,,,,,
checkpoint,R/W,,,,,,,,,,,
textbox,Voltage,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Resistance,,,Megaohm,,,,,,,,
checkpoint,R/B,,,,,,,,,,,
textbox,Voltage,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Resistance,,,Megaohm,,,,,,,,
checkpoint,W/B,,,,,,,,,,,
textbox,Voltage,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Resistance,,,Megaohm,,,,,,,,
checkpoint,RWB / Neutral,,,,,,,,,,,
textbox,Voltage,,,,,,,,,,,
textbox,Duration,,,,,,,,,,,
textbox,Resistance,,,Megaohm,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-I-21A Entec - Instrument Cables,,,,,,,,,,,
checkpoint,Check for correct Tagging of Cable in both ends. Cable Type matches Cable Schedule.,,,,,,,,,,,
checkpoint,Dressing / Clearing Check of Internal Connection Parts,,,,,,,,,,,
checkpoint,Cable Mechanically protected,,,,,,,,,,,
checkpoint,Cable correctly terminated and labelled,,,,,,,,,,,
checkpoint,"Continuity Check. (Test each conductor, inc shield)",,,,,,,,,,,
checkpoint,Glanding / Locknuts correct,,,,,,,,,,,
checkpoint,Bending radius satisfactory,,,,,,,,,,,
checkpoint,Earthing in accordance with specification,,,,,,,,,,,
checkpoint,Screen correctly made off,,,,,,,,,,,
checkpoint,Confirm spare cores and Shields are terminated and conform to drawings and spec.,,,,,,,,,,,
checkpoint,Insulation resistance ,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-35A Entec - Distribution Board,,,,,,,,,,,
checkpoint,Check Equipment and Nameplate details are correct and in accordance with the data sheet and Equipment Schedule.,,,,,,,,,,,
checkpoint,Check holding down / mounting arrangement correct.,,,,,,,,,,,
checkpoint,Check for mechanical damage,,,,,,,,,,,
checkpoint,"Check all internal cabling and wiring correct, including identification.",,,,,,,,,,,
checkpoint,"Check that Board is correctly earthed. Check Panel, Frame, Gland plate, Gland, Escutcheon plate.",,,,,,,,,,,
textbox,Test and confirm the earth resistance between Board and local earth system is less than 1.0 Ohm,,,Ohm,,,,,,,,
checkpoint,Check tightness of circuit connections.,,,,,,,,,,,
checkpoint,Check bus bars and connecting links tight.,,,,,,,,,,,
checkpoint,Phase identification correct;,,,,,,,,,,,
checkpoint,Check internals for cleanliness.,,,,,,,,,,,
checkpoint,Check incoming cables are correctly terminated.,,,,,,,,,,,
checkpoint,Check all unused entries are sealed correctly.,,,,,,,,,,,
checkpoint,Check insulation resistance.,,,,,,,,,,,
textbox,Phase to Phase and Phase to Earth (Test voltage: 1000 V. Record Temp.),,,Celsius,,,,,,,,
textbox,L1 – L2,,,Megaohm,,,,,,,,
textbox,L1– L3,,,Megaohm,,,,,,,,
textbox,L2 – L3,,,Megaohm,,,,,,,,
textbox,L1 – N,,,Megaohm,,,,,,,,
textbox,L2 – N,,,Megaohm,,,,,,,,
textbox,L3 – N,,,Megaohm,,,,,,,,
textbox,L1 – Earth,,,Megaohm,,,,,,,,
textbox,L2 – Earth,,,Megaohm,,,,,,,,
textbox,L3 – Earth,,,Megaohm,,,,,,,,
checkpoint,Check fuses / breakers correct size per drawings.,,,,,,,,,,,
checkpoint,"Check glanding correct.(Type, size, installation)",,,,,,,,,,,
checkpoint,Heaters correctly installed.,,,,,,,,,,,
textbox,Measure and record insulation resistance.,,,Megaohm,,,,,,,,
checkpoint,Check all MCB's can be locked in the open position.,,,,,,,,,,,
checkpoint,"Ensure correct labelling to site standard-Circuits, board, cables, equipment",,,,,,,,,,,
checkpoint,Confirm Legend is “As Built”,,,,,,,,,,,
checkpoint,Check Different Voltage Segregation correct,,,,,,,,,,,
checkpoint,Check enclosure IP rating is suitable for location,,,,,,,,,,,
checkpoint,Check Door cable looms-cables are mechanically protected & multi stranded flexible.,,,,,,,,,,,
checkpoint,Check correct rated RCDs fitted for Light & Power circuits,,,,,,,,,,,
checkpoint,Check main switch operates in all active conductors-3/4 pole,,,,,,,,,,,
Checkpoint,Prospective Fault current (PFC),,,,,,,,,,,
checkpoint,Earthloop impendance on mains cable (ohms),,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-43A Entec - Small power circuits,,,,,,,,,,,
checkpoint,"Power circuit installed, hooked up & identified according to design drawings.",,,,,,,,,,,
checkpoint,Fixtures properly supported and accessible for maintenance.,,,,,,,,,,,
checkpoint,Check entire circuit for mechanical damage.,,,,,,,,,,,
checkpoint,Check correct type of fixture installed (Ex rating & IP rating).,,,,,,,,,,,
checkpoint,Cable terminations at junction boxes and fixtures.,,,,,,,,,,,
checkpoint,All spare entries blanked off correctly.,,,,,,,,,,,
checkpoint,"Check Cables For Voltage Segregation Ensure clearance, labelling, colour coding is to standard",,,,,,,,,,,
checkpoint,Check insulation resistance for phase to earth and neutral.,,,,,,,,,,,
textbox,Test with 500 Volt Megger tester. Record current temperature.,,,Celsius,,,,,,,,
textbox,Phase – Earth,,,Megaohm,,,,,,,,
textbox,Phase – Neutral,,,Megaohm,,,,,,,,
textbox,Neutral – Earth,,,Megaohm,,,,,,,,
checkpoint,Check circuit is correctly earthed.,,,,,,,,,,,
textbox,Test and confirm the earth resistance for the circuit is less than 1.0 Ohm,,,Ohm,,,,,,,,
checkpoint,Confirm welding outlets cannot be energized whilst plug is removed.,,,,,,,,,,,
checkpoint,Check correct rating of protection device against design drawings.,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-49A Entec - Electrical Switch Room,,,,,,,,,,,
checkpoint,Substation Construction Finished,,,,,,,,,,,
checkpoint,"All Floor, Wall & Ceiling Penetrations Sealed",,,,,,,,,,,
checkpoint,"Danger, Warning & Resuscitation Signs Installed",,,,,,,,,,,
checkpoint,All Equipment Installed,,,,,,,,,,,
checkpoint,Lighting & General Power Installation Completed,,,,,,,,,,,
checkpoint,All Earth Busbars Installed Satisfactorily & Connections Tight,,,,,,,,,,,
checkpoint,All Telecommunication Equipment Is Installed & Operational,,,,,,,,,,,
checkpoint,Smoke / Heat Detectors Installed (Including Vesda / Alarm Panel),,,,,,,,,,,
checkpoint,Substation Fire Alarm Panel Installed,,,,,,,,,,,
checkpoint,HVAC Equipment Installed & Operational,,,,,,,,,,,
checkpoint,Illuminated Exit Signs Installed & Operational,,,,,,,,,,,
checkpoint,Hand-Held Fire Extinguishers Installed With Correct Type Available,,,,,,,,,,,
checkpoint,All doors and locks operational (including emergency),,,,,,,,,,,
checkpoint,All keys available and handed to Commissioning E&I Superintendent,,,,,,,,,,,
checkpoint,"All safety equipment supplied – rubber mats, voltage sticks etc",,,,,,,,,,,
checkpoint,Single line diagram detailing main power is fitted to wall,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-51A Entec - Cable tray and transits,,,,,,,,,,,
checkpoint,Verify cable tray installed as per drawings.,,,,,,,,,,,
checkpoint,Verify cable tray correctly fixed to structure with adequate support.,,,,,,,,,,,
checkpoint,Rack covers fitted where required.,,,,,,,,,,,
checkpoint,All bend radiuses correct.,,,,,,,,,,,
checkpoint,Cable tray has no sharp projections or edges.,,,,,,,,,,,
checkpoint,Cable tray sections adequately secured to each other.,,,,,,,,,,,
checkpoint,"Earth continuity bonding strap secure and greased on hinged, flexible and split sections.",,,,,,,,,,,
checkpoint,Tray identification stencilled on each side of each section.,,,,,,,,,,,
checkpoint,Protective kick plates installed.,,,,,,,,,,,
checkpoint,Cables mechanically protected where applicable.,,,,,,,,,,,
checkpoint,Tray bonded to structure at correct locations.,,,,,,,,,,,
checkpoint,Carry out ductor test and record result.,,,,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Expansion guides fitted as required.,,,,,,,,,,,
checkpoint,Cut edges made good and protected as per specification.,,,,,,,,,,,
checkpoint,Transit frame installed as per drawings.,,,,,,,,,,,
checkpoint,Transit frame identification marked correctly and visible.,,,,,,,,,,,
checkpoint,Frame correctly packed with correct sized blocks and infills.,,,,,,,,,,,
checkpoint,Correct stay plates fitted (non-ferrous for single core power cables).,,,,,,,,,,,
checkpoint,Rated insulation installed to transit (where required).,,,,,,,,,,,
checkpoint,Cables entering and leaving transits adequately supported and protected.,,,,,,,,,,,
checkpoint,Cables pass through frames without strain on blocks.,,,,,,,,,,,
checkpoint,All cables identified on both sides of transit and visible.,,,,,,,,,,,
,,,,,,,,,,,,
checklist,ITR-E-53A Entec - Electrical Earthing,,,,,,,,,,,
section,General,,,,,,,,,,,
checkpoint,Confirm earth grid layout.,,,,,,,,,,,
checkpoint,Record number or earth electrodes.,,,,,,,,,,,
checkpoint,Record number of grid interconnections and number of equipment/structure connections and ensure that layout is in accordance with design drawings.,,,,,,,,,,,
checkpoint,Ensure that all metal work is earthed as required.,,,,,,,,,,,
checkpoint,Check welding of earth bosses and associated surface finish.,,,,,,,,,,,
checkpoint,"Ensure that earth cables/conductors have adequate mechanical protection i.e. conduits, kick-plates etc at points of high exposure.",,,,,,,,,,,
checkpoint,Ensure that brazing or welding of all joints has been completed correctly.,,,,,,,,,,,
checkpoint,"Ensure that adequate corrosion and weather protection has been installed around all connections, joints, lugs, cad (thermal) welds and earth bosses",,,,,,,,,,,
checkpoint,"Ensure that earth electrodes are located within a protected, covered and identified surround.",,,,,,,,,,,
checkpoint,All earth bosses and studs tight and fitted with shake proof washers and coated with protective coating.,,,,,,,,,,,
section,Earthing Conductors,,,,,,,,,,,
checkpoint,Ensure that earthing conductor size is correct in accordance with approved installation drawings.,,,,,,,,,,,
checkpoint,Check cable terminations/joints to ensure that all lugs/barrels have been crimped correctly.,,,,,,,,,,,
checkpoint,Check all points of connection ensure contacts clean and greased.,,,,,,,,,,,
checkpoint,Check termination and ensure that correct flat and spring washers are in place.,,,,,,,,,,,
checkpoint,Check terminations to ensure that all connections are correct and tight.,,,,,,,,,,,
checkpoint,Check that all bi-metal connections have been performed correctly to manufacturer’s requirements.,,,,,,,,,,,
checkpoint,Ensure that the earth cables to the main earth electrodes are terminated at each end of the main earth bar.,,,,,,,,,,,
checkpoint,Ensure that earth cable identification markings are in place.,,,,,,,,,,,
checkpoint,Ensure that earth connections are not multi-coiled or ‘pig-tailed’ but are terminated as straight as possible.,,,,,,,,,,,
section,Earth Bar Installation,,,,,,,,,,,
checkpoint,Check for correct assembly of equipment.,,,,,,,,,,,
checkpoint,Check fixings and mounting points conform to project specification and are secure.,,,,,,,,,,,
checkpoint,Check for equipment levels and alignment.,,,,,,,,,,,
checkpoint,"Using an Earth Resistance tester, measure earth resistance between auxiliary earth points (electrodes) or main earth bars & the earth body.",,,,,,,,,,,
checkpoint,Measure earth continuity from each earthing location and/or equipment earth frame to the nearest auxiliary earth point (electrode) or main earth bar – (record resistances in following table).,,,,,,,,,,,
checkpoint,Drawings marked-up to ‘as built’ status,,,,,,,,,,,
section,Test Results,,,,,,,,,,,
checkpoint,Earth Resistivity Tests: From Main Earth Bar (Location) to Earth Body,,,,,,,,,,,
textbox,,,,Location,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Resistivity Tests: From Main Earth Bar (Location) to Earth Body,,,,,,,,,,,
textbox,,,,Location,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Resistivity Tests: From Main Earth Bar (Location) to Earth Body,,,,,,,,,,,
textbox,,,,Location,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Resistivity Tests: From Main Earth Bar (Location) to Earth Body,,,,,,,,,,,
textbox,,,,Location,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
checkpoint,Earth Continuity Tests: From - Main Earth Bar (Location) to Earth Electrode (number/description),,,,,,,,,,,
textbox,,,,Location & #,,,,,,,,
textbox,Result:,,,Ohm,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-I-25A Entec - Instrument Installation,,,,,,,,,,,
checkpoint,"Check Instrument is labelled, nameplate details are correct in accordance with the instrument index/ datasheet.",,,,,,,,,,,
checkpoint,Instrument is suitably rated for area.,,,,,,,,,,,
checkpoint,Ingress protection is suitable for area.,,,,,,,,,,,
checkpoint,"Instrument is undamaged, correctly mounted, orientation correct, elevation correct and free from vibration.",,,,,,,,,,,
checkpoint,Instrument is accessible for maintenance and clear of obstruction and debris.,,,,,,,,,,,
checkpoint,Vent lines are directed into a safe area.,,,,,,,,,,,
checkpoint,"Cable/s glanded and installed correctly, IP washers fitted, cable label installed.",,,,,,,,,,,
checkpoint,"Impulse, hydraulic, pneumatics, lines, air headers, correctly installed and supported.",,,,,,,,,,,
checkpoint,In-line equipment installed and supported correctly.,,,,,,,,,,,
checkpoint,"Spare entries plugged correctly, using certified plug.",,,,,,,,,,,
checkpoint,Instrument earthed in accordance with project specification.,,,,,,,,,,,
checkpoint,Aspirator tubes and test gas tubes are installed and supported correctly.,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-22A Entec - Low Voltage Cable,,,,,,,,,,,
checkpoint,"Verify cable type, size, colour code and tags are in accordance with the Cable Schedule.",,,,,,,,,,,
checkpoint,Check dressing / cleating.,,,,,,,,,,,
checkpoint,Check cable for damage.,,,,,,,,,,,
checkpoint,Check cable cores correctly identified and labelled.,,,,,,,,,,,
checkpoint,Cable terminated with correct lugs and crimped with the correct die.,,,,,,,,,,,
checkpoint,Check that cable phasing is correct and point to point each core for continuity.,,,,,,,,,,,
