"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e11f1a67-64cc-4a65-b8fb-4b2d9a468816","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard"
"7395dde4-86c7-4809-87a8-d7fd1d60f00f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor"
"11890ad3-eaf0-4753-a401-f35574837c2f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas"
"b9bac451-1926-4b9a-a426-659e6c5d0c2e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)"
"b9c0cb4c-977d-490f-ad45-74f28d4ca78e","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Lounge (G-C-04)","Terminated & Tested"
"6391f3e7-ba47-43ca-a5ad-6373a5409d00","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Lounge (G-C-04)","Fit off"
"b38dd8df-306c-4c16-a649-9ce5b09bccdc","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Dining Room (G-C-05)"
"6be49bd2-9b35-4288-9a5a-8204bb305a05","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Dining Room (G-C-05)","Pre Wire"
"854f5573-d616-4714-a469-f2e82b046ab7","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Dining Room (G-C-05)","Terminated & Tested"
"6fc14a77-715d-4861-963e-322a5a5741e1","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Dining Room (G-C-05)","Fit off"
"f96c5a13-87cc-421e-85a6-978b35cebc46","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","WC (G-C-08)"
"ed3efcf0-41c5-44c5-989c-735c26eeeae9","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","WC (G-C-08)","Pre Wire"
"33531c01-a518-4cdd-803c-042115e7a89c","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","WC (G-C-08)","Terminated & Tested"
"b46cac5e-b451-41cc-8b14-1ac55ed0cafb","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","WC (G-C-08)","Fit off"
"95ffc59f-7a7b-4020-b1ed-88dbac4d1a34","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Acc. WC (G-C-07)"
"ea310e99-cf13-40f9-ac52-8de948c13781","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Acc. WC (G-C-07)","Pre Wire"
"2823ac9c-dcec-4fde-b693-df83ecc79304","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Acc. WC (G-C-07)","Terminated & Tested"
"40f1eacb-3056-4265-abcb-a0e7fd37500f","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Acc. WC (G-C-07)","Fit off"
"b33f06a8-0434-4064-9d36-5cc9c65e41aa","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas"
"835ab442-978f-4e60-9475-d9012c6ac027","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A1-01)"
"2196f348-e6ea-46d4-9619-0f183c03fbba","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A1-01)","Pre Wire"
"f6be611d-246a-4e96-b9fa-3f5737b0b5e7","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A1-01)","Terminated & Tested"
"7be91eed-b4b3-470c-9a64-b876591b49b8","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A1-01)","Fit off"
"33314f56-05c2-4acd-98d9-b2ba06e27d13","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A1-02)"
"0524776a-c0e8-4dc0-8d50-879376bc57d4","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A1-02)","Pre Wire"
"f635f81d-939b-4c46-9d28-cd1bdfbd8492","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A1-02)","Terminated & Tested"
"6ff146b7-4d1c-4989-8bf4-c648536f3cb3","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A1-02)","Fit off"
"db4dbf9b-040f-46cb-934e-f8e8985a7ced","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A1-02)"
"2132a0c3-fef5-4bbd-aa14-38eec9af89f6","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A1-02)","Pre Wire"
"3fd20bfe-cb25-4c8f-8e08-1d924ef3a12f","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A1-02)","Terminated & Tested"
"cf68c79e-de93-495b-a006-e09ceb4a0241","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A1-02)","Fit off"
"ccfc068f-6b05-459a-a941-e0a25df6fa86","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A2-01)"
"37a2ada2-8cfc-448f-b66c-b9212479315e","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A2-01)","Pre Wire"
"5ea355b6-2c6b-4169-a625-c7cb199d6ffc","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A2-01)","Terminated & Tested"
"cb344867-11ef-471b-85a6-4d872bb236ab","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A2-01)","Fit off"
"128270b5-c847-4148-b417-b6d438e7f05c","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A2-02)"
"6a499f5a-2c98-4cdc-bd67-be4768c456a0","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A2-02)","Pre Wire"
"4a2912b1-01ba-43ce-8f9b-d205a5562399","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A2-02)","Terminated & Tested"
"9a26f4f3-4e5c-4800-b148-82675f41200e","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A2-02)","Fit off"
"b6413160-a50f-4c25-ba5c-4a87b0da3600","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A2-02)"
"d314e3c8-a472-4177-a9e6-d19121542c2a","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A2-02)","Pre Wire"
"2585e6e3-ca99-4fc8-8331-1a0ca5ffd20f","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A2-02)","Terminated & Tested"
"e61b6463-9043-4a15-a92e-40170819216a","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A2-02)","Fit off"
"72275748-f3b2-4592-b94a-f1c7e14715e8","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A3-01)"
"5701da66-f31f-4329-92f7-f0384a9d4327","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A3-01)","Pre Wire"
"03b4c3a4-b309-47d1-8eea-daf4172e38e6","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A3-01)","Terminated & Tested"
"f22ab688-c313-4000-bb81-b9a325999a3c","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A3-01)","Fit off"
"faa26ba1-956a-435c-931b-020a07641c0d","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A3-02)"
"dec57e8e-c491-4100-8eec-d6929fa5664d","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A3-02)","Pre Wire"
"efff525c-9af4-4642-9fbb-f039eb135d7a","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A3-02)","Terminated & Tested"
"985c1d7b-7668-4f4b-bb83-d0b3a8a2ef5b","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A3-02)","Fit off"
"52d0eaaa-8ffe-456e-bb19-7e4c48b8284b","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A3-02)"
"4b232964-07fe-4d92-be97-134a2de1d8b5","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A3-02)","Pre Wire"
"c79d639f-9501-4739-9c2b-d55a1e5620fa","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A3-02)","Terminated & Tested"
"0c1cbba3-bf77-4b3b-83c2-c1470c1a9e12","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A3-02)","Fit off"
"d3d8c0b4-5116-40d9-a2d0-1537a1ba0e58","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A4-01)"
"d62ccf0d-717a-4f7e-810a-f9a8f58ab104","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A4-01)","Pre Wire"
"b7ee2a21-3310-4d5b-b898-150f5faa380c","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A4-01)","Terminated & Tested"
"87cab12b-c78a-410b-9bbb-ffea0a2149bc","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Bedroom (G-A4-01)","Fit off"
"833a7f96-912c-464f-bb8c-4b0df80489e2","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A4-02)"
"82f8cf14-bc99-45e9-9e8a-11d6451453a9","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A4-02)","Pre Wire"
"c764a7bd-e816-43af-b0e9-1bc2a87f31a7","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A4-02)","Terminated & Tested"
"cc33b762-4074-4888-9809-e5d6e6f39e42","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Toilet Ensuite (G-A4-02)","Fit off"
"1cc9a9c9-1dcf-4703-b5f7-9b58d2195206","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A4-02)"
"99b29d28-0beb-4513-be78-2b44098575af","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A4-02)","Pre Wire"
"8ac5f1b7-fb25-49a1-a606-e0bc43263bd9","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A4-02)","Terminated & Tested"
"54ab6691-5aaa-4f17-93df-63ec8abc289f","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Residential Areas","Shower Ensuite (G-A4-02)","Fit off"
"39ee25a6-3d20-4c72-b1eb-8e26622b2fad","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Repeaters"
"ac4da566-b523-4b11-9ff8-61ca4f56d8e9","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor (G-C-02)"
"d9ceb080-4b7c-4147-b8f8-3d20a1254386","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor (G-C-02)","Pre Wire"
"24bf973e-5827-47ba-85e3-78fad9a74f7b","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor (G-C-02)","Terminated & Tested"
"7cd025db-a8d6-4dad-b1ba-6a0dc9f49ec5","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor (G-C-02)","Fit off"
"88f2c9fc-91ff-4fe2-aa0a-f799bbd3db58","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor outside Lounge/Lobby"
"b17c554a-3d23-4c46-9a41-b26532ac15d0","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor outside Lounge/Lobby","Pre Wire"
"05133a31-0b52-4b8e-9082-5da10260842b","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor outside Lounge/Lobby","Terminated & Tested"
"50dd7c54-4e1d-46c3-8fd3-de110c683190","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Repeaters","Corridor outside Lounge/Lobby","Fit off"
"f5a1b32b-4304-4654-b0bd-eceb38b95333","","checklist-flat","","Comms Room Commissioning","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Comms Room"
"5e6dd1c6-e719-445c-9f03-9526c865fe2e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras"
"e1ebcbf7-36ad-47db-8746-a3090c0d3e83","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor"
"007cadf6-72bb-4600-b02d-faf84e554efa","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Ramp joining existing building"
"d587ef7b-d5cc-4528-9775-3f177f3df2ca","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Ramp joining existing building","Pre Wire"
"6dd11269-3ce2-4aa6-b2e7-1e9b63f43296","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Ramp joining existing building","Terminated & Tested"
"efa28206-057b-43f3-9a64-23acebb996a0","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Ramp joining existing building","Fit off"
"48914967-5297-4bc7-a607-39976c833367","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Stairs (G-ST-02)"
"78c01d06-98e1-4ecc-a220-a27d2dd27b8d","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Stairs (G-ST-02)","Pre Wire"
"73f5a4df-27d5-4c0d-a681-cc6c86bb0d64","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Stairs (G-ST-02)","Terminated & Tested"
"39a2cdf3-6825-4250-8c67-df11bc5848e2","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Stairs (G-ST-02)","Fit off"
"4e354319-4416-49e0-a2fb-2acedf30ec48","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Family Room (G-C-03)"
"60b1c854-7a10-4b99-9cfa-08e4bc28581a","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Family Room (G-C-03)","Pre Wire"
"307d35f6-ab31-47ac-839c-befa5a55f5cb","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Family Room (G-C-03)","Terminated & Tested"
"be5fa225-deb9-4712-9432-288adb23c887","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Family Room (G-C-03)","Fit off"
"3f42b2f1-48a3-4213-8921-eb39b1c8cca8","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Entry (G-C-01)"
"94e08f96-0ca1-40f6-8113-eea31829e9c2","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Entry (G-C-01)","Pre Wire"
"5b77d31a-c0fd-4364-a5d6-04c1c970cd30","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Entry (G-C-01)","Terminated & Tested"
"09dbe360-1839-4a2b-9f53-e4d2bd9366b5","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Entry (G-C-01)","Fit off"
"52df200d-0e47-4c1b-bd6c-8dc17dc79795","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Lounge (G-C-04)"
"7d2c75f1-1b10-4abc-8830-05c849597a64","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Lounge (G-C-04)","Pre Wire"
"3c37569f-f7f7-410f-a6d2-ef09df346c99","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Lounge (G-C-04)","Terminated & Tested"
"8334c5af-d4e0-44ae-b679-ee90ea1476e7","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Lounge (G-C-04)","Fit off"
"427c40c1-9f0b-4fc9-ac18-6bff051bc3c7","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Dining Room (G-C-05)"
"a3ae7c3c-eb36-4425-b20e-0f64f2b6c1c2","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Dining Room (G-C-05)","Pre Wire"
"0f4200da-df68-408a-8171-4c7a9ce5f27e","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Dining Room (G-C-05)","Terminated & Tested"
"9e4bd2e8-fa4a-4f09-a8d4-6bba5b7577a5","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Dining Room (G-C-05)","Fit off"
"914d2b5a-2a3d-4b02-a91e-51408ba5943f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - Dining Room (G-C-05)"
"9fd278a3-996e-4a14-bb08-60a32370f614","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - Dining Room (G-C-05)","Pre Wire"
"6aeb5078-467a-4a7d-9c6c-d6aa92c30d26","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - Dining Room (G-C-05)","Terminated & Tested"
"89f68c97-7112-4ab7-ab19-5f0500d71c54","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - Dining Room (G-C-05)","Fit off"
"7c09f2a0-56a1-4e99-98a2-762755726325","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - DCW Pump (G-S-18)"
"e3998a59-0a83-49ac-bf49-eeca85a63301","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - DCW Pump (G-S-18)","Pre Wire"
"73d38b65-d301-488f-a5bd-ae129b12e7cb","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - DCW Pump (G-S-18)","Terminated & Tested"
