"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"db9f18d4-e166-4b96-9c21-31ecaa9f3346","","folder-normal","not-started","","step","TRUE","FALSE","Basement"
"ace0b55a-601b-4272-905f-a9d3af3355a3","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas"
"6e1e830e-d65c-445f-af8b-fac36db09b36","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Stair 5 - Lobby"
"e7431c09-0293-4a31-a81a-44bc624f3d62","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Stair 5 - Lobby","Apartment Rough In Checklist"
"31a143bd-3631-5c95-9f91-f7b56a65149f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","All install work 100% completed to required specifications"
"7302ecfd-093d-57ee-810f-448a5cad9c0b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Area left clean and tidy (attach photo)"
"aa70c39c-fd3a-4b93-97b6-446751491ed3","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","Stair 5 - Lobby","Fit Off"
"12710ae0-2e9e-534f-b4f8-cadfcdf3e882","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Installation of door hardware and door closes sufficiently"
"123de3e3-c2d1-5277-b78d-73300be98cf7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Bathroom and toilet vanity installed"
"7a81b417-cd4d-5d6f-8a47-4ca02534ea80","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Handrails, toilet rolls and towel rails installed"
"79d466cf-4875-52fd-996d-950cd95fd2e6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Entry door hardware installed and closes sufficiently"
"229e4b86-74e9-5aa5-964c-4979d4a90fb3","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Fire tags installed on the door and door jamb"
"a07c6fb3-4af0-51d2-b4d6-74b743fc3f1b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Shower trays installed"
"814c0d07-85c9-520b-bedf-f8dfb5e0f392","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","Area left clean and tidy (attach photo)"
"ad8d3968-68a0-52ed-8cde-778174ed67e2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Fit Off","All work 100% completed to required specifications"
"70426b06-ff32-46d7-beae-c2102fc80b91","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Sprinkler Room"
"879e6ee9-58e6-4060-8362-dd8c377f15e9","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Sprinkler Room","Apartment Rough In Checklist"
"18ab3ec6-2206-5fd6-b736-16ebeabea879","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"a2b89366-486f-582b-b08b-926e665aa766","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"351d0720-cd4d-5949-ac42-6a008ce5aae3","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Apartment Rough In Checklist","Cavity pockets installed"
"6e1bf3ec-580a-492c-a37a-0f84ea85dc2e","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","Sprinkler Room","Installation"
"8a47127f-1e0e-50d9-b005-906994747ab8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Internal doors hung"
"948cf05b-7030-5615-9912-73a555e48631","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Skirting installed"
"d6e42ab0-fd0b-538d-9320-3fd63d84e48c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Cavity doors installed"
"0dd471a9-fe43-5263-b571-378e473c4b0a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Window architraves installed"
"92846251-d93a-5999-84f0-3dc4278d8719","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Wardrobe jamb installed"
"e1e2d583-3f86-567b-922c-5638360c073d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Entry door hung"
"258e324e-c453-5007-86e7-baf8a5a0d1e8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","All install work 100% completed to required specifications"
"9a0c6086-1df7-53e8-a91e-a26274d830e6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Installation","Area left clean and tidy (attach photo)"
"70ef4683-217a-46ff-b7d2-2a0cb457eafb","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","Sprinkler Room","Fit Off"
"0e8684de-c2b4-5b07-acb6-76833bec563b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Installation of door hardware and door closes sufficiently"
"1ca0d65c-e222-5cb2-bda2-a7035f9f08df","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Bathroom and toilet vanity installed"
"0b5e2def-fb7e-5c3f-b107-f136af60e5fd","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Handrails, toilet rolls and towel rails installed"
"f84e9dc3-1a5b-51e6-8cc6-b805ed9ba2ec","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Entry door hardware installed and closes sufficiently"
"b8d6e655-65d4-5036-84be-a41856f40fb2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Fire tags installed on the door and door jamb"
"7afbd521-619d-54f7-b5b6-42c5c625d024","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Shower trays installed"
"706b2162-7c9d-5cc0-a8bd-d20cee84ab06","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","Area left clean and tidy (attach photo)"
"a8aa70a1-65e5-5f21-b697-01d09abee9b0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Sprinkler Room","Fit Off","All work 100% completed to required specifications"
"35c0372f-b78d-418c-9e83-aca919cf4447","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Maintenance Room"
"86b6dcf0-ff4d-406c-94a7-40059a01136f","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Maintenance Room","Apartment Rough In Checklist"
"0f51b928-6428-59a3-8c1f-e0d3c300be5d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"168b397b-f065-535e-858b-9f641eb3b9f4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"252c5773-e8e9-5a62-af29-fc0c15a96fda","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Apartment Rough In Checklist","Cavity pockets installed"
"185cbe72-68ab-4310-a56d-44bcf4eaeaaf","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","Maintenance Room","Installation"
"91c0525d-d60f-5a1a-bc36-f74ef7bece4f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Internal doors hung"
"9e93f6de-ae1a-5467-b53a-0b17470cf825","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Skirting installed"
"e62a3710-f6d6-5046-a9a6-bd0c6b1c55aa","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Cavity doors installed"
"54e63e4b-5384-5b49-b6cf-1f2fe7dcd457","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Window architraves installed"
"157e8a30-0b65-56c8-ab71-8adc428d6158","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Wardrobe jamb installed"
"c59bee7f-1414-56fb-ae27-5eab36125174","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Entry door hung"
"ec55e84a-c84e-5096-806e-6ca57f08b7ba","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","All install work 100% completed to required specifications"
"30161b7e-42f3-5333-b666-03a496e55baf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Installation","Area left clean and tidy (attach photo)"
"1998fa12-ef0c-4804-9e23-6bbcbe854ff2","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","Maintenance Room","Fit Off"
"1ebadb3a-e03f-5ae1-9122-c60a3aff7fdf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Installation of door hardware and door closes sufficiently"
"32795092-a533-5367-bf27-b13cd2b84e05","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Bathroom and toilet vanity installed"
"0d4cf3f3-17d2-57cc-af9c-7a6918ebdf6d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Handrails, toilet rolls and towel rails installed"
"bbcb9a23-441c-5add-a599-e6f8a43110a5","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Entry door hardware installed and closes sufficiently"
"22acdb8e-73a0-528c-bc4e-5a64fae79e9e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Fire tags installed on the door and door jamb"
"97dd5a15-7955-5ecf-b2d0-ec1604c3ddc6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Shower trays installed"
"5cc6890a-3a06-5845-b15c-600880c62901","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","Area left clean and tidy (attach photo)"
"80247b57-3944-59b5-bd07-ec975475a837","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Maintenance Room","Fit Off","All work 100% completed to required specifications"
"c2d149e9-a96b-4fe2-95cc-0c6f543afe81","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Tank Room"
"a848e950-d4a9-4329-9af6-dd7048e88d16","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Tank Room","Apartment Rough In Checklist"
"bf2d5ffa-fb8a-50be-9a8d-da1f3b834cff","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"b37f9699-c6d4-5489-8d7c-4ffdad44162d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"c2048705-24f6-5796-b600-f93e4256fed1","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Apartment Rough In Checklist","Cavity pockets installed"
"40a9bb31-b866-476a-96df-b68f978ac518","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","Tank Room","Installation"
"e9eaa37f-5b4c-5543-aa53-9a44327f9ae0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Internal doors hung"
"8d086ab6-3fb8-58a0-af09-0edd6cadd7f7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Skirting installed"
"73fd7254-522f-5efd-bd09-2d085f33e686","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Cavity doors installed"
"e7bb0441-7069-509c-a5f2-a52eeac8ca4f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Window architraves installed"
"0c8951bb-3511-5d41-97e2-a74de0137106","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Wardrobe jamb installed"
"fcc1e1e3-0889-5bf4-92ac-52c01e94060f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Entry door hung"
"3ba887b4-b387-5a5f-aa54-d8f0ec411464","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","All install work 100% completed to required specifications"
"f465467c-140d-52b0-9a4a-a566c42dde2d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Installation","Area left clean and tidy (attach photo)"
"1e2103cd-b74a-49a1-9db5-fe78291d1b2f","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","Tank Room","Fit Off"
"ff72532f-f870-5d4e-96d6-18f3bd4e7233","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Installation of door hardware and door closes sufficiently"
"6f903b94-960c-583f-9887-ef8a14b8783c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Bathroom and toilet vanity installed"
"2e19b9b4-5000-5def-bf48-8d6b8034002d","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Handrails, toilet rolls and towel rails installed"
"fe5827a1-1433-5b11-a6f0-3ead467a5212","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Entry door hardware installed and closes sufficiently"
"af7e9811-1daf-5438-b177-53e900652449","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Fire tags installed on the door and door jamb"
"86a5103c-0453-5b38-ba98-42ed536cf51c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Shower trays installed"
"05b46874-93db-5675-961d-aa07e3e411b0","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","Area left clean and tidy (attach photo)"
"badb08b6-da8e-5f53-8442-81eecdffdcf8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Tank Room","Fit Off","All work 100% completed to required specifications"
"437e0135-4a62-4d92-afe5-45f98a8d8a0a","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Fire Pump Room"
"abc9c82a-653b-4c4d-abdc-839ed09b7bb0","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Fire Pump Room","Apartment Rough In Checklist"
"fff0edcd-62cb-52e8-9f44-bbf3a033c621","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"64cb9666-10a3-5555-b07d-3a3c97515245","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"76c205c3-5771-547c-b009-54c68cdf1dd8","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Apartment Rough In Checklist","Cavity pockets installed"
"d97eef74-0161-4f1b-8809-e83f87feb979","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","Fire Pump Room","Installation"
"26860dd2-2adb-5faf-a29e-b33ebf7f21d1","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Internal doors hung"
"17a769d6-5976-519f-983d-0817dfae69a6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Skirting installed"
"6a208f8c-c748-5940-a66d-03b6953a8e79","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Cavity doors installed"
"b6102369-88b9-5a5c-9bf4-3d85e996c901","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Window architraves installed"
"eb9e3c54-6b03-5f40-b2c4-c9e151241ff1","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Wardrobe jamb installed"
"609503b0-e314-5b74-9791-f062c98b35e3","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Entry door hung"
"87b7facb-94fa-5f3c-b8a2-5a4df79b6a1a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","All install work 100% completed to required specifications"
"c6373f23-34c6-567c-91e2-7594b33e4ff6","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Installation","Area left clean and tidy (attach photo)"
"9b7cc336-0193-4b5c-a174-f9ad090cf590","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","Fire Pump Room","Fit Off"
"8b393f51-7b1d-5c2c-8369-eee484f6f801","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Installation of door hardware and door closes sufficiently"
"0fa8ce21-fc04-59f2-8253-48ca408b48b7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Bathroom and toilet vanity installed"
"fbaa9ffa-9fb3-556d-b20b-2bd3a31068bf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Handrails, toilet rolls and towel rails installed"
"0e524315-f67c-516b-b04b-d6feccf04ecb","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Entry door hardware installed and closes sufficiently"
"493c1494-7ce4-5722-b5fc-e05292907242","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Fire tags installed on the door and door jamb"
"fe6e26bf-af3f-5286-b3ab-c1605ccefde5","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Shower trays installed"
"769b5dad-206f-526a-84d1-a10582f27432","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","Area left clean and tidy (attach photo)"
"54b75932-8cef-59bb-962d-c352d94cc684","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Fire Pump Room","Fit Off","All work 100% completed to required specifications"
"b4582731-bf4a-4301-9ccd-8267d57e6348","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","NBN Cupboard"
"7bb84008-7b69-44ec-bfb4-d8250a7f227a","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","NBN Cupboard","Apartment Rough In Checklist"
"9b2e883a-b7cc-5783-9374-0a33e40876e4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"09ee5ba3-fba4-54f3-80a5-c3a0c3b94bee","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"56582e8c-5fbe-5c20-a644-0b82b91f62a1","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Apartment Rough In Checklist","Cavity pockets installed"
"01e3615d-9a56-4351-814b-1a712fddf258","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","NBN Cupboard","Installation"
"c46e21f2-0277-5c43-a390-0530d209bf3b","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Internal doors hung"
"33ff6cd8-4f84-59ee-aa15-a768e4502ea5","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Skirting installed"
"d017fd92-0917-5e7c-983a-06aeb430396a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Cavity doors installed"
"044796f2-cf77-5248-be1f-4c5fa455f2c3","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Window architraves installed"
"9b3529c0-e2b4-5a42-809b-8d24d65c4a86","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Wardrobe jamb installed"
"365f8c37-b6af-508b-bba5-2e76ae4245c2","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Entry door hung"
"e0d4c748-6931-597c-b085-59538f5c9cf3","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","All install work 100% completed to required specifications"
"dd041096-0247-5104-8d27-4c8c610675be","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Installation","Area left clean and tidy (attach photo)"
"17adee3b-90d6-4c77-b473-b6087be92e13","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","Basement","Common Areas","NBN Cupboard","Fit Off"
"85dad9ee-81b5-5262-b387-3313fed2cb32","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Installation of door hardware and door closes sufficiently"
"89a29151-a9eb-5700-ac5c-b91cc87a7677","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Bathroom and toilet vanity installed"
"6f01921d-5044-5419-a959-c4c3c7120e77","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Handrails, toilet rolls and towel rails installed"
"64a1e3b2-b672-55b0-89ac-c775a523cdb4","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Entry door hardware installed and closes sufficiently"
"e3eff373-d6fb-5765-9b4c-01c5c66e13fa","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Fire tags installed on the door and door jamb"
"4eb68c82-b20f-5898-a238-d48fe4f88697","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Shower trays installed"
"b5359296-a043-59ad-b12f-5a1206e92744","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","Area left clean and tidy (attach photo)"
"705afdb8-02c4-5a45-9ec0-d934ed3cc856","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","NBN Cupboard","Fit Off","All work 100% completed to required specifications"
"0f2cc181-3180-47e1-92fa-7bd5e95712b6","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","PABX"
"ee2dc7c3-ddc2-45ac-80d1-889c97736ff1","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","PABX","Apartment Rough In Checklist"
"a0d53d14-bfbd-55aa-9dea-356073b32bbf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"da079196-a6a5-5175-984d-c40862318601","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"346314a8-c8d6-56c7-974f-c5e521b52703","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Apartment Rough In Checklist","Cavity pockets installed"
"48a3c5ce-ae85-498c-b2e1-e09523f9c1dc","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","PABX","Installation"
"d0dcf19f-b0fa-5af0-8c80-6a9fd4ae7bbf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Installation","Internal doors hung"
"2a5a2424-1357-5066-865b-7186cbb5e054","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Installation","Skirting installed"
"646e12ad-796d-5bc5-a179-08d6dfc54e63","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","PABX","Installation","Cavity doors installed"
