"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b47e397-7b30-4f16-91ec-307e81a30678","","not-started","","folder","TRUE","FALSE","Site QA"
"2d9a8a2a-3999-450a-882a-c62f25f55ff4","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 1"
"42592b83-a99c-41b8-b0c6-a79259548556","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 9"
"8f190cd1-1737-4184-a11b-08a142d4851d","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 9","Internal Stormwater"
"533ed12b-fd96-4431-9ddd-22429099518f","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 9","Internal Drainage"
"293571ad-300d-44b5-8a8e-c4c9e2601139","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 9","Commissioning/Handover & Testing Checklist"
"9e93b219-afaf-4567-9a87-b1a31744d428","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 10"
"19a16146-1bd9-457f-a059-3a3081f742a1","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 10","Internal Stormwater"
"ba61a9f0-35b3-403c-b34c-883bc85c1bd7","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 10","Internal Drainage"
"0f19cbda-3d47-4e4c-b459-8e03cc255980","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 10","Commissioning/Handover & Testing Checklist"
"ebb3df1e-7b32-41f3-ae88-2fca2aa42e9f","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 11"
"5b657c55-008d-4baa-b3de-932149030743","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 11","Internal Stormwater"
"7dd226eb-0a23-41ad-82ba-25f328b8542e","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 11","Internal Drainage"
"b1bec17a-32a1-451c-a34b-78d826f4581c","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 11","Commissioning/Handover & Testing Checklist"
"c41b6137-17c3-44cd-9b7a-53cb234ad184","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 12"
"90397e98-fbcd-4e0b-a546-a0c627fe68e3","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 12","Internal Stormwater"
"876e88de-b8e1-4aaa-9f63-1b300b0c9f0c","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 12","Internal Drainage"
"aeb37a14-b2a5-43c4-885e-25b64f63462d","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 12","Commissioning/Handover & Testing Checklist"
"4a937e49-a870-457b-8e99-cf857d1c35cf","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 13"
"f7bf470b-c047-425f-94f0-0ef871019252","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 13","Internal Stormwater"
"863084a2-d976-4fc0-b309-d52807ad7a86","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 13","Internal Drainage"
"f5045c25-4dcd-4bc4-b306-d5aab4054d1b","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 13","Commissioning/Handover & Testing Checklist"
"3eebbfad-6a82-4f18-ad28-a96a65cdaee3","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 14"
"e7c9429e-7826-4754-bfe5-8e6e63eb3c8a","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 14","Internal Stormwater"
"789d4a01-1153-4ac8-972a-0b9ab55de1db","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 14","Internal Drainage"
"f5a6d4c9-d68f-4fba-a9fa-476665678102","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 14","Commissioning/Handover & Testing Checklist"
"c18e6dd3-b2e0-4a59-9a4e-8cc0094a169a","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 15"
"59a5d629-baf9-4915-a8e6-e9cf4f9f8c38","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 15","Internal Stormwater"
"b65de860-ac0a-402e-b996-63eebe32dfdc","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 15","Internal Drainage"
"f10112ed-b4ff-4b8a-b09d-6631f6f66fee","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 15","Commissioning/Handover & Testing Checklist"
"bb9a08b9-2708-4983-a3eb-8f2778651da8","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 16"
"dfd97f28-d12b-4057-93f0-1ba828729d88","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 16","Internal Stormwater"
"a30cef31-ddbf-4405-a90a-c0a1037f5c30","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 16","Internal Drainage"
"6ee7a3ed-80c6-4ddd-a7d7-7b2b3664c035","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 16","Commissioning/Handover & Testing Checklist"
"0a9cf487-30b0-4fa0-ba21-94cb2e3b989d","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 17"
"5a8ebf80-df01-42ad-a76c-fcc9f74e922e","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 17","Internal Stormwater"
"13fbb30f-d0d4-41db-90ce-4be8a69eb024","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 17","Internal Drainage"
"9fd81829-db93-4725-8e36-aa666e76dbb6","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 17","Commissioning/Handover & Testing Checklist"
"f7b7a6c2-fcb9-4a87-b7c6-64b46b261edf","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 18"
"94f2b4d8-cfcb-4768-b146-2bbf57326d1d","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 18","Internal Stormwater"
"d2581d46-1fba-4a91-b569-07368f850730","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 18","Internal Drainage"
"d3f39f3c-fa01-4cd6-b716-af79c4bc423f","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 18","Commissioning/Handover & Testing Checklist"
"53e424b8-40fc-495d-8fe3-f9600a3903ef","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 19"
"1be28e13-ff86-4103-a309-4ef1f2bac9bf","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 19","Internal Stormwater"
"ee8e94d4-6c81-4526-84eb-0da340df8eee","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 19","Internal Drainage"
"aeef990e-43a6-415c-a52d-440a0ee2484c","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 19","Commissioning/Handover & Testing Checklist"
"f8837e2b-ac3f-4408-995d-a3cc40b0cd1a","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 20"
"4d5f5367-4dac-4a43-b59d-41d674fd3875","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 20","Internal Stormwater"
"81cbf91d-b1d3-432c-9016-4f9051ca2c10","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 20","Internal Drainage"
"b9faf251-b9b7-4ece-bce6-918cef7a3a62","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 20","Commissioning/Handover & Testing Checklist"
"80e63588-7d2d-4f82-a272-75c1571f73f0","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 21"
"6099941b-9e30-49e2-bac5-0ce6d99dae78","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 21","Internal Stormwater"
"25623a6f-218e-415c-bcb4-6a34b19c9e07","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 21","Internal Drainage"
"abebb355-cd79-4414-933b-ed828ad7455f","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 21","Commissioning/Handover & Testing Checklist"
"baa82896-6bc0-45ba-ba61-46a6369642da","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 22"
"8412db69-fbdd-440d-ad4e-15ec1c43c555","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 22","Internal Stormwater"
"4d342a05-996d-4a7a-b5b5-35b1b57f3dbf","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 22","Internal Drainage"
"b7d2e85c-5a3d-4e98-aa66-28f3c8022940","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 22","Commissioning/Handover & Testing Checklist"
"0134d8e0-1c8e-4d1f-ac05-8ad5b314fef3","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 23"
"00b7c38d-2771-4470-b1c8-2fc8f6211e7e","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 23","Internal Stormwater"
"d40e3ffd-d26e-426d-bdd3-78e63bf17578","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 23","Internal Drainage"
"c7058430-9acb-47cc-bcb9-33d0d2b56037","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 23","Commissioning/Handover & Testing Checklist"
"6909da94-d561-4634-bfa9-a2bdfd25dc5b","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 24"
"7421f3e8-8501-44f8-b5f3-f40fb76bc983","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 24","Internal Stormwater"
"dbe3227b-da1f-4fec-a485-c2484ab159b2","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 24","Internal Drainage"
"78fbb7d6-d640-4efc-9ac1-678c7f407351","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 24","Commissioning/Handover & Testing Checklist"
"d9ae6c47-0b3e-4a2a-bf73-84a1d6db01f8","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 25"
"5c5eb0bd-b6b4-4ad9-836b-77aeb57f426d","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 25","Internal Stormwater"
"bd21a5b7-2ebd-4c9e-a566-79a2e4f15b02","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 25","Internal Drainage"
"6495b594-eeb0-4b3a-a43a-d0520a6bc255","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 25","Commissioning/Handover & Testing Checklist"
"bde322bc-802f-4abf-bca3-e2411ec1f225","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 26"
"c10d1e03-3a65-484b-a38d-8336e0bbbb8a","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 26","Internal Stormwater"
"cc8cd152-65b6-4504-9acf-daec334870c2","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 26","Internal Drainage"
"e4506fff-86c9-44bc-a7cc-7fb60f7cc52f","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 26","Commissioning/Handover & Testing Checklist"
"f6e108bc-2497-4f65-b011-01f6284add12","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 27"
"582c2175-d3da-45a3-ac27-3ccc672406a0","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 27","Internal Stormwater"
"863bd200-0ede-4ffc-a952-1ba18dccd25e","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 27","Internal Drainage"
"85f358a7-c940-4421-aa07-cd337e3fd27c","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 27","Commissioning/Handover & Testing Checklist"
"063ddf3b-ceec-4ac4-8dc5-a3bf34059713","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 28"
"ae3156bc-0887-4a53-93f6-9602bfebe400","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 28","Internal Stormwater"
"643dc6dc-71ea-471e-bcb7-eb24a1133fa3","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 28","Internal Drainage"
"1c5c0f6e-368b-4511-b092-d3c1935939bd","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 28","Commissioning/Handover & Testing Checklist"
"ede61431-7bc3-4ea9-8662-c58c1fd3d775","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 29"
"347c5ed4-3f54-4967-adca-7bbfc39207e0","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 29","Internal Stormwater"
"ea38c467-07ca-46e0-8d10-d0184ad351b4","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 29","Internal Drainage"
"6b50cb2b-55b4-45a8-b377-d67a0d7cf9b0","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 29","Commissioning/Handover & Testing Checklist"
"525ca50b-8f6c-4f8e-9bf9-eb0b0457b57f","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 30"
"18a6a031-aa04-4148-bafc-0b0b37c63e39","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 30","Internal Stormwater"
"093d3300-8d73-43d6-a8a4-762c4cd832a3","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 30","Internal Drainage"
"70cb8c66-1b6b-4836-bfa1-637fc9d8b6e7","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 30","Commissioning/Handover & Testing Checklist"
"b288b170-1a75-4d69-8e27-632b1e6b401b","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 31"
"5d99dadd-4807-4be2-bf0b-457e22523c26","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 31","Internal Stormwater"
"72a0fddb-f366-4685-b030-82dfa9790ef0","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 31","Internal Drainage"
"5aac54fc-1850-4cf2-95f9-99285645567e","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 31","Commissioning/Handover & Testing Checklist"
