"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2b13dfcd-a5f6-4a3d-93f6-18ef136f1f75","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"4ce589c6-0313-4557-ac2d-270e6714f8c2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd"
"fe63e343-3ad3-455a-b8c5-053582856a56","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","14.13 - Supply and Installation of Road Signs"
"adc945cd-15b7-4afe-8e6a-5eadea30f2c7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","14.20 - Installation of Steel beam Guardrail and End Treatments"
"343391ac-2907-4d0d-84c7-090eeee1fc4e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","16.01 - Landscape and Revegetation Works"
"8bcb7897-64c7-494c-9234-3dac18cf7292","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","28.01 - Contractor's Camp and Site Facilities"
"06a80383-7f53-43e9-9462-2e3be8f55177","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","45.01 - Road Surface Delineation"
"0343db21-c6ba-4d4f-a6d9-75f627621c9a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","51.01 - Environmental Management Systems"
"dce07738-9d7e-4b15-b6d7-7e99c4a22898","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","52.01 - Erosion and Sediment Control"
"f8d54ff7-2b4c-4a83-b15e-477c261187aa","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","70.01 - MRTS70 Concrete"
"8471032d-4cfd-41e2-8aef-e1421ef48794","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","02.01 - Traffic Management"
"4d4bfab1-7fc8-4ebe-9f8c-a26c50f3efd7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","03.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"6184f335-a99d-461c-a366-b7b79ba16352","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","03.10 - Supply and Installation of Precast Concrete Culverts"
"0fbdc9b0-6f86-4f3a-8a98-e786c9fdfdba","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","03.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"7db6a858-e98f-477c-9b4d-d4d0f2d1ac15","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","03.22 - Subsoil Drainage"
"3f68ebf4-9933-4093-a35a-c9ded41ce217","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","03.35 - Rock Protection"
"4b41bb4a-7d7b-4d2b-8c26-4d41b25d6e9e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.07 - Clear and Grub"
"8708f1eb-42f7-4048-9274-eabcac75d168","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.09 - Unsuitable Material"
"e4b15ea7-7fa0-4f0d-a37e-e7cecb8d98da","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.12 - Ground Surface Treatment"
"ac234c6e-3f93-41eb-b8ab-ca6ebd49f54d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.13 - General Excavation"
"d26fb02b-2ee4-47e4-9156-6659da31a25c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.14 - Embankment"
"8f802ae3-0e78-42ae-9cf7-cc981794aede","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","04.181 - Subgrade Level"
"a55b46ec-e985-4b70-a57a-e669aa517fac","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","05.01 - Unbound Pavement"
"2e3b7266-1ae4-4b4b-a3ec-cc8677ccaeb9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd"
"ecd07280-0b72-461c-bd96-c15cdda7a3f4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","2.01 - Traffic Management"
"2e3115c4-dfac-4ad6-b02b-be205c2d0b3f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","3.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"a7548ae6-99a8-4947-98d2-5246bb28873e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","3.10 - Supply and Installation of Precast Concrete Culverts"
"fef15c6c-315d-4372-bd5f-c4e71c2f4551","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","3.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"87ae5b3f-a646-47a3-822c-9bfd6f1004e3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","3.22 - Subsoil Drainage"
"a78f3a90-f5d3-4227-9f1d-7a954fad419d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","3.35 - Rock Protection"
"2176bb21-5976-4e97-a66b-a90d2dc7e1c3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.07 - Clear and Grub"
"48d12682-308c-4063-9a29-5bc762ecaea7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.08 - Stripping of Topsoil"
"15b788c7-41ad-42be-82ba-ac2c37a5cb20","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.09 - Unsuitable Material"
"f480614b-5557-47fe-9d67-b4b12305a7bf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.12 - Ground Surface Treatment"
"61e72853-6571-4df3-9e01-f848601ec374","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.13 - General Excavation"
"8b42f152-0205-4016-8f14-ede6992680d3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.14 - Embankment"
"19ebe1ce-962f-4975-8f0d-ead61fd4c64e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.181 - Subgrade Level"
"55aa579c-a6bf-4db0-96be-70dc048d35ec","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.182 - Subgrade Treatment Type A"
"a9dcb7b6-853f-42cf-a031-85ac5ba4b0cf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","4.183 - Subgrade Treatment Type C"
"01146160-4de3-4856-b679-e68741dcc9f6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","5.01 - Unbound Pavement"
"d6647957-f264-4b8c-b5f2-40020f612437","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","10.01 - Plant Mixed Lightly Bound Pavements"
"1a6188f6-f414-454e-8824-940db9772ac5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","14.07 - Demolition of Road Furniture"
"d72f3720-5bea-466c-b1b3-c8894a981e47","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","14.13 - Supply and Installation of Road Signs"
"af3d1363-f6a5-4f45-8efe-220a3d8d349e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","14.20 - Installation of Steel beam Guardrail and End Treatments"
"52f51252-6ddd-447c-8bc5-13f5d9e077a1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","16.01 - Landscape and Revegetation Works"
"06513f3c-ca91-4855-926f-0b37087fd763","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","28.01 - Contractor's Camp and Site Facilities"
"d4e97b53-2db3-4254-bbaa-1f6119f38fb2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","45.01 - Road Surface Delineation"
"8ed7982b-054f-47e3-868d-96e77cd79c39","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","51.01 - Environmental Management Systems"
"e7ce1c26-c56c-4a7e-a759-16f79b850145","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","52.01 - Erosion and Sediment Control"
"0557b48f-c3b3-4654-bbe9-fde43457d1b9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","70.01 - MRTS70 Concrete"
"77f320b0-4786-41fe-816b-f1def7a5afa1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","02.01 - Traffic Management"
"dc0e7b5c-a630-490e-a39b-11f5f720a57e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","03.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"350ec5d3-19e2-4b40-996d-8e09c7efa566","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","03.10 - Supply and Installation of Precast Concrete Culverts"
"be1d2079-0bca-4cf7-a48f-198ddfdda7b0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","03.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"86880bf4-7604-47e2-88c8-001eedd2c129","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","03.22 - Subsoil Drainage"
"550a3b6d-2a2b-400c-b04b-5fc15bad2882","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","03.35 - Rock Protection"
"61598411-3228-4ffb-aa26-26950b70a76c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.07 - Clear and Grub"
"e947ccf4-9956-4397-8f67-5a7385dd2760","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.09 - Unsuitable Material"
"b6814424-fcf1-4a0f-a4f3-ecaa9a83f445","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.12 - Ground Surface Treatment"
"d7a66308-8ae8-4626-b636-89e7e854fb4e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.13 - General Excavation"
"b498cd30-c995-474d-98bd-6f4b13273f4d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.14 - Embankment"
"44cce55d-fbbf-4634-9b7f-69b7cc56362c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","04.181 - Subgrade Level"
"acda5396-1ee3-4699-9072-42877113bf84","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Kingston Rd","05.01 - Unbound Pavement"
