"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0263d9c4-7e44-47e1-b13b-4311d12fc2f5","","checklist-flat","no-status-started","Project Details","checklist-flat","FALSE","FALSE","Job Details"
"53773ad8-29ca-418d-9c53-61b97c62b58c","folder-normal has incorrect meta.stepType folder-progress","folder-normal","fail","","step","TRUE","FALSE","RSB Electrical QA"
"c12de540-eb4b-41e6-b63b-7e5bf0f16be9","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01"
"e0670424-0a13-42a2-bead-ed2d30d07478","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Main Switchboard"
"128fc72e-3e02-41c5-b5de-ced0789a56c8","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Main Switchboard","MSB 1.05"
"1ed9c17c-6f10-4ab8-8f14-8daa3b9f08fd","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Main Switchboard","MSB 1.08"
"9d87af69-804f-4b84-a002-60324d2b070a","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Distribution Boards"
"bea4ed03-7bbc-49ba-bac6-f87228e2817c","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"03df39c8-129f-4a57-b25f-7450f9d32fd3","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"3ee71edd-ab74-47e7-a24e-caf4ba85f2f1","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"7e69ef90-a110-4e3f-bfe5-d344d67f7d7a","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"27763ade-e993-4f54-b0cd-5cfd086d8ef6","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"9a8e4f02-ca84-4a3c-ae4f-79643c6fb4cd","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"46cd89cd-e19d-460d-8d69-3e08e9ebbcd0","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"10190676-911b-453c-9be5-829ae666024f","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays"
"c4af46ee-d38a-473f-9e45-75fed7f9e3c6","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"4c933185-955c-48f0-8f6a-a67f7ca26ba6","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"760df78b-947e-4bed-9b5e-ad0ffa1f3720","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"1e0961e1-9277-46f1-9622-4bbee350afa7","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"a02df0a4-4396-4c69-a16a-0f82df93c228","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A"
"a5dd00d8-cb8c-4520-a493-01233bf1d6e7","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power"
"c4ca7bb0-3df9-455f-9d48-0c498bc6db6a","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix"
"4918d3eb-8e5c-4349-9e71-c1482135b9f1","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement"
"0d94ae5c-3ae3-42e5-9b10-ea6d1da50687","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Bed 201"
"adead5f8-b9cf-42f8-a2f7-ddac954c3363","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Bed 202"
"6175730f-9a27-4ddd-87b2-140fed405fd7","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Bed 203"
"0785d34a-37a3-4757-aa67-11d27836307e","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Bed 204"
"23f668c2-d90c-4f34-a98f-bdfdd09acf36","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3"
"bebf4b63-6c52-404a-a321-7ee7f626e0bb","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Lobby"
"0f538b13-36d6-499c-92ee-fb19bede471e","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Corridor"
"1100e8ce-83c8-46c3-bb5e-236cd23c2a44","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Laundry"
"f90c7a3e-0e14-4b87-a997-66947894225f","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Services room"
"0fe15dba-99cc-4349-baf0-465a902db2ab","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 351"
"56555581-9fb1-497f-9add-87b94c5fef85","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 352"
"228bc7bd-c24f-41f4-b0d5-c04ca4d5dc77","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 353"
"e894c407-0de7-407a-bc35-7376121810e3","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 354"
"132dac2a-b5ff-4650-9bf0-a29b6522c83c","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 355"
"286abd03-35a3-4ec0-aab8-d9a1fbf58a0e","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 356"
"1900610e-a7d4-4813-8e05-e4ff8d03bbe3","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","ALS 357"
"fe82ef29-c629-4a83-ac2e-1d27e2879bea","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Bed 301"
"f12dc36b-7c4a-4bfa-be5a-66a1ab79f4b3","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Bed 302"
"57c5e2b1-8f20-4cdd-b3bc-06ba7ad66747","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Bed 303"
"90a92d75-d534-4964-b8b6-0286eacfa740","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 3","Bed 304"
"5f85f69c-87c7-483a-bf42-8860ca804a0e","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4"
"54c64646-0cbd-494b-9a87-2fdaf6cb23c3","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","Corridor"
"5c48b13f-7f97-4733-acb2-c19bc1828c95","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","Lobby"
"61d8b9d4-a585-42fc-adcf-69c865385c9d","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","Rubbish"
"a8c170ea-45a3-46c6-aac0-f983389e2985","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","Servces Room"
"f2230394-a6a0-4cde-8a4b-460b5503b140","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","APT 451"
"590474c9-783b-4305-941d-e5e7ee344dbf","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","APT 452"
"49a8070b-1461-4612-9001-4e042cf2f5bf","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","APT 453"
"0a0a8342-0b59-46a9-88bb-2a9216f56cc6","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","APT 454"
"db5b8b28-668b-440c-9ce0-bcc2dc2c9e68","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 4","APT 455"
"1634ce02-992c-45bb-92d9-91b57d97ae94","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Lift 1"
"e49f912d-aed8-4828-994f-3a5d3f6cd736","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Stairs"
"de037096-6a1c-4934-85cf-36effab1be34","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Stairs","Stair 1"
"e0bd5cfd-716b-493f-b90a-b02ab638e810","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Stairs","Stair 5"
"2dc790d9-40c2-4129-805c-2e8c04415dab","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Stairs","Stair 8"
"5e73d80d-5003-4400-a0fa-4793394d0b8b","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix"
"90cfe773-73ec-4c8b-8685-a531ae32abd4","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement"
"30efb50e-1c44-4bbf-b1be-e12656b19963","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement","Carpark"
"eadf8975-fa70-4876-a1a1-897188a6b994","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement","Pool Treatment Room"
"b7400dcc-5808-4cff-9b65-b3c7230fd5da","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement","Resident workshop"
"09716bd1-68ae-40b2-b5a0-702d7beaadc3","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement","Lobby"
"1bf69f8a-2e9d-43cc-a8e9-220ba95f7653","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Basement","Spa"
"7f83cb60-60c1-4005-a096-6d5f68da1a18","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Ground Level"
"09d7c2f0-f9ee-44bc-a65d-9e842b3658d8","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Ground Level","Gym"
"f40085b4-37ab-4313-9010-ca140787bc69","","checklist-sectioned","not-started","B03 - Second Fix","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","Second Fix","Ground Level","Foyer"
