"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"83110c46-f41a-4cfe-a166-7d48253437ca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"1033f6be-52f3-453f-bdb5-fea788840871","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","GROUND"
"6fe68172-09a6-4aef-bd85-342607dbb310","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","PDR"
"3a39653c-5e00-4f30-9190-2420890b98f3","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","L/DRY"
"def3734c-3931-49ea-a5f7-e63c67195703","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","BATH"
"08e53acf-9f2f-40f0-8dde-a24ff0903063","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","ENS"
"f1545055-549c-485e-bb29-f79f4d9c9788","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","SERVICE"
"3c3dd768-4e44-4a45-ba39-c4af83a8b131","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","BO"
"8c874d39-0027-4c5a-b09c-6d39849996d6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 5-15"
"40534a8a-6ee0-4250-ae7e-c784991ab9e6","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","BATH"
"1cc2d6c1-01a4-4721-9ac0-28f17a670762","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","L/DRY"
"557b27cf-5cf9-46ef-8e0c-9c3b6a950017","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","ENS"
"41d64cbb-2f5f-4eb3-be71-1c1f3e10c2e1","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","PDR"
"884cbf25-32d5-477e-a875-a2e46e9ff24b","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","PDR"
"b90ed900-c2ba-4dc9-b186-e02aa5b593d9","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","HYD"
"e3780d1c-fc13-4f2c-a1da-0f977f58840a","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","L/DRY"
"20a9d778-870d-4e91-b71d-aaa428d0ee5e","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","BATH"
"924ebf00-a87f-455c-8a06-e7bfb65a8903","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","ENS"
"b3217f0f-ae71-4470-91cc-69fb8220cbe8","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","SERVICE"
"30dcfad4-d49d-42eb-bb3f-7a50412652fa","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 5-15","BALCONY"
"bfff9d5b-71b9-46fb-af7e-3a36cf0e7c0c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 16"
"ed550f0a-3ccd-4cbf-878c-998b81f05931","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","SAUNA"
"5d8eb14f-1455-4ce4-ad15-836beb6285a3","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","WELLNESS"
"d9ca992b-fe9a-4719-8c4b-5d3df135401e","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","SPA"
"3594f5fc-4732-4cf4-aeb8-6c1ec1d3d646","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","PWD"
"8d91e1fe-ad1f-4151-88d9-9ea45132126a","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","BALCONY"
"28c8921c-8632-441d-874b-685aa8629a76","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","HYD"
"107a29cd-78c1-41d7-8f64-ebc759d16f81","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","PDR"
"f2a42b81-8005-4e11-80e4-e36d58ff1839","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","L/DRY"
"78dba911-2ae5-460e-abf6-bc1823f33724","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","BATH"
"6e938ab9-47ea-4ef9-bd99-49298985d155","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","ENS"
"41d11bbb-1cec-49e9-ac1d-efc1204e10f7","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 16","SERVICE"
"a596e926-e9e9-4183-91e4-485cbb334c1b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 17"
"32aeafe0-b266-421a-bba0-b41deaf1e941","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","MASTER BALCONY 1"
"76031fdc-3370-4f36-945c-8035a2617262","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","BALCONY 2"
"b4c23b94-b287-48c6-8c6c-78af21f4a2ff","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","BALCONY 3"
"0246024b-00fd-4538-a639-1fed65c510ba","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","ENS 1"
"c2af5d0c-6cf0-4ccb-b0c6-6b53831cee4a","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","DRYING ROOM & IRONING"
"60e1f19d-69e9-4667-85ae-ca3922105186","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","L'DRY"
"ee8e59d1-e9a5-4373-bbd0-7c3765123363","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","BATH"
"466aed4c-8c32-41d1-bbf4-05bb16cc92ba","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","PDR"
"5a6d6f43-c432-4a1e-b3f9-d29322254b1c","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","ENS 4"
"02d11f6c-1f04-4cf7-a64e-bca7cf26aac8","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 17","SERVICE"
"6a6493d3-d755-4ec9-9780-9e2530ea36c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","ROOF"
"941283f2-79a9-4560-8ab7-3dac7b45d67a","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","ROOF","External Liquid Membrane Checklist"
