"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38c7fe6a-c79b-4c66-830f-91fc7b7c17d7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"dd37bff1-2a7d-45fd-8ee6-5dd137925c42","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drains"
"39136060-8093-4d55-aca7-65eeab624fa9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Drains","Ground Floor"
"4c5d9b9f-ec14-4191-a0c9-f6765d903bba","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Ground Floor","H100-1"
"10025585-899f-49c4-b270-335fa7d6ae05","","checklist-flat","work-in-progress","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 1","H101-3"
"075fbba0-33b6-59e3-8a32-e72c26f5cf06","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-3","All drains installed as per Plan referenced on spreadsheet"
"defcc890-def0-5d43-a09b-f5d7b9c4d3a7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-3","Photos must be attached"
"e2376ee4-6be1-4913-b6bf-372a36fe87de","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Drains","Level 2"
"51aaa064-ba72-4ee2-9e33-9c1e8214503f","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 2","H102-1"
"21de26f2-36b9-5393-a54b-da7f27f7a513","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-1","All drains installed as per Plan referenced on spreadsheet"
"349cb057-f680-581b-a180-8e58db7b85e4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-1","Photos must be attached"
"71438470-0416-4807-802d-2b2fcdc3d80e","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 2","H102-2"
"03095c61-ef04-5ef4-9993-bf320c2796e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-2","All drains installed as per Plan referenced on spreadsheet"
"1af0c2df-867e-595c-b8e6-59b632738245","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-2","Photos must be attached"
"f3ddbb52-ea09-48ab-9a10-0adb5e542c30","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 2","H102-3"
"0839f9a5-6d39-5041-afb4-dc4e8dfdafc8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-3","All drains installed as per Plan referenced on spreadsheet"
"b6eeef54-6eb2-5583-9bb6-28d177e39a3d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 2","H102-3","Photos must be attached"
"81b25dce-526f-4cc8-9713-6fa390188840","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Drains","Level 3"
"3236987d-dc99-4c06-83ba-a69a89e00d7b","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 3","H103-1"
"effe9fee-f12e-59d6-b9fc-99d0fdcd0c21","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-1","All drains installed as per Plan referenced on spreadsheet"
"5302a28b-fe8b-5d2f-bb62-51b7fae28b98","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-1","Photos must be attached"
"f64f578e-c2e9-4048-a8d2-4f88691fb427","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 3","H103-2"
"7bd17730-66a3-576d-bfe4-d8bfbb3e20c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-2","All drains installed as per Plan referenced on spreadsheet"
"ef7ed38c-5838-5323-a53b-1c8b4fb8becd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-2","Photos must be attached"
"dfa51b41-c0fc-44d8-86f0-cfe088cf61a9","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 3","H103-3"
"d7e8e14e-4dbd-5bad-9926-d819a6a5cf09","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-3","All drains installed as per Plan referenced on spreadsheet"
"e5f61e56-e806-5802-9c66-9f2768707ee1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 3","H103-3","Photos must be attached"
"d242a006-1962-48fa-9c8e-77b8de69e4f5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drains","Level 4"
"8def7cea-e656-460a-b464-bb301e79b980","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 4","H104-1"
"27f219ca-990d-58a4-a553-35a0ee70ebb7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-1","All drains installed as per Plan referenced on spreadsheet"
"bb10fb8a-2bea-5468-87da-c82be4477358","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-1","Photos must be attached"
"a78de0ee-d3b5-408d-a271-a63257e8bd16","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 4","H104-2"
"7a1ea25b-b31a-5335-b3a3-a98bae73e37e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-2","All drains installed as per Plan referenced on spreadsheet"
"096f9bfd-a5d1-577c-8ad0-32517b6b0d29","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-2","Photos must be attached"
"d7f93134-51c1-4ad9-ae1b-87d87c257517","","checklist-flat","work-in-progress","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 4","H104-3"
"88def5c7-32ea-584b-9dbc-41afe9d92584","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-3","All drains installed as per Plan referenced on spreadsheet"
"8d1edf2e-7409-5541-bed9-f87e0545b3e7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","Drains","Level 4","H104-3","Photos must be attached"
"3b6e3c05-607c-483d-951d-5ad5e496259c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In"
"cbeace94-89e4-465a-883a-bae62215c9c2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","Ground Floor"
"890f884b-2404-4345-86bb-39b3c8cb1480","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground Floor","C3-0.2"
"bc4e81c0-5e65-51be-981d-a829f2feeb3a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","DRAIN COMPLETE"
"4527f10b-05e9-5fdd-9142-aad58d6515b2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","LAGGING COMPLETE"
"8e392c6d-b7ee-5640-97c9-4a535d4b5df7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","DOWNPIPE ON"
"ad54e00b-b546-54e6-abbb-753252c5955d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","OVERFLOW EXPOSED AND CHOPPED DOWN"
"13952dc9-7a1c-5b44-bd71-4fdfb06f14ed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","UN-USED PENO'S SEALED"
"bf05d166-6586-539c-b05d-3cd9a4ae987b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","ROUGH IN COMPLETE"
"81c89ea0-caa6-5d53-9ffb-1159847b4f1f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","HEADER PIPES FIRE CAULKED"
"005c24b0-859e-5ebe-9623-385626ff855c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","TMV ACCESSIBLE TO A/P"
"df2ae5fb-d41a-5f96-b788-f4f8563e7e54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","HOT WATER METERS INSTALLED"
"6da10efd-35a3-526b-9bf6-953d44be1238","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","CROSS CONNECTIONS"
"81a40ebf-215a-5b4d-b124-d4a2eca4a610","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","MIXER STRAIGHT, SET BACK CORRECT"
"a4f03b21-ea99-5f95-88d9-b0300c6d0c69","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","WATER PRESSURE TESTED"
"35557ea1-d0dc-5f3e-a90d-0d22a92554f6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","ROLL OVERS COMPLETE AND SECURE"
"4b1ff127-bf96-5ef3-95b4-5fff256eb42b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","APARTMENT CLEAN OF MATERIALS"
"08ef316e-d98d-5469-9592-10f7f764f653","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","D/P CLIPPED"
"20350e57-1ca5-5581-b83c-a4340a7aa351","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","FW CLEANNED, COVERED AND CLEAR OF DEBRIS"
"5ff06e25-9ada-5c4e-a56e-89ba382b480a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","AAV REQUIRED?"
"5784d3f4-7858-51a6-aad2-48d984d985ab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","FIXTURE SET OUT CORRECT"
"4c85a514-fa54-5611-8588-1c64702bfa04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.2","CLIENT VARIATION CHECKED AGAINST SCHEDULE"
"ea6c9323-0832-44d4-93c5-89300686927e","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground Floor","C3-0.3"
"743c2c84-2d80-5248-8649-a2022ac6781b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","DRAIN COMPLETE"
"0425979d-a621-5442-9e18-071ae65e5beb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","LAGGING COMPLETE"
"c7044e37-0cdd-54e2-8d9e-ed30e7420539","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","DOWNPIPE ON"
"93893823-8f91-54f8-b047-3b00a0ca157f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","OVERFLOW EXPOSED AND CHOPPED DOWN"
"a4dadf14-0dd8-5337-b974-5abe8e3531e2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","UN-USED PENO'S SEALED"
"3d41af9f-3d27-5418-9a8c-2a6e0babe605","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","ROUGH IN COMPLETE"
"64b7e946-2578-500b-b90b-9a028db2d8ba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","HEADER PIPES FIRE CAULKED"
"63d0d22e-baf3-551d-9530-5a15d9ecac6e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","TMV ACCESSIBLE TO A/P"
"cbdd743a-8a55-5ec8-b331-5e81470b7f71","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","HOT WATER METERS INSTALLED"
"f3fd9ee1-6b5a-5cad-9eea-6fadb5c65e86","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","CROSS CONNECTIONS"
"c4f33db8-a69e-56b5-9ddf-81a4f4a0fd5e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","MIXER STRAIGHT, SET BACK CORRECT"
"c374254a-40eb-5a9e-8fdc-f57cab9dc2a8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","WATER PRESSURE TESTED"
"cee53c17-1fda-5c6d-8d06-76d25406ddef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","ROLL OVERS COMPLETE AND SECURE"
"b7143f93-e936-50d3-bbaf-fb1f2b54e3ef","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","APARTMENT CLEAN OF MATERIALS"
"dde877cc-54c0-5d63-b125-5a6d320acc45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","D/P CLIPPED"
"251b1a8c-31a3-53ca-a9a3-81ea9be71dc7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","FW CLEANNED, COVERED AND CLEAR OF DEBRIS"
"e381cb40-03a9-5b64-9756-b7e4d184e964","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","AAV REQUIRED?"
"d5f71791-04e7-534d-97e1-6b036ff86d3e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","FIXTURE SET OUT CORRECT"
"ea0607a4-0970-58f8-ab34-8c993c34fd06","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","C3-0.3","CLIENT VARIATION CHECKED AGAINST SCHEDULE"
"a2bf6dd0-7fcc-4961-8ae5-078df1b095fa","","checklist-flat","work-in-progress","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground Floor","D1-0.2"
"7939d077-d51e-5f24-a525-df0f642de8d0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","DRAIN COMPLETE"
"2a493973-9475-5e37-9d8e-efc55429dd77","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","LAGGING COMPLETE"
"abe43ac0-73b1-5871-81a1-12869eceae60","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","DOWNPIPE ON"
"78734273-c9f9-5722-b920-82c89e5e34d3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","OVERFLOW EXPOSED AND CHOPPED DOWN"
"8510b077-f058-57fe-96ea-dedbf318d47b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","UN-USED PENO'S SEALED"
"8ee7c724-9ac3-54ad-a758-df28da17b04e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","ROUGH IN COMPLETE"
"11e29328-61ac-5582-bc9c-d3e1d3efba56","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","HEADER PIPES FIRE CAULKED"
"9487dbbb-903d-576b-accf-47465c789076","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","TMV ACCESSIBLE TO A/P"
"e0bfdd3d-4c48-5f9e-97fc-aba89b62f982","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","HOT WATER METERS INSTALLED"
"30a6b416-3c10-511f-8b2d-87e274181a4d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","CROSS CONNECTIONS"
"873e8b32-53b9-5498-bb27-e17ecf6ad53b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","MIXER STRAIGHT, SET BACK CORRECT"
"12b41a47-7139-53a6-bbc2-aa29a89cbff5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","WATER PRESSURE TESTED"
"577f8bcf-9565-59b7-bf6e-58cb486b1a74","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","ROLL OVERS COMPLETE AND SECURE"
"4b025227-674c-57eb-a989-1bcb6a993752","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","APARTMENT CLEAN OF MATERIALS"
"cff69704-ff2d-5ca9-8bc6-0807a021a209","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","D/P CLIPPED"
"a320c86e-4429-570e-8df9-f7d277dd03ac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","FW CLEANNED, COVERED AND CLEAR OF DEBRIS"
"1691f438-5479-5b91-8361-c09d3a3a0f97","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","AAV REQUIRED?"
"e13a70ee-390c-5ec7-b0cc-c9936342ae4e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","FIXTURE SET OUT CORRECT"
"e1240663-779c-5006-adde-3994cd130e93","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.2","CLIENT VARIATION CHECKED AGAINST SCHEDULE"
"b631f2cc-cd93-460e-9809-e10392d23b29","","checklist-flat","work-in-progress","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground Floor","D1-0.3"
"b9e1a757-9025-5141-80c1-db6d2d292402","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","DRAIN COMPLETE"
"0c46cb3f-2e0f-5af5-9c58-7d6c7afc724e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","LAGGING COMPLETE"
"70503aae-f49e-523a-b718-5cb41b0ec80e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","DOWNPIPE ON"
"6aac3ece-3762-566a-9abd-005cec7f8ac5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","OVERFLOW EXPOSED AND CHOPPED DOWN"
"a82d2dda-52a3-524a-b026-62319e5fd7e1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","UN-USED PENO'S SEALED"
"692af7d3-eaf9-51a3-aff4-95dd126b63e8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","ROUGH IN COMPLETE"
"3ad54a37-d29b-5d03-b18f-be8287ea0c9e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","HEADER PIPES FIRE CAULKED"
"7e767296-f93e-55c0-86ca-96ea88887eac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","TMV ACCESSIBLE TO A/P"
"a97c1cb7-06c5-542b-a8cb-79213aa4902a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","HOT WATER METERS INSTALLED"
"efe870b3-e037-5faf-ae36-ec1a9fed18b9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","CROSS CONNECTIONS"
"588501af-33a8-54aa-9cdb-c6a45cafc587","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","MIXER STRAIGHT, SET BACK CORRECT"
"dc6da37a-4d85-5910-80bc-69ca6c2e3065","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","WATER PRESSURE TESTED"
"bf6d4984-00da-5dbe-9c0b-20af8031c0bf","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","ROLL OVERS COMPLETE AND SECURE"
"b00f7f73-f8cf-5ecf-8647-57258b7c002c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","APARTMENT CLEAN OF MATERIALS"
"c70d6358-9871-5cbc-9f06-08ffb8606be4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","D/P CLIPPED"
"11328947-7283-5d1f-92e6-bf3157cd8275","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","FW CLEANNED, COVERED AND CLEAR OF DEBRIS"
"2c3f2d08-e018-545d-8c2f-d86c765a66d4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","AAV REQUIRED?"
"5367c56e-ae07-52bf-89ba-ecd7738a017f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","FIXTURE SET OUT CORRECT"
"7f3e9307-1705-541d-8e74-6684c12833a1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D1-0.3","CLIENT VARIATION CHECKED AGAINST SCHEDULE"
"6646d9fd-d82a-451a-abf1-f2628881f03b","","checklist-flat","not-started","Rough In","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground Floor","D2-0.2"
"992eaa0f-0038-5f35-8135-79a29c01d8da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","DRAIN COMPLETE"
"3f18398e-974d-5b02-9d90-9bcb6f61cd40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","LAGGING COMPLETE"
"af70f45a-f64b-5f67-aa3a-ee230185b197","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","DOWNPIPE ON"
"1e1a9877-22ec-56c7-94e0-067d202ec352","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","OVERFLOW EXPOSED AND CHOPPED DOWN"
"17834b1c-1e21-5c17-9c11-f577eb77e7e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","UN-USED PENO'S SEALED"
"ef6c57bf-53af-5231-83a7-247455a7e2f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","ROUGH IN COMPLETE"
"d2591b05-cb22-5a00-8590-16c2181096dc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","HEADER PIPES FIRE CAULKED"
"f45e183b-5d3a-5497-8457-75ff2d38940c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","TMV ACCESSIBLE TO A/P"
"b3ddfce2-8fce-55d0-9576-5c4d701e34db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","HOT WATER METERS INSTALLED"
"e1a65ceb-c246-5af2-b862-f4cae6b019c9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","CROSS CONNECTIONS"
"873f55cb-1a1e-5276-986c-f442827f60d0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","MIXER STRAIGHT, SET BACK CORRECT"
"b6dd21c3-abcc-580f-b43e-58cda727f873","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","WATER PRESSURE TESTED"
"1915a392-2784-50d3-8ea2-2fab0e5c16a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","ROLL OVERS COMPLETE AND SECURE"
"a9814a67-3b25-5f3f-a5a5-0c99879e839d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","APARTMENT CLEAN OF MATERIALS"
"82503455-be7c-561a-b7b1-1c5bd7659f01","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Rough In","Ground Floor","D2-0.2","D/P CLIPPED"
