resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,,Apartment 17,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 18,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 19,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 20,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 21,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 22,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 23,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 24,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 25,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 26,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 27,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 28,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 29,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 30,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 31,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 32,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 33,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 34,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 35,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 36,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 37,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 38,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 39,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 40,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 41,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 42,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 43,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 44,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 45,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 46,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 47,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 48,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 49,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 50,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 51,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 52,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 53,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 54,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 55,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 56,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 57,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 58,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 59,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 60,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 61,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 62,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 63,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 64,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 65,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 66,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 67,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
