"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26fcea79-2069-4951-a014-3e775d3b359c","","folder-normal","fail","","step","TRUE","FALSE","Station Box"
"1f862615-ee8b-4b14-bbac-634d0b039ef4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 01"
"b4f821a7-c8ad-4d7d-9080-515af3bfa2d8","","folder-normal","pass","","step","TRUE","FALSE","Station Box","Lift 01","Zone C (Western end)"
"db48e4bb-d793-4eed-ac43-6adb9ae759d6","","checklist-sectioned","pass","5e2aca4a77bdc90475ab6c3dcfe1b551cd16e8bd070cc04f94212ccd78dfde8f","checklist","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00"
"547de478-8cc6-5968-ab05-c20cc100d9cc","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation"
"5acaface-4d01-50e6-8288-468fdc61d1fb","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"1a19abf8-1d76-55c0-abf2-95bef61f710a","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Post Excavation","Signed off by Delta Group & CPB"
"fb6729cd-dac6-5af4-a384-124c28ec9475","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Verification & Documents"
"b377c445-45bc-50ed-902d-4b06ae24db27","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"2abbbe69-8cb4-5446-8800-482048e608a0","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"49db979b-e91b-4d51-9134-09536ee1b0c1","","folder-normal","pass","","step","TRUE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)"
"e66364a6-0bc4-4f34-af51-be23bb754e80","","checklist-sectioned","pass","5e2aca4a77bdc90475ab6c3dcfe1b551cd16e8bd070cc04f94212ccd78dfde8f","checklist","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"5b65d82f-58e6-50aa-b635-68a1e5a9f780","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"ebcc5d64-c20b-5122-a7b3-6e06a5ebf4f2","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"adc4c41c-1e70-5cd9-b152-a30dcf1a4de3","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"6fd990d2-329c-5435-8f72-3d3901662cd1","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"e8e3034a-630f-553b-b47e-ac2117240b49","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"5233b0c0-7247-5f79-91fb-2bb16b1273df","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"f11f5871-00bf-5021-b107-d8c4eb5cdf9d","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"ae854cc2-5554-5297-8598-50e688a98605","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"6bb6b87f-14ee-5013-a970-2c3477dd5bd5","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings"
"bdff2b7b-1d95-519e-8870-22594ddb498f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"ff017b3e-bdfe-5f90-bf6b-253c18861b11","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings","Signed off by Delta Group & CPB"
"66e90ff7-078a-5817-8da1-c8f629b445a3","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"4af44704-b35c-5f3b-b643-8baa6623ce3b","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings","Signed off by Delta Group & CPB"
"bf138892-1b75-560f-8c9b-06160dbf7d12","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"8f498ccb-6cee-550d-8f62-e973e12a0945","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"d5b984df-de19-52b9-b45c-b90ca4c35c68","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"c0989197-1756-541d-8e41-ea577169e56b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"a71438e5-3395-5a9b-a075-9cd4ae5bfbe3","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"db06acf5-6303-5ad4-94e7-8fff560cfcea","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"669a6cb8-553b-5e5c-bda4-094685633af5","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"7fcaa84b-a236-5633-8382-6dd765f8bfce","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P160 to P187 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"7bf62473-deb1-44d7-9a5c-149a891df13f","","folder-normal","pass","","step","TRUE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)"
"a2201056-5472-4790-8e59-c9aa41015aa1","","checklist-sectioned","pass","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"f58e98fb-4d55-5383-8d04-200881c30b0a","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"e4869119-465d-5ad7-a2e6-0a3e09c78202","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"ab204835-7135-5ef2-96a9-37a162dec2d9","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"e704283e-9b72-5a1d-9c7c-089297d3eaa8","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"ddab1377-1b13-542d-a996-317508e7e6af","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"645e7b65-8bbd-5c04-8579-8c12c2d3e441","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"a8af87d4-e333-5582-bc51-50cc1751c1a3","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"bc676aad-cd4a-5ec4-80a2-49480d8d01e1","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"7679eb9a-bacc-57fc-b2f7-78a26cb5733a","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation"
"fc3c6f9d-632f-536b-84f9-131a83ab5542","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"fe732933-9299-53f8-8024-18cb2b29db0b","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"1c834923-53b7-5e50-9479-7138b5503635","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"e114071f-b363-5896-92c1-abe9c59ca4da","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"67c0551d-55d4-5b1b-86bc-4f1fcf90d8e3","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"35669165-8b49-539c-84e5-4c3cac01efdf","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Pile issues"
"33d15631-62f4-5232-b698-43faa9bc312f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Rock slippage and failures"
"569aa546-7a54-5260-9258-57576ec4c927","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Wet wedges"
"f2751389-152b-53c6-bc64-1cfc4c3e24ab","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Concrete failures"
"118221ba-6864-512e-8867-1add78e63d21","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"8a67c350-85a2-58eb-8780-eccfff593f91","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"72eb2033-787f-5420-b0da-74e3c84b7d50","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"002150be-579f-511a-87a7-1aecae910923","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"a26f1f48-de26-5e74-9215-6950825d1411","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"b8557c6b-3085-5671-8e68-0dd548db37d9","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"a88d5e8c-ca58-5c6a-a76e-0e6fedeb4822","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P058 to P072 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"0042d063-9041-46fb-8b2a-ad2c3cd0bfdd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 01","P144 to 161"
"403479e1-4b59-4b6a-9f9c-6b9642c02295","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"ccc54235-3375-5514-9054-3e86c9139ef6","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"5cda31d8-639f-5f7a-84fb-c25accebf438","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"eda3eb35-e580-5ca2-ba04-2ae068a4b183","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"6f90c8de-9a56-5306-b4ac-5e97b312397f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"05c31f3d-e351-53cf-b77e-92b767dc705d","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"9c15c96c-e710-5033-b446-2703be692c85","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"2294bbc1-b9da-5322-86f0-2ec81d2d4a15","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"26d2aed1-607f-5a27-85bb-b154bed77917","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"0a3bd11e-eeeb-5101-b268-212a08470990","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation"
"d4846922-088e-582e-b39d-5daea0aa47ce","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"7c9c578f-e0aa-5c21-aef4-c9db7d6bd25a","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"20bbf571-37a9-5e31-b88a-f54fb1d45d0f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"92c21d06-cc14-599d-83ac-1f664333477b","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"e68fccf6-efc5-5027-9cf1-761e65d98cc5","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"9ad73f95-061b-599a-bc89-da61a1ee0c92","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Pile issues"
"b0b85fb7-dc0e-5e76-82d3-572026b229a0","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Rock slippage and failures"
"0080bc85-42c5-582c-a430-b975a3a126d7","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Wet wedges"
"af09e29e-c0ce-5ab9-ac26-ad0e86ad5283","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Concrete failures"
"effda179-8d62-5298-bf4f-d444cabd6562","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"9f5eda50-c04c-5adf-81e4-f4def96feeb4","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"941940f2-512a-5098-885c-f482b0b7fd7b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"070be1db-a310-59d9-a94b-1a1c98aa2d73","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"e1e647ee-1ccb-5b6c-b94e-d67f084bbc95","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Station Box","Lift 01","P144 to 161","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
