"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8d2f43f-c338-499e-a4f3-a470deeee484","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"32803bc0-e1a6-4dac-a383-768f55281eab","","pass","","folder","TRUE","FALSE","Site QA","Stage 1"
"723508cf-5247-416f-a7fd-236c675935c1","","pass","","folder","TRUE","FALSE","Site QA","Stage 1","02.01 - Traffic Management"
"3f1bb331-e3a0-4577-9fae-f752002b8695","","pass","02.01 - Traffic Management","checklist","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management"
"2d6c6295-5e09-5e99-8120-3efc3d844d18","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details"
"006fc86e-46ce-589b-857d-bcec383c417e","","pass","02.01 - Traffic Management:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Final Sign Offs (to be completed at closure of Lot)"
"37a1ea9f-e921-5e14-a2c4-2cf8670fc10b","","pass","02.01 - Traffic Management:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"14292ea6-3619-51bf-b5a7-8292f4960748","","pass","02.01 - Traffic Management:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"5e83839d-ce07-5163-a922-caefd7cc3189","","pass","02.01 - Traffic Management:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"975653bd-69c9-5dc4-9633-6aa277d875d8","","pass","02.01 - Traffic Management:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"b110c940-4b4a-43bc-afba-8922d38efb5a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stage 1","03.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"f9c22910-930b-4703-bbdf-a1e5c531b06b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stage 1","03.10 - Supply and Installation of Precast Concrete Culverts"
"7ef6b922-c34d-45c5-b710-a93c1a6f2b09","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stage 1","03.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"b45d9576-be5a-45ed-a831-2a79bc87487d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stage 1","03.22 - Subsoil Drainage"
"88ed6ccf-8e39-4926-afea-781b4ec9d16c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stage 1","03.35 - Rock Protection"
"2924b096-d2dc-4cd2-974d-2b4932c6507f","","pass","","folder","TRUE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub"
"7e7a0973-34b5-4436-88f0-87a67fb26a1c","","pass","04.07 - Clear and Grub","checklist","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub"
"28b8c65c-5ef0-5abf-96fc-1d951cc93aae","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details"
"ab91de9f-a665-5de3-b1a6-44453911a5d8","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:664369c7-5ba9-5dc1-b631-e509f6d35d5f","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Any trees, shrubs and overhanging branches to be left undisturbed shall be clearly marked prior to clearing operations reaching the areas concerned."
"d0bbcb6c-a9ad-555a-a72c-271da2944420","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:664369c7-5ba9-5dc1-b631-e509f6d35d5f:2935e9af-c2e3-5ce3-a800-45e7ff6149c3","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","HOLD POINT"
"ac89f30a-3856-5449-be56-9f3d4424856f","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:e80473b9-0542-5dc2-bda9-edc8d3afd710","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Any trees required by the Administrator for use as marketable timber shall be as nominated in Clause 1.3 of Annexure MRTS04.1. Such trees shall be clearly marked by the Contractor prior to clearing operations reaching the areas concerned"
"6f6a4557-6d1f-5e1e-bce0-5b0bba011a8c","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:e80473b9-0542-5dc2-bda9-edc8d3afd710:c4660e9d-1842-5c69-a44a-3fc748b8db0a","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","HOLD POINT"
"5283c6e3-e4c7-5a7e-b8cd-b1d0fc1564f4","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:9eec285c-853b-5559-bba1-c03294e94582","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","As soon as practicable and prior to initial earthworks operations (clearing and grubbing) for any stage or section of the Works, erosion and sediment controls associated with drainage paths flowing through the Works area shall be installed."
"b249e973-863e-5fe2-8047-e42fd54be0c3","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:9eec285c-853b-5559-bba1-c03294e94582:1ddc0205-a5dc-59a4-9240-70491f33d7e2","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","HOLD POINT"
"2d0dbccc-6ff2-5c38-9400-f34b3f74d5e9","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:f0fb7fa6-aeec-59e8-a788-b18ea549b327","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Hollow timber which is identified as being suitable for fauna habitat logs relocated to areas clear of construction activities"
"e3860bd3-837c-5d7f-98fa-bddf8f0a56ab","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:b66b05dd-8703-58f2-87da-0b7ff80fca86","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Surplus topsoil material and material considered not suitable for use as planting media in accordance with Cl. 8.3 shall be assessed for suitability for use as fill or deemed as unsuitable and disposed in accordance with Cl. 11"
"1e46579a-5b36-597e-998f-c3ce9957e3fa","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5f3ee9f4-96d3-53d5-88ba-5fab2de292d2","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","The scope of clearing and grubbing shall include the items as per Annexure MRTS04.1 Cl. 1.2 and Cl. 1.4"
"e0776c0d-5b06-5e7c-bae1-b0e4152ec71b","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:410d155d-4d97-5f0c-9add-7da75d0360cd","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","The additional width for clearing (no grubbing) is 3.0m as per Annexure MRTS04.1"
"f2e6f639-46cd-5b55-9e90-dfd7b2ec046c","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5863e867-6144-5c02-b156-1f05bad37ff5","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Material not to be removed from within drip lines of existing plants to be retained except where this would result in unsuitable material being left beneath embankments. Root systems of existing plants to be retained are preserved where practical."
"ec93bc60-ee37-5018-aff6-42a34fe0d33e","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Final Verification"
"3604c0ba-a556-5319-8b25-1ffbbded2084","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Details","Sign ITP"
"83af4f81-7dc1-51b6-9977-dc794ce2cc34","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Final Sign Offs (to be completed at closure of Lot)"
"09963dda-4f2f-5716-99d7-0ce3bb0dee08","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"88611b5f-70ef-5b08-a0ee-9685c919f0e6","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"636e0a3a-4858-57e2-9c70-f60758d1ec55","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"11ecf528-83a5-5b88-94d0-b53f51f1ae55","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-001 - Clear & Grub","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"8841b123-1a7a-41d7-b805-2d6d179ea766","","pass","04.07 - Clear and Grub","checklist","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1"
"bca24150-e4ed-5172-a1f4-dc78e50882c2","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details"
"710cf435-d8dd-58ca-9eb8-2702e05cbd9c","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:664369c7-5ba9-5dc1-b631-e509f6d35d5f","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Any trees, shrubs and overhanging branches to be left undisturbed shall be clearly marked prior to clearing operations reaching the areas concerned."
"92b73a34-690a-5987-9af2-8cd06215aa6c","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:664369c7-5ba9-5dc1-b631-e509f6d35d5f:2935e9af-c2e3-5ce3-a800-45e7ff6149c3","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","HOLD POINT"
"602006cd-01a1-5406-aa2e-ef15970a2be8","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:e80473b9-0542-5dc2-bda9-edc8d3afd710","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Any trees required by the Administrator for use as marketable timber shall be as nominated in Clause 1.3 of Annexure MRTS04.1. Such trees shall be clearly marked by the Contractor prior to clearing operations reaching the areas concerned"
"ae5cd237-dced-5454-9ae7-4ed7e76113b3","","not-applicable","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:e80473b9-0542-5dc2-bda9-edc8d3afd710:c4660e9d-1842-5c69-a44a-3fc748b8db0a","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","HOLD POINT"
"5f2ce17f-e4ae-5c88-8b87-9a3d10788cf5","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:9eec285c-853b-5559-bba1-c03294e94582","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","As soon as practicable and prior to initial earthworks operations (clearing and grubbing) for any stage or section of the Works, erosion and sediment controls associated with drainage paths flowing through the Works area shall be installed."
"c9846e48-d5df-57a5-9059-7c493162f852","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:9eec285c-853b-5559-bba1-c03294e94582:1ddc0205-a5dc-59a4-9240-70491f33d7e2","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","HOLD POINT"
"76afafdb-8cc1-54d3-9e9e-b6fe0aea6f11","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:f0fb7fa6-aeec-59e8-a788-b18ea549b327","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Hollow timber which is identified as being suitable for fauna habitat logs relocated to areas clear of construction activities"
"185151be-9873-5ed0-8300-5cc7e297a105","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:b66b05dd-8703-58f2-87da-0b7ff80fca86","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Surplus topsoil material and material considered not suitable for use as planting media in accordance with Cl. 8.3 shall be assessed for suitability for use as fill or deemed as unsuitable and disposed in accordance with Cl. 11"
"58675992-db40-56e2-baab-e9b9b0432308","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5f3ee9f4-96d3-53d5-88ba-5fab2de292d2","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","The scope of clearing and grubbing shall include the items as per Annexure MRTS04.1 Cl. 1.2 and Cl. 1.4"
"19ad9c3b-602d-55ba-9487-6e8ecd8b9724","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:410d155d-4d97-5f0c-9add-7da75d0360cd","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","The additional width for clearing (no grubbing) is 3.0m as per Annexure MRTS04.1"
"08e941da-800b-5077-bc9d-748b370a441b","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5863e867-6144-5c02-b156-1f05bad37ff5","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Material not to be removed from within drip lines of existing plants to be retained except where this would result in unsuitable material being left beneath embankments. Root systems of existing plants to be retained are preserved where practical."
"292eac91-b930-5def-9d71-b7e3079d23ce","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Final Verification"
"f0948ce7-d12b-5b74-a528-4e661ce2bf8e","","pass","04.07 - Clear and Grub:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Details","Sign ITP"
"fae711ff-84c7-5772-93c4-ee37fff6ab20","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Final Sign Offs (to be completed at closure of Lot)"
"829188b7-1ef0-5d82-9deb-8f368ece0ec4","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"002dcecc-42c6-5971-87d1-abf9fb772fe2","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"3b577446-14a2-5963-92de-90a24f48a4c8","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"96b0bce6-f5f7-5579-b8ee-7cc4107e6667","","pass","04.07 - Clear and Grub:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 1","04.07 - Clear and Grub","CNG-04.07-LOT-005 - Clear and Grub - Remaining Areas of Stage 1","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"948f233d-57d9-40c4-a5fb-ee0173a66323","","pass","","folder","TRUE","FALSE","Site QA","Stage 1","04.08 - Stripping of Topsoil"
"2818734b-0ccb-4673-b5fb-6e16c326b764","","pass","04.08 - Stripping of Topsoil","checklist","FALSE","FALSE","Site QA","Stage 1","04.08 - Stripping of Topsoil","STS-04.08-LOT-001 - Stripping Of Top Soil"
"845100c0-fed2-5cac-9752-a2c2eab0a17e","","pass","04.08 - Stripping of Topsoil:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","04.08 - Stripping of Topsoil","STS-04.08-LOT-001 - Stripping Of Top Soil","Details"
"84df109e-ad46-54fc-b10f-b6ee52de44f5","","pass","04.08 - Stripping of Topsoil:8111ace1-1386-5c1f-8290-3df28e3c8d3f:77c046b0-302a-5335-bd03-41c56ed3370c","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.08 - Stripping of Topsoil","STS-04.08-LOT-001 - Stripping Of Top Soil","Details","Where site topsoil is required to be supplied in accordance with MRTS16 Landscape and Revegetation Works, topsoil shall be stripped 75mm (+/-25mm) depth, or from areas and depths as specified in Clause 2.1 of Annexure MRTS04.1"
"a01243bf-380f-512f-bea8-9cd5302981fc","","pass","04.08 - Stripping of Topsoil:8111ace1-1386-5c1f-8290-3df28e3c8d3f:6ebca127-234c-5457-91a3-92a322a770c5","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.08 - Stripping of Topsoil","STS-04.08-LOT-001 - Stripping Of Top Soil","Details","Soil stripped from site which is considered suitable for use as a manufactured site topsoil shall be tested and ameliorated in accordance with MRTS16 Landscape and Revegetation works"
"351330ec-7ccf-5c14-a9b0-d78acdc31470","","pass","04.08 - Stripping of Topsoil:8111ace1-1386-5c1f-8290-3df28e3c8d3f:a715d373-000f-58eb-836e-831527c24b91","checkpoint","TRUE","TRUE","Site QA","Stage 1","04.08 - Stripping of Topsoil","STS-04.08-LOT-001 - Stripping Of Top Soil","Details","Surplus material and material considered not suitable for use as planting media in accordance with Cl. 8.3 shall be assessed for suitability for use as fill or deemed as unsuitable and disposed in accordance with Cl. 11"
