type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,,,
label,○ Fire or explosion.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - VERY HIGH (4),,,,,,,,,,,,,,,
label,Control Measures - Handling and Storage to be undertaken in strict accordance with HSEQ-002.,,,,,,,,,,,,,,,
label,○ As far as is reasonably practicable all site refuelling must be undertaken off of site before the commencement of works.,,,,,,,,,,,,,,,
label,○ Where necessary site re-fuelling must be undertaken in strict accordance with ECM Site Refuelling procedures.,,,,,,,,,,,,,,,
label,○ Minimum amounts of fuel to be kept on site.,,,,,,,,,,,,,,,
label,○ Fuel to be stored on ECM vehicles or within a suitable bunded area.,,,,,,,,,,,,,,,
label,○ All refuelling to be undertaken with engine switched off and cooled,,,,,,,,,,,,,,,
label,○ Fire extinguishers must be located at the local area as a precautionary measure.,,,,,,,,,,,,,,,
label,○ Spill kits must be kept at hand and used as required.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,8. Provision of Site Task Lighting,,,,,,,,,,,,,,,
label,Hazards Identified - Impair vision of passing vehicles.,,,,,,,,,,,,,,,
label,○ Electrocution from site power and leads.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ Place lighting so as not to impair the vision of passing vehicles or other site users or housing abutting the road corridor.,,,,,,,,,,,,,,,
label,○ Use lead stands to keep leads above floor level.,,,,,,,,,,,,,,,
label,○ Electrical tagging must be current.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,9. Provision of 240 volt site power,,,,,,,,,,,,,,,
label,Hazards Identified - Electric Shock.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ Use lead stands to keep leads above floor level.,,,,,,,,,,,,,,,
label,○ Electrical tagging must be current.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ Generators must be fitted with RCD’s.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,10. Saw Cutting & Excavation works including Jackhammering and scabbling,,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Noise, dust and debris.",,,,,,,,,,,,,,,
label,○ Manual Handling.,,,,,,,,,,,,,,,
label,○ Flying debris.,,,,,,,,,,,,,,,
label,○ Respirable Crystalline Silica (RCS),,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ All non-critical workers to maintain a 3 metre safety zone around cutting and grinding works.,,,,,,,,,,,,,,,
label,○ Wet cut to suppress dust and debris or use a vacuum hood to capture dust,,,,,,,,,,,,,,,
label,○ Use appropriate control measures such as Silt Socks or Site Screens to contain dirt debris generated during our works.,,,,,,,,,,,,,,,
label,○ Follow ECM Manual Handling instructions.,,,,,,,,,,,,,,,
label,○ Where cutting or grinding produces sparks a Hot Works Permit may be required. Where required ensure that this has been provided prior to commencing work.,,,,,,,,,,,,,,,
label,○ 2 main methods of suppressing dust – Wet control or Ventilation/on Tool dust extraction(Vacuum),,,,,,,,,,,,,,,
label,○ Exclusion zones whilst these activities take place for those personnel not wearing Respiratory Protective Equipment. 3m exclusion zone when using Wet/Extraction method to control or 10m when no control in place,,,,,,,,,,,,,,,
label,○ All workers to wear respiratory Protective equipment while these activities take place or anything that causes RCS,,,,,,,,,,,,,,,
label,○ All personnel to hold a fit test card and must carry with them at all times,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,"11. Preparation Works; incorporates Abrasive Cleaning, Cutting & Grinding",,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Noise, dust and debris.",,,,,,,,,,,,,,,
label,○ Manual Handling.,,,,,,,,,,,,,,,
label,○ Burns.,,,,,,,,,,,,,,,
label,○ Respirable Crystalline Silica,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ Use appropriate control measures such as Silt Socks or Site Screens to contain dirt debris,,,,,,,,,,,,,,,
label,○ All non-critical workers to maintain a 10 metre safety zone around grit blasting works; and a 2 metre safety zone around cutting and grinding.,,,,,,,,,,,,,,,
label,○ During Abrasive Cutting wear double face protection.,,,,,,,,,,,,,,,
label,○ The use of 9” Grinders for cutting is not permitted.,,,,,,,,,,,,,,,
label,○ Where Hot Works Permit is required ensure that this has been provided prior to commencing work.,,,,,,,,,,,,,,,
label,○ Ensure that Fire Extinguishers have been suitably located prior to the commencement of hot works.,,,,,,,,,,,,,,,
label,○ During Hot Works and where a risk of fire is presented a fire-spotter may be necessary during and after the hot works. This must be determined prior to the start of work.,,,,,,,,,,,,,,,
label,○ 2 main methods of suppressing dust – Wet control or Ventilation/on Tool dust extraction(Vacuum),,,,,,,,,,,,,,,
label,○ Exclusion zones whilst these activities take place for those personnel not wearing Respiratory Protective Equipment. 3m exclusion zone when using Wet/Extraction method to control or 10m when no control in place,,,,,,,,,,,,,,,
label,○ All workers to wear respiratory Protective equipment while these activities take place or anything that causes RCS,,,,,,,,,,,,,,,
label,○ All personnel to hold a fit test card and must carry with them at all times,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,12. Cleaning & Drying of Substrate using Compressed Air and LPG Gas Torches. Cleaning / Burning out of mixers using Gas Torches.,,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Noise, dust and debris.",,,,,,,,,,,,,,,
label,○ Fire or explosion.,,,,,,,,,,,,,,,
label,○ Burns.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Respirators to be worn while cleaning / burning out mixers.,,,,,,,,,,,,,,,
label,○ Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ Follow Manual Handling instructions.,,,,,,,,,,,,,,,
label,○ Gas bottles must remain secured on ECM vehicles or secured on a site trolley.,,,,,,,,,,,,,,,
label,○ Where Hot Works Permits are required they must be,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,13. Setting Out & Assembly of Bridge Expansion Joint System,,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Noise, dust and debris.",,,,,,,,,,,,,,,
label,○ Manual Handling.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,○ System to be set out and assembled by suitably competent personnel. Competency assessed using ECM Work Instructions.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ Follow Manual Handling instructions.,,,,,,,,,,,,,,,
label,○ Use mechanical means or share the load where the lift exceeds individual lifting capacity,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,14. Installation of Bridge Expansion Joint System incorporating Grouts and Nosing Products and cleaning of mixers,,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Noise, dust and debris.",,,,,,,,,,,,,,,
label,○ Manual Handling.,,,,,,,,,,,,,,,
label,"○ Ingestion, inhalation or skin contact with construction products.",,,,,,,,,,,,,,,
label,○ Material or Chemical Spill.,,,,,,,,,,,,,,,
label,○ Burns.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Plant & Equipment is only to be used by suitably competent personnel. Competency assessed using ECM Work Instruction Procedures.,,,,,,,,,,,,,,,
label,"○ System to be installed by suitably competent personnel. Installation works include the Mixing, Placement and Curing of ancillary Construction Products. Competency is assessed in accordance with using ECM Work Instructions.",,,,,,,,,,,,,,,
label,○ Handling and Storage to be undertaken in strict accordance with HSEQ-002.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,○ Inspect Plant and Equipment before start of work each day and record on ECM Pre-Start records.,,,,,,,,,,,,,,,
label,○ Follow Manual Handling instructions.,,,,,,,,,,,,,,,
label,○ Use mechanical means or share the load where the lift exceeds individual lifting capacity.,,,,,,,,,,,,,,,
label,"○ Wear appropriate PPE (Glovers, Glasses, Respirator mask) when burning out the mixer.",,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,15. Demobilisation from site on completion of work.,,,,,,,,,,,,,,,
label,Hazards Identified - Risk of incident where works have not been completed or have fully cured.,,,,,,,,,,,,,,,
label,○ Risk of incident where an obstruction is left within the carriageway.,,,,,,,,,,,,,,,
label,○ Possible Road Traffic Accident caused during exiting of the worksite.,,,,,,,,,,,,,,,
label,○ Environmental contamination from waste materials generated by the works.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - As a part of our Final Inspection ensure that all works have been undertaken in accordance with procedure and that all works have suitably cured prior to opening the road space to traffic.,,,,,,,,,,,,,,,
label,"○ Site is to be visually checked prior to demobilising from site to ensure that area is clear of all plant, equipment and materials.",,,,,,,,,,,,,,,
label,○ All waste materials are to be removed and disposed of in accordance with QHSE-001.,,,,,,,,,,,,,,,
label,○ Site Access procedure must be adhered to.,,,,,,,,,,,,,,,
label,"○ All vehicles must display orange flashing beacons and signal clearly before, during and after exiting for a short period until they have reached the speed of other traffic.",,,,,,,,,,,,,,,
label,○ UHF Radios are to be used so that communication is continued during exiting the work site.,,,,,,,,,,,,,,,
label,○ Where required notification must be provided to the appropriate body to advise that works are complete and that we have left site.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman,,,,,,,,,,,,,,,
section,Site Specific Risk Assessment,,,,,,,,,,,,,,,
checkpoint-no-status,The following risk assessment schedule is provided to allow site personnel to assess and control and additional hazards that may present themselves over and above those considered to be inherent risks documented in the preceding pages. An assessment will be made using the risk assessment chart also included within this document.,,,,,,,,,,,,,,,
textbox,Activity,,,,,,,,,,,,,,,
textbox,Hazards Identified,,,,,,,,,,,,,,,
textbox,Inherent Risk Rating,,,,,,,,,,,,,,,
textbox,Control Measures,,,,,,,,,,,,,,,
textbox,Residual Risk Rating,,,,,,,,,,,,,,,
textbox,Person responsible,,,,,,,,,,,,,,,
section,Safety Data Sheets,,,,,,,,,,,,,,,
checkpoint-no-status,"The following materials will be used during these works. In accordance with HSEQ-002 Handling, Storage & Use of Dangerous Goods all materials are evaluated prior to be approved for use using LOG-FORM-043 Product Assessment Form. This process considers all hazards presented by the material and provides consideration to the possibility of the elimination of any hazards through using alternatives. Where substitution is not an option all other hazards are investigated to ensure that all hazards and risks are effectively controlled. All materials that are Approved are included within our Approved Product list and the SDS information is introduced. SDS information is available both electronically through our Business improvement System, and also on site in hard copy within the ECM work vehicles.",,,,,,,,,,,,,,,
textbox,Material,,,,,,,,,,,,,,,
textbox,Description,,,,,,,,,,,,,,,
section,Plant & Equipment Maintenance,,,,,,,,,,,,,,,
checkpoint-no-status,"The following items of Plant and Equipment are used during the installation of Bridge Joints detailed within this SWMS. The competence of personnel is assessed in accordance with Work Instructions which form part of our certified Business Management System. All plant and equipment items are maintained in accordance with the same BIS procedures, with the daily checks and maintenance inspections that are required as a part of our daily pre-start inspections being undertaken as detailed below.",,,,,,,,,,,,,,,
checkpoint,Air Compressor,,,,,,,,,,,,,,,
label,Maintenance Checks: Check Oil & Fuel levels. Check for signs of damage or wear.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Compressor Hoses,,,,,,,,,,,,,,,
label,"Maintenance Checks: Check for damage and wear. Check couplings, whip-checks and safety pins",,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Generators and Electrical leads,,,,,,,,,,,,,,,
label,Maintenance Checks: Check Oil & Fuel levels. Check for signs of damage or wear. Tagging must be current.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,MIG and ARC Welders,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Tagging must be current.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Hydraulic Lifting Arms,,,,,,,,,,,,,,,
label,"Maintenance Checks: Check for signs of damage, wear or fluid leaks. Check hydraulic oil levels.",,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Road & Demo Saws,,,,,,,,,,,,,,,
label,Maintenance Checks: Check Oil & Fuel levels. Check cutting wheel is secured correctly. Check general condition for damage or wear.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Pneumatic Tools,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Lubricate with hydraulic oil.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Electric Grinders,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Tagging must be current. Check cutting wheel is secured correctly.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Electric Drills and Diamond Corers,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Tagging must be current.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Abrasive Grit Blasters,,,,,,,,,,,,,,,
label,Maintenance Checks: Check hoses and connections for damage and wear. Check ‘deadman’. Check air filter system on helmet supply.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Bitumen Heaters,,,,,,,,,,,,,,,
label,"Maintenance Checks: Check Heat Transfer Oil, Engine Oil & Fuel levels. Check for Gas or Fluid leaks and general wear and tear.",,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Resin Heaters,,,,,,,,,,,,,,,
label,Maintenance Checks: Check Heat Transfer Oil levels. Check for Gas or Fluid leaks and general wear and tear.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Petrol Mixers,,,,,,,,,,,,,,,
label,Maintenance Checks: Check Oil & Fuel levels. Check for signs of wear and tear.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Electrical Mixers,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Tagging must be current.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Oxy or Plasma Cutting Equipment,,,,,,,,,,,,,,,
label,"Maintenance Checks: Check for signs of damage or wear. Check Hoses, Connections for Gas Leaks. Check flashback arrestors fitted",,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,LPG Gas Torches,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Check Hoses and Connections for Gas Leaks.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
checkpoint,Hot Compressed Air (HCA) Lances,,,,,,,,,,,,,,,
label,Maintenance Checks: Check for signs of damage or wear. Check Hoses and Connections for Gas Leaks.,,,,,,,,,,,,,,,
label,Frequency: Daily before use,,,,,,,,,,,,,,,
section,Personal Protective Equipment (PPE),,,,,,,,,,,,,,,
checkpoint-no-status,"Long Sleeved Hi-Vis Shirts & Pants, Lace-up Safety Boots, Safety Glasses, and Protective Gloves are mandatory items of PPE and are termed General PPE. The use of Hard Hats will be assessed by the nominated ECM Foreman / Supervisor with their use implemented where a risk of injury is present, or where use is a mandatory requirement of our client.",,,,,,,,,,,,,,,
label,"In addition to our General PPE requirements the following list identifies the minimum level of PPE to be worn by ECM workers or subcontractors while undertaking specific tasks. In addition to these minimum requirements PPE use must be implemented to suit any additional hazard that may be presented during the works to offer the necessary level of protection to the worker; i.e. Dust Masks should be worn when dust is created, or similar.",,,,,,,,,,,,,,,
checkpoint,Air Compressor,,,,,,,,,,,,,,,
