"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"790dc55a-a5ce-4033-893e-c41736572850","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"5d73705e-6fca-4d58-a4bb-89f39eea2d7d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Byrrill Creek Road"
"dd6eefe0-8b36-4fbb-975a-f5d2ba1d2e49","","checklist-sectioned","not-started","ITP - Flood Recovery Combined","checklist","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095"
"955b53a3-02db-5449-a7cf-50317498facb","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility"
"38cc9d6a-905a-5977-abd4-c126952843a5","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Stormwater Drainage","HOLD POINT: Inspection prior to backfill"
"993db252-aa08-5831-bd20-8d10a4949730","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Stormwater Drainage","Density testing of pipeline required if within roadway:- 100% compaction to be achieved"
"dd6aeb05-4d13-5fce-b60c-f51b11b77738","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Close Out"
"ff0f2701-1227-53ae-bf0a-d7a9f28b4043","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Close Out","Site Handover: All works complete, demobilised and site handed back to TSC"
"518514c9-423b-502f-8bf8-aa3be33af97d","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Close Out","TSC Signature"
"b325db31-d2af-5f2e-aa48-6b637fcbe156","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Close Out","Verify conformance including close out of NCR’s"
"673503ce-2cf1-5603-b9ab-ca4982290271","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Close Out","Damage No. (DM) signed off and closed by PM or representative"
"91a7e872-c40b-5d5e-b5e2-46ee269447d4","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Close Out","Signatures"
"be121262-e43b-4fe6-a4cc-508660c2a3fe","","checklist-sectioned","not-started","ITP - Flood Recovery Combined","checklist","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440"
"553eeb16-cbca-5fa7-a1ec-3d318e54a113","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility"
"dd4bea44-db55-5ed2-a6d1-a737f117e6e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Possession of Site"
"9e78ee8f-44f7-5e24-8c8b-661d6e707c8c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Dial Before You Dig (DBYD) and Permit to Excavate completed and signed onto by personnel"
"e39c64d8-48a4-5635-93be-03f51869bec5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Confirmation of Scope and Extent of Works with Project Team, including RCC and TSC"
"6047880c-f6d7-5419-907c-7ab4d3d374b7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Testing required for the scope:"
"1ea37f69-9c0d-57d3-acde-0e2d4a26b20d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Concrete testing Density Testing"
"1b995314-395b-5476-8ea2-ca7792b68fdc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Traffic Control – TGS approved and appropriately selected for the works"
"478cd3c2-eb34-5ca5-9208-dec09da31cea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Erosion and Sediment Control:"
"a0081d3e-7094-5415-803b-31ed78bf4234","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Preliminaries - Project Management Responsibility","Silt Boom Earth Bund /Sediment Fence"
"85e6f6c6-c8c9-526a-b113-52c3a3893c31","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","C213 Earthworks"
"8c5fd167-cc9b-50d7-8134-4f69fb1873cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C213 Earthworks","Minor clearing of vegetation undertaken – where applicable."
"7238ad8f-fe4c-56f6-9ded-1a915d93fd5b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C213 Earthworks","Demolition works / Spoil Removal undertaken and spoil removed from site to Quirks Quarry."
"e2fd0f96-9333-5ff2-8c1b-55b60686b4f5","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C213 Earthworks","HOLD POINT: If unsuitable is encountered TSC to be notified prior to works continuing"
"2ca1a4c1-985b-5d10-a764-12ef4da1caac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C213 Earthworks","Table drains shaped to allow water to flow freely and best marry into existing surfaces."
"937010e5-980a-5f6b-8cf6-d046c0355ddd","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements"
"7c7f6a1e-c6b4-584f-b04c-90aa0abb20da","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","Proof roll subgrade: If foundation fails TSC to be notified and to provided direction"
"8aafcf64-1b90-5242-ac90-081b4b2fd574","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","HOLD POINT"
"5f14216e-acbb-5f16-a568-61fd3e313344","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","Road base Material: Material source along with conforming material NATA test certificates have been submitted and approved by the Principal (Material Stockpile Lot)"
"ded9e578-2867-5b8c-9795-03969b5d1879","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","If testing required - Layers compacted to 100% Standard compaction for full formation width. Compaction testing to be done 1 test per 500m2, minimum of 3 test taken at a time (per lot) or as directed otherwise."
"07d61add-d97a-559f-9209-e02ff130e229","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","Levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge."
"ae1d6619-6d31-54a2-a662-82597b825df4","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","C242 Flexible Pavements","HOLD POINT – Carry out a proof roll of finished pavement where applicable"
"5d00401f-1772-5346-abf2-14e60b3aa929","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Rock Revetment"
"4d40c5e8-0dbd-5b92-82c3-9122475cde32","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Rock Revetment","Geotextile – A34 Geotextile separator placed prior to rock placement IF DIRECTED or WITHIN SCOPE"
"12469427-2af8-56c1-ae62-35215863c143","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Rock Revetment","Rock Placement - Rock to be placed in completed drain profile as per agreed scope. Correct Rock Size Placed:"
"03913260-68f0-50cb-b668-406bef12d772","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Grouted Rock Pitching"
"7420c1fa-3624-5d3b-a58c-f01cb155d2ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Grouted Rock Pitching","Existing rock to be grouted as per agreed scope."
"cb053290-3d45-50af-b8c2-ab3935b320b9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Grouted Rock Pitching","Rocks to be cleaned down at end of grouting for neat finish"
"61c1f6b7-6233-5928-b99b-031767837ef2","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Excavation & Preparation"
"f50e22af-fc5d-51c2-bb87-5113cde1b76b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Excavation & Preparation","Suitable subgrade material and prepared to suitable surface"
"0ecd3195-9134-515c-8c11-c98186da5228","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Formwork & Reinforcement"
"995cb86c-f25b-5b88-8478-1d199b8b62ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Formwork & Reinforcement","Dimensions and positions of forms shall be carefully checked after the forms are erected. Forms shall be aligned accurately and the location of all fittings, hold formers etc. checked prior to placing of concrete."
"105b8431-bb75-55e9-ad09-8e32accb4831","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Formwork & Reinforcement","Placing of reinforcement as per agreed scope, with reference to Typical Construction Details. Reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
"892772b6-f247-5d68-9617-f05d809b4c56","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Formwork & Reinforcement","HOLD POINT – PRE-POUR INSPECTION The formwork shall be inspected by the Superintendent, and the placing of reinforcement in the spaces formed, where specified, shall not commence until the formwork is approved by the Superintendent."
"9bc490c9-d6ae-5c6b-b0f8-b50d74e2dc67","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Ready Mix Concrete"
"957ddd6b-c909-51da-a187-1a2f1359dc8b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Ready Mix Concrete","The concrete shall be mixed and delivered in accordance with the requirements of AS 1379 relating to: -"
"6145acfe-7543-5fc3-b7c5-be692db787d1","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Concrete Placement"
"38c37fec-bc8a-57fb-97bd-2cb8a4e50f80","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Concrete Placement","The freshly placed concrete compacted by continuous spading, slicing or by vibrator units. Exposed surfaces of the concrete shall be struck off and finished with a wooden float. Corners and edges should be as per the drawings."
"98aca44f-6626-5242-a74c-4cdc306a932f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Concrete Placement","Surfaces are floated, finished and cured as required to a quality finish. Broom finish as required."
"118bb3f3-ae97-5920-ac71-c7a6ef3cb8fe","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Testing - Where Required"
"37827d0c-e739-546f-99bb-ee3bb083d0aa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Testing - Where Required","Two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, one pair being intended for the 7-day test if required and the other pair for a 28-day test."
"18bdcc96-e9fd-5272-9488-c15c9d605ee5","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Testing - Where Required","WITNESS POINT: Concrete test specimens to be taken in presence of Superintendent or Superintendent’s representative"
"70d60c06-d3b3-50b8-8e61-36ca07b2c72d","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Stormwater Drainage"
"2f822424-55c2-5601-877d-80a5027c39cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Stormwater Drainage","Stormwater components installed as per scope of works"
"acf7ee93-c5dc-5f2a-86ac-cbaff59f2f45","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Stormwater Drainage","HOLD POINT: Inspection prior to backfill"
"f4bab40c-d90d-5d8a-994c-093bae4a159b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Stormwater Drainage","Density testing of pipeline required if within roadway:- 100% compaction to be achieved"
"0cef4615-f292-5c4c-8e47-a7368b9e5f47","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02440","Close Out"
"49093e8d-fb19-5700-ad37-a0d242211757","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Close Out","Site Handover: All works complete, demobilised and site handed back to TSC"
"2f995075-807d-551f-be32-8094aee090dd","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Close Out","TSC Signature"
"3d25a6e5-8de5-5fc4-93a0-337e19453682","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Close Out","Verify conformance including close out of NCR’s"
"8f043885-e9e3-5c32-9531-560fad5c6077","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Close Out","Damage No. (DM) signed off and closed by PM or representative"
"c3a4b3ff-b84b-5f60-bc3d-c8e65f6a3d1f","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02440","Close Out","Signatures"
"36ae3612-c49b-475d-9edc-2def62a754f7","","checklist-sectioned","not-started","ITP - Flood Recovery Combined","checklist","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02870"
"58b4d176-601a-5590-b1ab-db468841366f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility"
"72086651-01af-5b11-be1c-16724d2ebbc8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Possession of Site"
"7e0b0119-0626-54c5-8026-b76ed105980a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Dial Before You Dig (DBYD) and Permit to Excavate completed and signed onto by personnel"
"20effe3c-7e8c-50f1-b201-7e193172f674","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Confirmation of Scope and Extent of Works with Project Team, including RCC and TSC"
"d3b11676-d82c-555a-a821-48f3576c1abb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Testing required for the scope:"
"322f6547-821d-52ed-9549-d45f49172436","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Concrete testing Density Testing"
"413a53c2-b7cb-5827-a2c5-bc5edd4256b7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Traffic Control – TGS approved and appropriately selected for the works"
"0bc49351-60d6-5bc3-aff5-c1f0b48a8f33","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Erosion and Sediment Control:"
"ef2a3e74-4447-5339-8456-a4210e69f856","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","Preliminaries - Project Management Responsibility","Silt Boom Earth Bund /Sediment Fence"
"fa178ffe-a2ad-53b3-b384-2a0b19ca4209","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02870","C213 Earthworks"
"579c7927-340a-553c-b0f6-101eb07ec38f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C213 Earthworks","Minor clearing of vegetation undertaken – where applicable."
"1d3b4f34-c115-5656-904e-b1978c1f6a16","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C213 Earthworks","Demolition works / Spoil Removal undertaken and spoil removed from site to Quirks Quarry."
"5cc0b5a7-d07c-536f-b136-abedc8a65bd5","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C213 Earthworks","HOLD POINT: If unsuitable is encountered TSC to be notified prior to works continuing"
"d175d461-755e-5298-821b-e31b7afb0932","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C213 Earthworks","Table drains shaped to allow water to flow freely and best marry into existing surfaces."
"022753f3-d5c9-5455-84fd-c3e975ed8e69","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02870","C242 Flexible Pavements"
"54a0ea36-43ee-5288-b127-f69b9f698aaf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C242 Flexible Pavements","Proof roll subgrade: If foundation fails TSC to be notified and to provided direction"
"600fcec1-6932-5c53-aadc-fe8a20b2892c","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C242 Flexible Pavements","HOLD POINT"
"444c8f28-4139-5690-901b-071dd8fbd602","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02870","C242 Flexible Pavements","Road base Material: Material source along with conforming material NATA test certificates have been submitted and approved by the Principal (Material Stockpile Lot)"
