"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ddc89e61-ea01-4c6d-bcd9-f000e2cbd8e2","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"574ae920-213b-40c7-95ae-dd71c3dacd6e","","pass","","folder","TRUE","FALSE","Site QA","School"
"331ef815-4814-424c-bb39-c86b7eae5d84","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Upper Ground"
"cb867f00-d239-5df8-acb4-9c647fef1a17","","pass","","section","FALSE","FALSE","Site QA","School","Upper Ground","Pre Pour / Post Pour"
"d916cd91-ea44-545c-bf51-cc41eeac90f8","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Engineer inspection mark review and closeout"
"90f06a2f-54f8-555b-914a-7f90c86128c4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Pour completed"
"327e7ce4-1efc-5715-abf5-4507b4d39bcb","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","IR-01 (Interspan) Inspection Report (To be uploaded as reference)"
"fc0b24a9-e354-50ed-8975-5f9ba95cd5ff","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","TC-01 (Interspan) Pre pour Inspection (To be uploaded as reference)"
"cbab7312-ac71-539a-ac3e-54b388575910","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","TC-02 (Interspan) Watching Concrete Pour (To be uploaded as reference)"
"b6e299e4-bc27-5c81-84f5-676998776556","","pass","","section","FALSE","FALSE","Site QA","School","Level 1","Initial Stressing"
"e0aaa91a-4df6-5a3a-b3ee-68f83c347cf9","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Safe access for initial stressing"
"5ef2ace5-7c28-5fee-b369-3a1f638dcf5a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Concrete strength (should be more than 7 MPa)"
"dad69410-18ea-5aba-a64c-bd0db7417955","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Anchorage and strands condition"
"928dc3d8-406f-5958-a28f-d9fade99ecf6","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Jack Calibration, current"
"5a753495-453a-5eeb-910c-3309d3eae2f4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Initial stressing completed"
"197999bb-0a86-5069-bc33-945df3b475de","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Initial Stressing","Concrete test results (RCC) Attach report"
"7074ae48-7c3f-5d03-ace5-edf679128502","","pass","","section","FALSE","FALSE","Site QA","School","Level 1","Final Stressing"
"9613b0c7-dd3c-5ebb-83a6-29d6006656cc","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Safe access for final stressing"
"a3cbb266-186e-5361-bb14-8b2752024def","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Concrete strength (should be more than 22 MPa)"
"eb253746-6eef-5187-b3c7-e149996a1270","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Anchorage and strands condition"
"0e9e50cb-884a-53d6-9db0-0b458d7a1dd6","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Jack Calibration, current"
"81602514-07d4-52af-a509-4294792ca674","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Final stressing completed"
"bf853e9d-f512-58fb-92f0-b3e93b2f1baf","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","Concrete test results (RCC)"
"835783eb-8772-5ba1-8b82-bfc97b055a5c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Final Stressing","TC-03 (Interspan) Stressing Inspection (To be uploaded as reference)"
"fb19a6b9-862d-5510-aa70-8dad304326e4","","pass","","section","FALSE","FALSE","Site QA","School","Level 1","Grouting"
"efb85de5-1569-5b42-856f-8b281bb323c4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Grouting","Safe access for grouting"
"ca78d5bc-b726-58df-bdc6-78286d38aaaf","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Grouting","Anchor pockets cut and sealed"
"dcda6f6e-ee26-5ff3-a348-c638bde6493e","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Grouting","Grout hoses condition"
"0d43ba7d-7341-5d6d-b7df-8ee4754fbc99","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Grouting","Grouting completed"
"2107fefe-ac7a-540e-b524-45062834292e","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Grouting","TC-05 – (Interspan) Grouting (To be uploaded as reference)"
"366a5d01-fe49-48f0-b287-5999fd5e0e81","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Level 2 Pour D"
"e2ee14e2-c3d8-5ca4-ac31-0ff012fcb998","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour"
"e8c373ca-bc93-5eb7-a72e-553cd9b2705f","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Tendon installation as per approved drawings"
"22858ab4-e869-555d-9b2d-58f231d748aa","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Anchor and dead-end setup"
"63e052d0-573e-5c22-865f-3806d7ec927e","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Tendon chairing"
"9b8db294-78e7-5af8-98ae-4afa58f7d040","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Grout hose installation"
"cc5db7ee-103b-567b-88d8-1c7e4c0af09d","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Engineer inspection mark review and closeout"
"17d01c5d-f89d-5b54-9b90-65e60d17db6a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","Pour completed"
"6aab6952-2816-5966-9f57-3e3a956762b4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","IR-01 (Interspan) Inspection Report (To be uploaded as reference)"
"46f66ec3-7e61-5ff7-b58c-79e677560304","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","TC-01 (Interspan) Pre pour Inspection (To be uploaded as reference)"
"5c0f88b3-fa21-58e2-9ab1-312d8705dbe0","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Pre Pour / Post Pour","TC-02 (Interspan) Watching Concrete Pour (To be uploaded as reference)"
"4909be0f-0d6f-5e1b-9f52-56a9c2253681","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour D","Initial Stressing"
"7400d9b4-11d2-5935-8317-9a14add5a65f","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Safe access for initial stressing"
"5e17fd61-6e7c-5c05-869f-e786553d71e3","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Concrete strength (should be more than 7 MPa)"
"599a964e-f329-5351-b3a2-29a1aec4f7e5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Anchorage and strands condition"
"35b2a509-0f6f-534a-8f03-0b0cd040a6f5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Jack Calibration, current"
"93f66543-8652-5284-9a5f-415d1d6636ab","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Initial stressing completed"
"bec0683f-ab7f-572d-8154-985aa3ee289b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Initial Stressing","Concrete test results (RCC) Attach report"
"2c5b3831-c699-5f88-b1ca-12de04dc3659","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour D","Final Stressing"
"5e86b0ba-9d47-53a8-9a9c-b3e6b2e862ae","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Safe access for final stressing"
"10a6a92d-d4d4-5ba2-bb74-345f6cdda9a6","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Concrete strength (should be more than 22 MPa)"
"f5108457-e120-59c6-bafe-5d7924c1bb10","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Anchorage and strands condition"
"3b19f601-8f37-585e-a7e0-92065e99d9f4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Jack Calibration, current"
"b0f4da82-cd46-5ce4-b91f-efb75c9d9c85","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Final stressing completed"
"5477e9bb-0ca3-5627-9550-af8841a2f6d4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","Concrete test results (RCC)"
"5fed0372-465c-547f-98ed-102921f1a170","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Final Stressing","TC-03 (Interspan) Stressing Inspection (To be uploaded as reference)"
"f03d747f-f8d6-52c3-bb36-4d53048974b0","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour D","Grouting"
"0f935d69-6297-5116-ae38-27f07d0d928e","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Grouting","Safe access for grouting"
"e71de204-2291-56ec-b1b9-2e736dbdf6b1","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Grouting","Anchor pockets cut and sealed"
"0edc8277-7f49-533f-a0ef-1bca79371f14","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Grouting","Grout hoses condition"
"52b94701-c364-5710-ba39-d065ba722762","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Grouting","Grouting completed"
"362ded39-ef5f-5c9f-bbd5-b47f411bee0b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour D","Grouting","TC-05 – (Interspan) Grouting (To be uploaded as reference)"
"78fdfa4f-c05a-41e1-a306-501b75a54da9","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Level 2 Pour E"
"f19fff80-ecb0-50f4-a7ec-5936ac20af0b","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour"
"a6623042-4ff3-53b4-9ba7-e5f745b814ed","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Tendon installation as per approved drawings"
"d8ca57c3-ea64-5ec4-84c4-94f6196fc08c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Anchor and dead-end setup"
"590e3831-e128-5c19-9741-6e7310e884a8","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Tendon chairing"
"50d9cbf5-c4d3-5ed1-b7a2-84eaa1d1198c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Grout hose installation"
"0d207c6a-6cc1-5e91-8b33-0ff46f90d8ca","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Engineer inspection mark review and closeout"
"f0351cad-2a9e-5615-80d4-2f8339dfd166","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","Pour completed"
"4337482d-713b-55c8-9d23-457eb5e1ba78","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","IR-01 (Interspan) Inspection Report (To be uploaded as reference)"
"166c9a6c-91f1-59c1-9403-9fa3ad216386","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","TC-01 (Interspan) Pre pour Inspection (To be uploaded as reference)"
"97e0f2da-f7c4-5255-8c9d-524be9c310c6","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Pre Pour / Post Pour","TC-02 (Interspan) Watching Concrete Pour (To be uploaded as reference)"
"02f0f654-35cc-5262-acac-b6e8c9f5f06d","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour E","Initial Stressing"
"55423315-b6f8-5ed6-b71f-e8e4054c2e89","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Safe access for initial stressing"
"2bd70cfb-d502-5ffa-b443-ef8a4d629f5b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Concrete strength (should be more than 7 MPa)"
"21fbf6ff-1add-54de-ab79-1db075b0a73d","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Anchorage and strands condition"
"5aed6e97-b117-50b2-a5dd-ee583381f99b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Jack Calibration, current"
"c86ef21c-b836-5f02-93a5-3dc2a92b16a7","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Initial stressing completed"
"23fec6ee-70ec-55c1-a1e5-d1d54f87ca1a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Initial Stressing","Concrete test results (RCC) Attach report"
"2c62a2bc-74f6-5510-b8d1-2e6476c0fb69","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour E","Final Stressing"
"6b6eff5d-d789-5b1e-9df4-937009eab7c0","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Safe access for final stressing"
"2fcf0565-5e89-5316-9a20-6a592d212af9","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Concrete strength (should be more than 22 MPa)"
"c372d1cc-30cb-5728-83c2-a2999b783bef","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Anchorage and strands condition"
"5347543f-392a-561c-8e79-88fbe7568fde","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Jack Calibration, current"
"e2ebe99f-7f4d-5302-9aeb-f8451d6e49d3","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Final stressing completed"
"95061cb8-6d79-596b-ba9e-c7cb4fa4a4fd","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","Concrete test results (RCC)"
"933416a1-0a05-50e9-86b9-a0f03b37f912","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Final Stressing","TC-03 (Interspan) Stressing Inspection (To be uploaded as reference)"
"0d13c433-dce5-5798-bace-504085fb5f15","","pass","","section","FALSE","FALSE","Site QA","School","Level 2 Pour E","Grouting"
"cd82bb96-b668-5fe2-93e8-df11ee9dca63","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Grouting","Safe access for grouting"
"acbea9a1-011e-52b7-8cce-2fb7718b389a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Grouting","Anchor pockets cut and sealed"
"a2058ccb-8291-59ca-9b8a-f32b0f502979","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Grouting","Grout hoses condition"
"489b7ed2-971b-5cc1-a4d7-79b5924ec033","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Grouting","Grouting completed"
"d595b7db-95fe-5e3f-8733-c46d798acdd1","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 2 Pour E","Grouting","TC-05 – (Interspan) Grouting (To be uploaded as reference)"
"29cf832e-7c93-4191-b591-b50057346a63","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Level 3 Pour 1"
"0f173059-33c3-52aa-8eb9-74d7c3ffdcc0","","pass","","section","FALSE","FALSE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour"
"3a3cc3a9-4237-5f75-9aad-95e12fc8949a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Tendon installation as per approved drawings"
"ff0761a5-a567-5786-85b3-d9c743e3d982","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Anchor and dead-end setup"
"d0ea3132-489b-5c55-a14e-ac3f75098b19","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Tendon chairing"
"4bb1b204-d646-5d2a-bf98-b07cd05755d0","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Grout hose installation"
"fce3a299-af98-5034-bb18-5ea454e96460","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Engineer inspection mark review and closeout"
"4dcab435-1f27-514a-b756-c11d9ee648b5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","Pour completed"
"08fa8f0c-d57b-5fa9-8cf1-5d6cff38787c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","IR-01 (Interspan) Inspection Report (To be uploaded as reference)"
"4e8c18bd-b5c0-5b6e-885b-e15bcca59c75","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","TC-01 (Interspan) Pre pour Inspection (To be uploaded as reference)"
"79aa16ed-bd00-5ef4-b2c5-f6de84629554","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Pre Pour / Post Pour","TC-02 (Interspan) Watching Concrete Pour (To be uploaded as reference)"
"33f06d55-d527-5b04-890c-05743d69ee70","","pass","","section","FALSE","FALSE","Site QA","School","Level 3 Pour 1","Initial Stressing"
"a59bd5d8-679b-5407-b962-d5d16cb88506","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Safe access for initial stressing"
"1ee49896-2db7-5160-a57e-bd02ab8d5749","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Concrete strength (should be more than 7 MPa)"
"c86219bc-a5be-5481-906b-8f08f21dbaac","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Anchorage and strands condition"
"7205d75d-02ff-56e5-af34-b9dd5f75f51a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Jack Calibration, current"
"3b651b35-888b-56d6-a181-1aeed45c80ec","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Initial stressing completed"
"268fb2ab-f491-5698-8790-713ccf508444","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Initial Stressing","Concrete test results (RCC) Attach report"
"89c580ab-b003-5c17-9be6-44a24c552925","","pass","","section","FALSE","FALSE","Site QA","School","Level 3 Pour 1","Final Stressing"
"4e704295-ae91-5625-a2a5-9364a0de59fa","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Safe access for final stressing"
"4bb1cfb6-57f7-56f4-a351-72ec00750c2b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Concrete strength (should be more than 22 MPa)"
"6cee1984-f737-59e4-bd66-11e0c7f221b4","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Anchorage and strands condition"
"6cba1e53-4ccf-5fa7-83b1-55a333cd9f49","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Jack Calibration, current"
"dd65a2d1-b78f-5a00-b1b8-63277adf7493","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Final stressing completed"
"f19993f5-e3ed-5a09-8d93-00be444da9f2","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","Concrete test results (RCC)"
"2e0452d5-2edc-57fa-a875-71ddbabcbbac","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 3 Pour 1","Final Stressing","TC-03 (Interspan) Stressing Inspection (To be uploaded as reference)"
