type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0002,,,,,,561482-DOW-ITR-EL-0002,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0002,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482 ,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 50mm 3c+e Circular,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Pump 3 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: R-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-W,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-B,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-B,,,Results - MΩ,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0003,,,,,,561482-DOW-ITR-EL-0003,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0003,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482 ,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 50mm 3c VSD Cable,,,,,,,,,,,,,
label,Source: Pump 2 VSD,,,,,,,,,,,,,
label,Destination: Pump 2,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: R-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-W,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-B,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-B,,,Results - MΩ,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0004,,,,,,561482-DOW-ITR-EL-0004,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0004,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 50mm 3c VSD Cable,,,,,,,,,,,,,
label,Source: Pump 3 VSD,,,,,,,,,,,,,
label,Destination: Pump 3,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: R-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-W,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-B,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-B,,,Results - MΩ,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0005,,,,,,561482-DOW-ITR-EL-0005,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0005,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 95mm -final details tbc,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Generator Connection box,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: R-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-W,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-B,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-B,,,Results - MΩ,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0006,,,,,,561482-DOW-ITR-EL-0006,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0006,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561483,,,,,,,,,,,,,
label,Area: Pumps,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
textbox,Reference Drawing:,,,,,,,,,,,,,
label,System Reference: Pump 2,,,,,,,,,,,,,
textbox,System Description:,,,,,,,,,,,,,
textbox,Motor Size:,,,,,,,,,,,,,
textbox,Motor Brand:,,,,,,,,,,,,,
textbox,Motor Serial:,,,,,,,,,,,,,
button,Motor Connection:,"Δ,Υ",,,,,,,,,,,,
textbox,Tag Number:,,,,,,,,,,,,,
label,PAU/ Skid Number: N/a,,,,,,,,,,,,,
section,INSPECTION - Completion Verification,,,,,,,,,,,,,
checkpoint-no-status,"Equipment, sub-system or system to be function tested during pre-commissioning must be subject to safety measures including, but not necessarily limited to: SWMS, Notice of Energisation, erection of safety barriers with warning signs and an open communication channel between testing personnel. Energisation and site acceptance test procedures are to be conducted with subcontractor/ supplier representative(s) as required.",,,,,,,,,,,,,
checkpoint,Cable test and inspection completed,,,,,,,,,,,,,
checkpoint,Motor switchgear ITR completed,,,,,,,,,,,,,
checkpoint,"Punch list ""A"" items completed from cable test sheet",,,,,,,,,,,,,
checkpoint,Hazardous area check sheets completed and accepted,,,,,,,,,,,,,
section,INSPECTION - Equipment Specific Pre Commissioning,,,,,,,,,,,,,
checkpoint-no-status,Ensure interlocks are healthy (force status/ link out). Apply control voltage to motor starter circuit. Verify control/ trip functions. Ensure motor is safe to start – close MCC breaker.,,,,,,,,,,,,,
checkpoint,Prove electrical isolation,,,,,,,,,,,,,
checkpoint,Verify operation of local control station,,,,,,,,,,,,,
checkpoint,Rotating parts guarded,,,,,,,,,,,,,
checkpoint,Confirm motor frame earth,,,,,,,,,,,,,
checkpoint,Confirm motor alignment checks completed,,,,,,,,,,,,,
checkpoint,Confirm motor is safely uncoupled,,,,,,,,,,,,,
checkpoint,Record frame earth continuity,,,,,,,,,,,,,
textbox,Ω,,,,,,,,,,,,,
checkpoint,Confirm motor lubrication,,,,,,,,,,,,,
checkpoint,Feeder protection settings match motor (record in Tests section below),,,,,,,,,,,,,
checkpoint,Emergency stop,,,,,,,,,,,,,
checkpoint,Circuit earth fault,,,,,,,,,,,,,
checkpoint,Motor oil temperature trip/ alarm,,,,,,,,,,,,,
checkpoint,Motor winding temperature trip/ alarm,,,,,,,,,,,,,
checkpoint,Local stop,,,,,,,,,,,,,
checkpoint,Remote stop,,,,,,,,,,,,,
checkpoint,Phase differential trip,,,,,,,,,,,,,
checkpoint,Duty/ standby,,,,,,,,,,,,,
checkpoint,Other:,,,,,,,,,,,,,
textbox,(specify),,,,,,,,,,,,,
checkpoint,Verify motor rotating in correct direction,,,,,,,,,,,,,
checkpoint,Verify motor local stop,,,,,,,,,,,,,
checkpoint,Confirm run up time,,,,,,,,,,,,,
checkpoint,Verify DCS/ remote stop,,,,,,,,,,,,,
checkpoint,Confirm starting current (as required for larger motor KW),,,,,,,,,,,,,
checkpoint,Verify trips and interlocks as per above control circuit function tests,,,,,,,,,,,,,
checkpoint,Ensure all temporary links/ forces are removed and isolations re-instated/ locked out,,,,,,,,,,,,,
section,Tests,,,,,,,,,,,,,
checkpoint-no-status,"As required carry out no load run until winding temperatures stabilise and confirm vibration levels. Enter ""N/A"" for non-applicable fields.",,,,,,,,,,,,,
checkpoint,Record Bearing Temperatures:,,,,,,,,,,,,,
textbox,DE:,,,°C,,,,,,,,,,
textbox,NDE:,,,°C,,,,,,,,,,
checkpoint,Record Winding Temperatures:,,,,,,,,,,,,,
textbox,W1:,,,°C,,,,,,,,,,
textbox,W2:,,,°C,,,,,,,,,,
textbox,W3:,,,°C,,,,,,,,,,
checkpoint,DE(X),,,,,,,,,,,,,
textbox,DE(X):,,,m/s2,,,,,,,,,,
checkpoint,DE(Y),,,,,,,,,,,,,
textbox,DE(Y):,,,m/s2,,,,,,,,,,
checkpoint,NDE (X),,,,,,,,,,,,,
textbox,NDE (X):,,,m/s2,,,,,,,,,,
checkpoint,NDE (Y),,,,,,,,,,,,,
textbox,NDE (Y):,,,m/s2,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0007,,,,,,561482-DOW-ITR-EL-0007,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0007,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561483,,,,,,,,,,,,,
label,Area: Pumps,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,System Reference: Pump 2,,,,,,,,,,,,,
textbox,System Description:,,,,,,,,,,,,,
textbox,Motor Size:,,,,,,,,,,,,,
textbox,Motor Brand:,,,,,,,,,,,,,
textbox,Motor Serial:,,,,,,,,,,,,,
button,Motor Connection:,"Δ,Υ",,,,,,,,,,,,
textbox,Tag Number:,,,,,,,,,,,,,
label,PAU/ Skid Number: N/a,,,,,,,,,,,,,
section,INSPECTION - Completion Verification,,,,,,,,,,,,,
checkpoint-no-status,"Equipment, sub-system or system to be function tested during pre-commissioning must be subject to safety measures including, but not necessarily limited to: SWMS, Notice of Energisation, erection of safety barriers with warning signs and an open communication channel between testing personnel. Energisation and site acceptance test procedures are to be conducted with subcontractor/ supplier representative(s) as required.",,,,,,,,,,,,,
checkpoint,Cable test and inspection completed,,,,,,,,,,,,,
checkpoint,Motor switchgear ITR completed,,,,,,,,,,,,,
checkpoint,"Punch list ""A"" items completed from cable test sheet",,,,,,,,,,,,,
checkpoint,Hazardous area check sheets completed and accepted,,,,,,,,,,,,,
section,INSPECTION - Equipment Specific Pre Commissioning,,,,,,,,,,,,,
checkpoint-no-status,Ensure interlocks are healthy (force status/ link out). Apply control voltage to motor starter circuit. Verify control/ trip functions. Ensure motor is safe to start – close MCC breaker.,,,,,,,,,,,,,
checkpoint,Prove electrical isolation,,,,,,,,,,,,,
checkpoint,Verify operation of local control station,,,,,,,,,,,,,
checkpoint,Rotating parts guarded,,,,,,,,,,,,,
checkpoint,Confirm motor frame earth,,,,,,,,,,,,,
checkpoint,Confirm motor alignment checks completed,,,,,,,,,,,,,
checkpoint,Confirm motor is safely uncoupled,,,,,,,,,,,,,
checkpoint,Record frame earth continuity,,,,,,,,,,,,,
textbox,Ω,,,,,,,,,,,,,
checkpoint,Confirm motor lubrication,,,,,,,,,,,,,
checkpoint,Feeder protection settings match motor (record in Tests section below),,,,,,,,,,,,,
checkpoint,Emergency stop,,,,,,,,,,,,,
checkpoint,Circuit earth fault,,,,,,,,,,,,,
checkpoint,Motor oil temperature trip/ alarm,,,,,,,,,,,,,
checkpoint,Motor winding temperature trip/ alarm,,,,,,,,,,,,,
checkpoint,Local stop,,,,,,,,,,,,,
checkpoint,Remote stop,,,,,,,,,,,,,
checkpoint,Phase differential trip,,,,,,,,,,,,,
